,J1,J2,J3,J4,J5,J1S,J2S
418,-0.0001312719924302408,-0.000131324107604352,-0.00013143011755392897,-0.0001337334524519418,-0.00013143724527940216,0,0
419,-0.00013093255334062636,-0.00013098527799368986,-0.00013108991269477843,-0.00013339922394348892,-0.00013109701137925533,0,0
420,-0.00013176044611037967,-0.00013179966886042504,-0.0001318220998271624,-0.00013306504025278553,-0.00013182498360035598,0,0
421,-0.00013153244692929472,-0.00013157100063578787,-0.00013159472807193538,-0.00013283206558283633,-0.00013159763590071648,0,0
422,-0.0001313043605926828,-0.00013134230017009918,-0.00013136722482867458,-0.00013259938894526256,-0.00013137015499842475,0,0
423,-0.0001310761953892811,-0.00013111357116421863,-0.0001311396009509713,-0.00013236698797645995,-0.00013114255184327184,0,0
424,-0.0001308479582185898,-0.00013088481619290325,-0.00013091186606445593,-0.0001321348419991486,-0.0001309148361910406,0,0
425,-0.0001306196569859619,-0.00013065603790447466,-0.00013068403002676975,-0.00013190293184695,-0.0001306870179559605,0,0
426,-0.0001303912929391643,-0.0001304272367969078,-0.00013045609833827298,-0.00013167123966632886,-0.00013045910280249707,0,0
427,-0.00013016287363694812,-0.00013019841568545908,-0.0001302280798663158,-0.0001314397491146513,-0.00013023109965458856,0,0
428,-0.00012993440378178178,-0.00012996957622815885,-0.00012999998146937197,-0.00013120844494709182,-0.0001300030154555909,0,0
429,-0.0001297058874055651,-0.00012974071985951462,-0.0001297718093325173,-0.00013097731306756287,-0.00012977485646980313,0,0
430,-0.00012947732878777068,-0.00012951184842995621,-0.00012954356945974577,-0.00013074634042119725,-0.00012954662876912492,0,0
431,-0.00012924873146373804,-0.00012928296330608547,-0.00012931526718731212,-0.00013051551494341895,-0.00012931833776903435,0,0
432,-0.00012709035530695078,-0.00012714950844088356,-0.0001273152616077855,-0.00013028435891776157,-0.0001273253001159369,0,0
433,-0.00012669295280508307,-0.00012675326569165478,-0.00012691624595836392,-0.0001298974282047316,-0.00012692622343062564,0,0
