iteration,timestamp,V24F
0,2025-07-28 22:36:23.771074,0.0
1,2025-07-28 22:36:35.697029,144.6715650445185
2,2025-07-28 22:36:48.885093,143.9000811774349
3,2025-07-28 22:37:01.964474,143.1322189466755
4,2025-07-28 22:37:14.303761,142.367966763004
5,2025-07-28 22:37:26.676342,141.6073130371842
6,2025-07-28 22:37:40.565518,140.85024038536176
7,2025-07-28 22:37:53.223965,140.09674880753664
8,2025-07-28 22:38:06.891768,139.3468151252364
9,2025-07-28 22:38:18.628120,138.600439338461
10,2025-07-28 22:38:30.371505,137.857598268738
11,2025-07-28 22:38:43.703003,137.1182919160674
12,2025-07-28 22:38:56.220803,136.81655456139197
13,2025-07-28 22:39:07.147249,136.02128378693124
14,2025-07-28 22:39:20.046636,135.2289566784748
15,2025-07-28 22:39:31.323971,134.4395674414045
16,2025-07-28 22:39:43.157825,133.6531160757204
17,2025-07-28 22:39:55.296138,132.86958519756809
18,2025-07-28 22:40:07.042656,132.0889748069476
19,2025-07-28 22:40:19.491843,131.3112849038589
20,2025-07-28 22:40:30.076943,130.5365096936839
21,2025-07-28 22:40:42.121073,129.76463179256825
22,2025-07-28 22:40:53.180527,128.99565699513005
23,2025-07-28 22:41:04.677327,128.22956791751494
24,2025-07-28 22:41:16.014037,127.25272857892378
25,2025-07-28 22:41:28.859866,126.52424657289885
26,2025-07-28 22:41:41.839400,125.79888207142176
27,2025-07-28 22:41:53.313139,125.07661769063816
28,2025-07-28 22:42:05.150130,80.57233384079154
29,2025-07-28 22:42:16.421414,80.25329955103189
30,2025-07-28 22:42:27.189444,79.93265435743524
31,2025-07-28 22:42:38.956364,-19.454303280213026
32,2025-07-28 22:42:51.343773,-18.9767948768349
33,2025-07-28 22:43:02.307712,-18.53310965941546
34,2025-07-28 22:43:13.444867,-18.124510854704567
35,2025-07-28 22:43:24.893961,-17.74850967422026
36,2025-07-28 22:43:35.653485,-14.43101836855476
37,2025-07-28 22:43:47.095050,-13.867204922917153
38,2025-07-28 22:43:58.929449,-13.345735649181734
39,2025-07-28 22:44:09.762367,-12.865402369470758
40,2025-07-28 22:44:21.212845,-12.427181476937221
41,2025-07-28 22:44:32.799420,-12.037119655587958
42,2025-07-28 22:44:43.882681,-11.691070856159058
43,2025-07-28 22:44:55.570698,-11.384865850914139
44,2025-07-28 22:45:07.000392,-11.114688883822055
45,2025-07-28 22:45:17.996601,-10.87694729164923
46,2025-07-28 22:45:29.373813,-10.668303374359311
47,2025-07-28 22:45:40.895690,-10.485642524713512
48,2025-07-28 22:45:51.749315,-16.881437786651077
