iteration,timestamp,T2
0,2025-07-28 22:36:23.771587,0.0
1,2025-07-28 22:36:35.649703,3.01142048427162
2,2025-07-28 22:36:48.768518,3.179080930193504
3,2025-07-28 22:37:01.931795,3.345291749247383
4,2025-07-28 22:37:14.330018,3.510064075780017
5,2025-07-28 22:37:26.697916,3.6734090301967544
6,2025-07-28 22:37:40.511566,3.835337716928522
7,2025-07-28 22:37:53.465730,3.9958612220810763
8,2025-07-28 22:38:06.839796,4.154990612888643
9,2025-07-28 22:38:18.520795,4.312736934187152
10,2025-07-28 22:38:30.427565,4.469111209146497
11,2025-07-28 22:38:43.642767,4.624124437391202
12,2025-07-28 22:38:56.157211,4.777787591124595
13,2025-07-28 22:39:07.143034,4.943734018072115
14,2025-07-28 22:39:20.062562,5.108346345722986
15,2025-07-28 22:39:31.350427,5.271633084718664
16,2025-07-28 22:39:43.137831,5.433602705130694
17,2025-07-28 22:39:55.217382,5.594263644190669
18,2025-07-28 22:40:07.048900,5.753624308195757
19,2025-07-28 22:40:19.588066,5.911693068020015
20,2025-07-28 22:40:30.104278,6.068478262054162
21,2025-07-28 22:40:42.119045,6.223988191963419
22,2025-07-28 22:40:53.289095,6.378231124843119
23,2025-07-28 22:41:04.555686,6.531215289956266
24,2025-07-28 22:41:16.078745,6.682948878680529
25,2025-07-28 22:41:29.028448,6.82692114705454
26,2025-07-28 22:41:41.793783,6.969670267697099
27,2025-07-28 22:41:53.253695,7.1112054792516375
28,2025-07-28 22:42:05.188749,7.2515359507456765
29,2025-07-28 22:42:16.431119,7.338629876984783
30,2025-07-28 22:42:27.234359,7.42579052789902
31,2025-07-28 22:42:38.965051,7.512986003202364
32,2025-07-28 22:42:51.194248,7.449641684698676
33,2025-07-28 22:43:02.382348,7.387437423920164
34,2025-07-28 22:43:13.467918,7.326291933080031
35,2025-07-28 22:43:24.887648,7.266125039972208
36,2025-07-28 22:43:35.660211,7.206861417587207
37,2025-07-28 22:43:47.140693,7.1610540542184475
38,2025-07-28 22:43:58.890688,7.116626117214899
39,2025-07-28 22:44:09.843958,7.073463152372189
40,2025-07-28 22:44:21.149856,7.031454085545398
41,2025-07-28 22:44:32.754044,6.9904900440760604
42,2025-07-28 22:44:43.888327,6.9504603829796086
43,2025-07-28 22:44:55.649653,6.911263230014145
44,2025-07-28 22:45:07.000643,6.872805418835208
45,2025-07-28 22:45:18.052582,6.835002106294769
46,2025-07-28 22:45:29.308124,6.79777639780781
47,2025-07-28 22:45:40.871915,6.761058942139043
48,2025-07-28 22:45:51.749230,6.724787504037673
49,2025-07-28 22:46:02.376445,6.664260339428941
50,2025-07-28 22:46:14.482913,6.603736027458912
51,2025-07-28 22:46:26.166029,6.543214324947543
52,2025-07-28 22:46:37.847697,6.482695009387739
53,2025-07-28 22:46:48.845790,6.422177874923981
54,2025-07-28 22:47:00.595644,6.36166273432965
55,2025-07-28 22:47:12.256471,6.3011494218029505
56,2025-07-28 22:47:23.514584,6.240637781273741
57,2025-07-28 22:47:34.173151,6.180127664340013
58,2025-07-28 22:47:45.180900,6.119618947825681
59,2025-07-28 22:47:55.494344,6.05911150934583
60,2025-07-28 22:48:05.798211,5.998605241959023
61,2025-07-28 22:48:17.018366,5.905921305235267
62,2025-07-28 22:48:28.492360,5.972624601042603
63,2025-07-28 22:48:39.098348,6.0391881230154825
64,2025-07-28 22:48:50.648384,6.105598157789542
65,2025-07-28 22:49:02.444358,6.171841870865562
66,2025-07-28 22:49:14.542929,6.2379072583208375
67,2025-07-28 22:49:24.847627,6.303783075413945
68,2025-07-28 22:49:36.062277,6.369458783744406
69,2025-07-28 22:49:48.563815,6.434924502110536
70,2025-07-28 22:50:00.107865,6.500170963789613
71,2025-07-28 22:50:11.733466,6.565189471648648
72,2025-07-28 22:50:23.033158,6.629971875061621
73,2025-07-28 22:50:35.142191,6.690797983082823
74,2025-07-28 22:50:46.082167,6.751380788727623
75,2025-07-28 22:50:57.965412,6.811713967357477
76,2025-07-28 22:51:10.299418,6.8717916119117755
77,2025-07-28 22:51:22.666142,6.931608196954247
78,2025-07-28 22:51:34.114658,6.991158561495731
79,2025-07-28 22:51:46.325723,7.050437890569702
80,2025-07-28 22:51:58.471795,6.956215823666353
81,2025-07-28 22:52:10.384418,6.861682382156945
82,2025-07-28 22:52:21.569222,6.766856480504462
83,2025-07-28 22:52:33.644975,6.671755808006113
84,2025-07-28 22:52:44.689541,6.576396919239313
85,2025-07-28 22:52:56.388141,6.438116539211703
86,2025-07-28 22:53:07.846503,6.299598455608652
87,2025-07-28 22:53:20.711890,6.160852961265582
88,2025-07-28 22:53:31.820045,6.021889903027813
89,2025-07-28 22:53:43.196299,5.8827186810174705
90,2025-07-28 22:53:54.503261,5.910431335078328
91,2025-07-28 22:54:06.503156,5.938203319962125
92,2025-07-28 22:54:17.556101,5.966005413342999
93,2025-07-28 22:54:29.090966,5.993812753159654
94,2025-07-28 22:54:41.328089,6.021604011343531
95,2025-07-28 22:54:53.302348,6.049360799682877
96,2025-07-28 22:55:04.245793,6.077067178420243
97,2025-07-28 22:55:15.756432,6.103444652108477
98,2025-07-28 22:55:27.116120,6.129744286626556
99,2025-07-28 22:55:39.097684,6.155956140543715
100,2025-07-28 22:55:51.282989,6.182071563739615
101,2025-07-28 22:56:03.542334,6.20808302617761
102,2025-07-28 22:56:15.943498,6.233983963070614
103,2025-07-28 22:56:26.832718,6.259768659330211
104,2025-07-28 22:56:38.031391,6.2854321499182495
105,2025-07-28 22:56:49.387800,6.310970119962666
106,2025-07-28 22:57:00.366485,6.3363788408314825
107,2025-07-28 22:57:11.878249,6.361655088428389
108,2025-07-28 22:57:22.371987,6.386796097620029
109,2025-07-28 22:57:33.970579,6.440485266877104
110,2025-07-28 22:57:45.390646,6.494028190296615
111,2025-07-28 22:57:56.345838,6.547413817240273
112,2025-07-28 22:58:07.448416,6.60063190982719
113,2025-07-28 22:58:19.183787,6.653672975880568
114,2025-07-28 22:58:30.749702,6.706528217435617
115,2025-07-28 22:58:42.875789,6.759189473925848
116,2025-07-28 22:58:54.756084,6.811649173610121
117,2025-07-28 22:59:07.155759,6.863900297572155
118,2025-07-28 22:59:18.245534,6.915936329533809
119,2025-07-28 22:59:29.450466,6.967751234979872
120,2025-07-28 22:59:42.159541,7.019339421027275
121,2025-07-28 22:59:53.082783,7.087474692741518
122,2025-07-28 23:00:05.214609,7.004814382413032
123,2025-07-28 23:00:16.883834,6.92186244463416
124,2025-07-28 23:00:27.654955,6.8386386658900795
125,2025-07-28 23:00:40.028043,6.755161386374341
126,2025-07-28 23:00:52.417003,6.671447625593697
127,2025-07-28 23:01:04.007119,6.58751318052879
128,2025-07-28 23:01:15.690943,6.503372727975975
129,2025-07-28 23:01:26.396282,6.419039913187221
130,2025-07-28 23:01:38.660619,6.334527436659904
131,2025-07-28 23:01:50.497776,6.249847109350932
132,2025-07-28 23:02:02.225784,6.165009932983925
133,2025-07-28 23:02:13.234425,6.06997307309113
134,2025-07-28 23:02:25.115734,5.974781397587368
135,2025-07-28 23:02:36.896590,5.879444080680973
136,2025-07-28 23:02:47.499424,5.9440783678010956
137,2025-07-28 23:02:59.032624,6.00857665045379
138,2025-07-28 23:03:11.281647,6.072925326988665
139,2025-07-28 23:03:22.346736,6.13711170281373
140,2025-07-28 23:03:34.533861,6.201123911164501
141,2025-07-28 23:03:45.852403,6.264950854907452
142,2025-07-28 23:03:57.932995,6.328582149133355
143,2025-07-28 23:04:09.237042,6.392008077352943
144,2025-07-28 23:04:21.343604,6.455219532286332
145,2025-07-28 23:04:31.995925,6.5270211814955434
146,2025-07-28 23:04:43.534227,6.598566056214269
147,2025-07-28 23:04:54.935783,6.669846273088288
148,2025-07-28 23:05:07.272797,6.740854407463176
149,2025-07-28 23:05:18.560694,6.8115834512278735
150,2025-07-28 23:05:29.960265,6.88202680242406
151,2025-07-28 23:05:41.506467,6.952178237055316
152,2025-07-28 23:05:53.779046,7.022031891330503
153,2025-07-28 23:06:04.870626,6.941148029051615
154,2025-07-28 23:06:16.288800,6.859905988809167
155,2025-07-28 23:06:27.644221,6.778330725805158
156,2025-07-28 23:06:39.324845,6.696445316797898
157,2025-07-28 23:06:51.406314,6.621848739159757
158,2025-07-28 23:07:02.261947,6.54697689776458
159,2025-07-28 23:07:13.742956,6.471850131541291
160,2025-07-28 23:07:25.466011,6.396487166913125
161,2025-07-28 23:07:36.845598,6.320905268041823
162,2025-07-28 23:07:48.647567,6.245120362003058
163,2025-07-28 23:08:00.108616,6.169147142198408
164,2025-07-28 23:08:11.310866,6.0929991939715435
165,2025-07-28 23:08:23.501541,6.016689062466464
166,2025-07-28 23:08:34.998473,5.940228362642989
167,2025-07-28 23:08:46.186919,6.020020894703298
168,2025-07-28 23:08:57.406235,6.099579529423616
169,2025-07-28 23:09:08.564331,6.1657821295775745
170,2025-07-28 23:09:20.447978,6.231783381942753
171,2025-07-28 23:09:31.966028,6.297573490691769
172,2025-07-28 23:09:44.161559,6.36314327248804
173,2025-07-28 23:09:56.240375,6.428484110863472
174,2025-07-28 23:10:07.575428,6.493587915816663
175,2025-07-28 23:10:21.706136,6.558447101466809
176,2025-07-28 23:10:34.754421,6.623054539740958
177,2025-07-28 23:10:48.116296,6.687403541465389
178,2025-07-28 23:10:59.614471,6.751487835694555
179,2025-07-28 23:11:12.345971,6.81530153893374
180,2025-07-28 23:11:25.249324,6.8788391317847815
181,2025-07-28 23:11:39.492575,6.951849415153149
182,2025-07-28 23:11:53.604117,7.02455466534253
183,2025-07-28 23:12:06.402984,6.9473701910313155
184,2025-07-28 23:12:19.660995,6.869813616423192
185,2025-07-28 23:12:31.607286,6.791911971209657
186,2025-07-28 23:12:43.177687,6.713690151492567
187,2025-07-28 23:12:54.751619,6.635171087921752
188,2025-07-28 23:13:06.003285,6.556375934874362
189,2025-07-28 23:13:17.829020,6.477324222648717
190,2025-07-28 23:13:30.393536,6.398034003557303
191,2025-07-28 23:13:42.483951,6.3185219751104835
192,2025-07-28 23:13:55.444587,6.238803589867079
193,2025-07-28 23:14:08.108666,6.157407124432271
194,2025-07-28 23:14:20.248204,6.075830143698319
195,2025-07-28 23:14:32.554713,5.994084880619981
196,2025-07-28 23:14:44.591903,5.912182705808171
197,2025-07-28 23:14:58.039851,5.987679177472169
198,2025-07-28 23:15:10.439492,6.06296448867365
199,2025-07-28 23:15:22.508506,6.1380277818929505
200,2025-07-28 23:15:35.084585,6.212858822896707
201,2025-07-28 23:15:47.117825,6.287447944870375
202,2025-07-28 23:15:58.663401,6.361786026564982
203,2025-07-28 23:16:10.564070,6.435864456501704
204,2025-07-28 23:16:22.286883,6.509675097720822
205,2025-07-28 23:16:33.464859,6.5673091047137016
206,2025-07-28 23:16:44.838565,6.624693506266931
207,2025-07-28 23:16:57.159747,6.681823253291849
208,2025-07-28 23:17:09.550316,6.738693622467099
209,2025-07-28 23:17:21.196321,6.795300223808388
210,2025-07-28 23:17:33.232668,6.851638978618023
211,2025-07-28 23:17:45.810695,6.907706098369486
212,2025-07-28 23:17:58.512646,6.963498069218344
213,2025-07-28 23:18:10.776639,7.019011641009997
214,2025-07-28 23:18:23.710027,6.919706017708686
215,2025-07-28 23:18:35.952277,6.820090291530644
216,2025-07-28 23:18:48.627582,6.720182489494155
217,2025-07-28 23:19:01.457231,6.631168577596823
218,2025-07-28 23:19:13.414939,6.54189124554473
219,2025-07-28 23:19:25.501430,6.452367208975185
220,2025-07-28 23:19:37.710233,6.362612049369536
221,2025-07-28 23:19:49.588919,6.272640309147678
222,2025-07-28 23:20:01.555518,6.182465557230031
223,2025-07-28 23:20:14.348084,6.0921004657216535
224,2025-07-28 23:20:28.178263,6.00155686704007
225,2025-07-28 23:20:41.168166,5.91084582986404
226,2025-07-28 23:20:55.000398,5.979104268160355
227,2025-07-28 23:21:08.989268,6.047188684224798
228,2025-07-28 23:21:23.625321,6.115087297671613
229,2025-07-28 23:21:38.265311,6.181109822321849
230,2025-07-28 23:21:53.630670,6.2469313841723455
231,2025-07-28 23:22:05.507494,6.312542199226032
232,2025-07-28 23:22:20.384292,6.377933090062847
233,2025-07-28 23:22:34.182333,6.443095445843409
234,2025-07-28 23:22:47.603560,6.508021186111421
235,2025-07-28 23:23:01.124953,6.572702719901436
236,2025-07-28 23:23:14.073446,6.63713293067826
237,2025-07-28 23:23:27.417628,6.701305140213604
238,2025-07-28 23:23:41.889747,6.765213080427143
239,2025-07-28 23:23:56.332859,6.8288508776394945
240,2025-07-28 23:24:08.963434,6.8922130219322
241,2025-07-28 23:24:21.169182,6.968746534738926
242,2025-07-28 23:24:33.445675,7.044965576933208
243,2025-07-28 23:24:47.061726,6.972479838104197
244,2025-07-28 23:25:00.863090,6.8996031012872505
245,2025-07-28 23:25:13.647599,6.826365414131574
246,2025-07-28 23:25:25.922492,6.752794289094108
247,2025-07-28 23:25:38.185784,6.678914942752291
248,2025-07-28 23:25:51.876415,6.604750520759995
249,2025-07-28 23:26:07.245226,6.53032229071226
250,2025-07-28 23:26:21.303171,6.455649814711655
251,2025-07-28 23:26:34.749639,6.380751111603348
252,2025-07-28 23:26:48.038234,6.3056427700531605
253,2025-07-28 23:27:02.189735,6.2419500924947995
254,2025-07-28 23:27:16.003722,6.178093710345991
255,2025-07-28 23:27:31.405836,6.114087262524249
256,2025-07-28 23:27:44.378518,6.0499432137134885
257,2025-07-28 23:27:59.381513,5.985672944778376
258,2025-07-28 23:28:13.621373,5.921286867768599
259,2025-07-28 23:28:26.371803,6.0111157291155655
260,2025-07-28 23:28:39.694073,6.10066199203066
261,2025-07-28 23:28:53.485265,6.189916090260947
