iteration,timestamp,T4,T2,T3,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,V2,PU4,PU5,PU6,PU7
0,2025-02-14 13:52:29.427348,2.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,,2.519460916519165,,2.974067449569702,,,,,,,,,,,,,,,,
