iteration,timestamp,T5,T7,PU8F,PU10F,PU11F,J302,J306,J307,J317,PU8,PU10,PU11
0,2025-02-14 13:52:23.249790,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
,,1.0542067289352417,2.3851161003112793,,,,,,,,,,
