iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
0,2026-01-01 15:06:17.605113,3.0509999999999993,3.0509999999999993,79.06646893465594,79.25981145882966,56.50568526484545,54.346807676349066,56.41604034877507,219.275416468142,1.0,1.0,296.61242613763324,1.0,1.0,0,0
1,2026-01-01 15:06:21.618483,3.25229337088512,3.2810045173300804,79.06969557875,79.26223090423727,56.690828901924064,54.576801826635595,56.60174270221198,218.30763830509895,1.0,1.0,295.32176850000843,1.0,1.0,0,0
2,2026-01-01 15:06:26.112021,3.452766688343929,3.5094102081670555,79.0729189710524,79.26464436001697,56.875141717307095,54.80519725932721,56.78661493256386,217.34225599321908,1.0,1.0,294.03241157903796,1.0,1.0,0,0
3,2026-01-01 15:06:30.461113,3.6524165585764607,3.736224425488944,79.07613902960097,79.26705185721693,57.058621695385575,55.032001326588,56.97065498168757,216.37925711322768,1.0,1.0,292.7443881596164,1.0,1.0,0,0
4,2026-01-01 15:06:34.784076,3.8512396142947156,3.96145451758916,79.07935569767388,79.26945339265839,57.24126680496968,55.25722137589557,57.153860776538934,215.4186429366436,1.0,1.0,291.4577209304494,1.0,1.0,0,0
5,2026-01-01 15:06:39.523929,4.049232519416629,4.1851078272154005,79.08256891836321,79.27184896322274,57.42307505008966,55.4808647491828,57.33623027913186,214.46041471091485,1.0,1.0,290.1724326547149,1.0,1.0,0,0
6,2026-01-01 15:06:44.136145,4.246391969521307,4.40719169116953,79.08577863457698,79.27423856584927,57.6040444703083,55.70293878243771,57.51776148685432,213.50457366029354,1.0,1.0,288.88854616920577,1.0,1.0,0,0
7,2026-01-01 15:06:48.799748,4.442714692309334,4.62771343989439,79.08898478904173,79.27662219753311,57.78417314104058,55.923450805290464,57.69845243279141,212.55112098675153,1.0,1.0,287.60608438330974,1.0,1.0,0,0
8,2026-01-01 15:06:53.392112,4.6381974480684764,4.846680397075303,79.09218732430509,79.27899985532301,57.9634591738686,56.14240814061476,57.878301186044204,211.60005787079743,1.0,1.0,286.3250702779724,1.0,1.0,0,0
9,2026-01-01 15:06:57.779693,4.832837030144499,5.0640998792229786,79.09538618273848,79.28137153631887,58.141900716864996,56.3598181041108,58.057305852056864,210.65138547245581,1.0,1.0,285.0455269046076,1.0,1.0,0,0
10,2026-01-01 15:07:02.721250,5.026630265417397,5.279979195239122,79.09858130653947,79.2837372376691,58.319495954900844,56.57568800387097,58.23546457292875,209.70510493236247,1.0,1.0,283.767477384211,1.0,1.0,0,0
11,2026-01-01 15:07:07.489848,5.219574014782154,5.494325645994973,79.10177263773497,79.28609695656826,58.49624310996884,56.79002513995849,58.41277552774179,208.7612173727032,1.0,1.0,282.49094490602147,1.0,1.0,0,0
12,2026-01-01 15:07:11.386749,5.411665173634799,5.707146523908073,79.11824067947065,79.30004182029862,58.98935257530701,57.002916563764295,58.90463088493708,203.18327188055386,1.0,1.0,275.9037282117497,1.0,1.0,0,0
13,2026-01-01 15:07:15.880291,5.619582696449458,5.931300380274013,79.1216710731946,79.30253851087754,59.17690894151384,57.227060705813905,59.092856094538874,202.1845956489896,1.0,1.0,274.5315707221621,1.0,1.0,0,0
14,2026-01-01 15:07:20.732092,5.826492292998837,6.15392290018356,79.12509748012822,79.30503013809945,59.363499858137644,57.44967360548466,59.28011477913709,201.1879447602251,1.0,1.0,273.1610079487112,1.0,1.0,0,0
15,2026-01-01 15:07:25.853100,6.032391906197586,6.3750200179651655,79.12851987291745,79.30751670303746,59.549124508517124,57.670761196442115,59.466406084570835,200.19331878501814,1.0,1.0,271.79205083302094,1.0,1.0,0,0
16,2026-01-01 15:07:30.372270,6.237279500824978,6.594597657345636,79.1319382036558,79.30999820030937,59.733782067897494,57.89032940175839,59.651729148680566,199.20071987626065,1.0,1.0,270.4247185376732,1.0,1.0,0,0
17,2026-01-01 15:07:34.896250,6.441153073676344,6.8126617328579195,79.13535242423934,79.31247462446052,59.91747174179405,58.108384135313464,59.836083139605286,198.21015021579439,1.0,1.0,269.05903030427106,1.0,1.0,0,0
18,2026-01-01 15:07:39.367392,6.644010653911782,7.029218149624933,79.13876248636602,79.31494596996086,60.100192766170125,58.3249313015788,60.01946725596554,197.22161201565686,1.0,1.0,267.6950054535896,1.0,1.0,0,0
19,2026-01-01 15:07:43.322310,6.84585030340666,7.244272803114241,78.66368596803117,70.34709639914799,60.22717720285471,58.53970844871065,60.14891965692108,0.0,0.0,0.0,414.431403196882,1.0,1.0,0,0
20,2026-01-01 15:07:48.168646,7.043867073888598,7.409078328476858,78.68110775196801,70.4228971374752,60.39793684586596,58.70451173319759,60.320579171576625,0.0,0.0,0.0,412.6892248031982,1.0,1.0,0,0
21,2026-01-01 15:07:53.646510,7.240476176722617,7.5734255742540935,58.49657524612108,58.54771879272826,58.493641325349024,58.86836547566059,58.49360465659575,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22,2026-01-01 15:07:58.563392,7.215979329632039,7.516871531413639,58.46606595501807,58.510807293185906,58.464330351653224,58.811814304999004,58.46431653318563,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,2026-01-01 15:08:03.828301,7.190006673906475,7.461793298095775,58.434544797490666,58.473638944348295,58.433665957974455,58.75673869037885,58.4336639455034,0.0,0.0,0.0,0.0,0.0,0.0,0,0
24,2026-01-01 15:08:09.254381,7.1626584606102375,7.40809062325017,58.35227027793579,58.382384978802136,58.35299139335061,58.70302435031532,58.35307340768033,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,2026-01-01 15:08:14.179119,7.122500606238087,7.348469981656899,58.30742462657058,58.33453176420592,58.30861974343451,58.643405469498525,58.30872678356952,0.0,0.0,0.0,0.0,0.0,0.0,0,0
26,2026-01-01 15:08:19.961186,7.081482147098148,7.289709946009062,58.261926582011064,58.28640032976541,58.26365187104101,58.58464703580349,58.26378463538564,0.0,0.0,0.0,0.0,0.0,0.0,0,0
27,2026-01-01 15:08:24.881411,7.039671273475802,7.231742326052746,58.215862490293496,58.238030230787956,58.218151528735014,58.526680872232866,58.218310171523285,0.0,0.0,0.0,0.0,0.0,0.0,0,0
28,2026-01-01 15:08:29.827405,6.997131895961489,7.17450321119705,58.1693071049118,58.189455112081305,58.17217609415401,58.46944308045949,58.172360345367636,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29,2026-01-01 15:08:34.286074,6.95392377844512,7.117932837566746,58.122325297566135,58.14070374206103,58.12577708324653,58.41287390795662,58.12598634724989,0.0,0.0,0.0,0.0,0.0,0.0,0,0
30,2026-01-01 15:08:39.240923,6.910102675389404,7.061975450677868,58.07497339331386,58.091800776369766,58.0790006506309,58.356917610735884,58.079234087628244,0.0,0.0,0.0,0.0,0.0,0.0,0,0
31,2026-01-01 15:08:44.590695,6.865720477575324,7.006579159776095,58.02730028058867,58.042767364832876,58.03188807034549,58.301522307739525,58.03214466356125,0.0,0.0,0.0,0.0,0.0,0.0,0,0
32,2026-01-01 15:08:49.496803,6.820825367173088,6.951695782700768,57.97934836358357,57.993621653444116,57.98447619214907,58.24663982575398,57.98475480296718,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33,2026-01-01 15:08:54.487961,6.775461981345639,6.8972806822805035,57.93115439248332,57.94437920892565,57.93679787044659,58.19222553585197,57.9370972833243,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34,2026-01-01 15:08:59.820762,6.729671582797267,6.84329259582258,57.882750192470006,57.895053382136915,57.888882364033144,58.13823818292594,57.88920132271669,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35,2026-01-01 15:09:05.733968,6.683492235305828,6.789693459539661,57.834163305384486,57.845655620987856,57.840755705771315,58.08463971015742,57.841092942125854,0.0,0.0,0.0,0.0,0.0,0.0,0,0
36,2026-01-01 15:09:11.213938,6.636958982159206,6.736448230152502,57.87783218187409,57.889546407015374,57.8786262040171,58.03141833150328,57.87868801722197,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37,2026-01-01 15:09:16.263521,6.609060892487365,6.697656256627459,57.847053468099105,57.857219714698296,57.848233509074355,57.99262733978994,57.84831295201782,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38,2026-01-01 15:09:22.592146,6.580469699309856,6.659557387413868,57.81581548288118,57.82470193808272,57.81739294847111,57.954529325701074,57.81748964892527,0.0,0.0,0.0,0.0,0.0,0.0,0,0
39,2026-01-01 15:09:28.752375,6.551265963398246,6.6220710617595895,57.78420265593649,57.79203027656707,57.786172613396516,57.917043743714565,57.78628580307413,0.0,0.0,0.0,0.0,0.0,0.0,0,0
40,2026-01-01 15:09:35.091157,6.521522505751776,6.5851244586610385,57.75228393300494,57.75923458072209,57.754630589134095,57.880097786441034,57.754759246581315,0.0,0.0,0.0,0.0,0.0,0.0,0,0
41,2026-01-01 15:09:41.143906,6.4913048271366485,6.548652077352841,57.72011553814324,57.72633881749305,57.72281625509482,57.84362596525251,57.72295921340225,0.0,0.0,0.0,0.0,0.0,0.0,0,0
42,2026-01-01 15:09:46.579083,6.460671564938528,6.5125952804428975,57.68774324098072,57.69336222130559,57.69077147357215,57.807569653544874,57.6909275002788,0.0,0.0,0.0,0.0,0.0,0.0,0,0
43,2026-01-01 15:09:52.479036,6.429674977622118,6.476901809488862,57.655204244058915,57.660320220050345,57.658531660214095,57.77187660243419,57.658699515160514,0.0,0.0,0.0,0.0,0.0,0.0,0,0
44,2026-01-01 15:09:57.963088,6.398361444799798,6.44152528485611,57.62252875541915,57.6272251853118,57.62612673360863,57.73650044072875,57.62630520943721,0.0,0.0,0.0,0.0,0.0,0.0,0,0
45,2026-01-01 15:10:04.214331,6.366771970811625,6.406424702219104,57.58974129367207,57.59408704042582,57.593581946823626,57.70140017153834,57.59376989600214,0.0,0.0,0.0,0.0,0.0,0.0,0,0
46,2026-01-01 15:10:09.208429,6.3349426809508875,6.371563936307657,57.556861764453394,57.56091375173058,57.56091860746796,57.666539676122426,57.56111495902505,0.0,0.0,0.0,0.0,0.0,0.0,0,0
47,2026-01-01 15:10:15.583082,6.302905301285173,6.336911261028628,57.52390634263788,57.52771172382182,57.52815469550958,57.63188723410743,57.528358464079254,0.0,0.0,0.0,0.0,0.0,0.0,0,0
48,2026-01-01 15:10:21.201047,6.27068761510252,6.302438893102623,57.31630332410263,57.32200346153303,57.33492447566877,57.59737278492054,57.33576100225157,0.0,0.0,0.0,0.0,0.0,0.0,0,0
49,2026-01-01 15:10:26.399539,6.209240666949351,6.2428983271346485,57.255605955687145,57.2614391853224,57.27405471273401,57.537832049432495,57.274884705420334,0.0,0.0,0.0,0.0,0.0,0.0,0,0
50,2026-01-01 15:10:32.486106,6.147876111640013,6.183275369832368,57.1949242695111,57.20088022274622,57.213216301841406,57.47820893725394,57.21404035231441,0.0,0.0,0.0,0.0,0.0,0.0,0,0
51,2026-01-01 15:10:36.933844,6.086586747273638,6.123577223108267,57.13425721338379,57.14032623834111,57.15240669401967,57.418510649018735,57.153225337779425,0.0,0.0,0.0,0.0,0.0,0.0,0,0
52,2026-01-01 15:10:42.654745,6.025366014840004,6.063810445965457,57.073604412003185,57.07977716602212,57.09162391672281,57.358743742568585,57.09243762992317,0.0,0.0,0.0,0.0,0.0,0.0,0,0
53,2026-01-01 15:10:48.143703,5.96420796505952,6.0039809876963375,57.012963530154515,57.01923212917241,57.03086498601864,57.298914166132334,57.031674218959786,0.0,0.0,0.0,0.0,0.0,0.0,0,0
54,2026-01-01 15:10:54.021695,5.903107118632154,5.944094327575682,78.48429356972574,69.39964890475036,58.99706811227546,57.23950604969206,58.92004104323169,0.0,0.0,0.0,432.3706430274258,1.0,1.0,0,0
55,2026-01-01 15:10:59.513549,6.085351125416902,6.10394964789886,78.50043584435703,69.47365141267845,59.157356118987906,57.399358917880974,59.0810998253658,0.0,0.0,0.0,430.75641556429787,1.0,1.0,0,0
56,2026-01-01 15:11:04.725582,6.266381006734,6.26329018728213,78.51654577852015,69.54743839696064,59.31672203310361,57.55869698392063,59.241227049121036,0.0,0.0,0.0,429.14542214798286,1.0,1.0,0,0
57,2026-01-01 15:11:09.488927,6.446206118309705,6.422110053814556,78.53262320257518,69.62100738780094,59.47516982813303,57.71751435692662,59.400426860339465,0.0,0.0,0.0,427.53767974248166,1.0,1.0,0,0
58,2026-01-01 15:11:15.103032,6.62483566723711,6.580403522382262,78.54866795085786,69.69435598322018,59.63270347924025,57.875805312783946,59.55870340170615,0.0,0.0,0.0,425.93320491421343,1.0,1.0,0,0
59,2026-01-01 15:11:20.200187,6.802278716094197,6.738165030120653,78.56467986143036,69.76748184709746,59.78932696168196,58.03356428960025,59.71606081136823,0.0,0.0,0.0,424.3320138569628,1.0,1.0,0,0
60,2026-01-01 15:11:25.494527,6.97854418692035,6.895389172056559,78.45838724041761,69.21942777713484,59.470976154930966,58.190675241759955,59.40227272580297,0.0,0.0,0.0,434.9612759582373,1.0,1.0,0,0
61,2026-01-01 15:11:31.251764,7.123625461592942,7.026712680622768,78.47174366613119,69.28178261988282,59.60142454025787,58.32199692636248,59.53331010613417,0.0,0.0,0.0,433.62563338687954,1.0,1.0,0,0
62,2026-01-01 15:11:36.570114,7.267728986102215,7.157583409250165,57.91378334422937,57.91695564734765,57.97493060580063,58.45244797224492,57.97754389146112,0.0,0.0,0.0,0.0,0.0,0.0,0,0
63,2026-01-01 15:11:41.834533,7.165972297050686,7.069883354985132,57.818262358705134,57.821983269639084,57.87786107689576,58.36474666999437,57.880416242933585,0.0,0.0,0.0,0.0,0.0,0.0,0,0
64,2026-01-01 15:11:47.094953,7.064651033669288,6.981747877427831,57.72273665683488,57.72700600901383,57.78090323172329,58.27661002168873,57.78340463962952,0.0,0.0,0.0,0.0,0.0,0.0,0,0
65,2026-01-01 15:11:53.168036,6.963736590102166,6.893205582430472,57.62721271209469,57.6320264596285,57.684053813619336,58.18806662813951,57.68650544508567,0.0,0.0,0.0,0.0,0.0,0.0,0,0
66,2026-01-01 15:11:59.142305,6.863202436179266,6.8042830001636965,57.53169636344587,57.53704681913421,57.58730945394998,58.099143014799516,57.5897149477918,0.0,0.0,0.0,0.0,0.0,0.0,0,0
67,2026-01-01 15:12:04.296250,6.763023956408477,6.71500474612017,57.436192263885744,57.442068901896036,57.4906665446406,58.00986379278843,57.49302923217312,0.0,0.0,0.0,0.0,0.0,0.0,0,0
68,2026-01-01 15:12:09.675440,6.663178287103698,6.625393683985013,57.34070408128537,57.34709419147284,57.39412132260141,57.92025182173273,57.39644425863542,0.0,0.0,0.0,0.0,0.0,0.0,0,0
69,2026-01-01 15:12:15.083060,6.563644170775069,6.535471071255921,57.24523466458129,57.252123887381565,57.297669936568205,57.830328355358624,57.299955926666804,0.0,0.0,0.0,0.0,0.0,0.0,0,0
70,2026-01-01 15:12:21.319514,6.464401825464144,6.445256689889975,57.14978618189238,57.15715894624745,57.20130849994693,57.740113172114995,57.20356012447495,0.0,0.0,0.0,0.0,0.0,0.0,0,0
71,2026-01-01 15:12:26.573555,6.3654328270940415,6.354768963959469,57.05436023570703,57.062200117731614,57.10503313243728,57.64962469280772,57.10725276784717,0.0,0.0,0.0,0.0,0.0,0.0,0,0
72,2026-01-01 15:12:32.680396,6.266720003211255,6.264025065917014,56.90089470841647,56.90999967153609,56.955564865244746,57.55886607213781,56.95796506884406,0.0,0.0,0.0,0.0,0.0,0.0,0,0
73,2026-01-01 15:12:38.436821,6.163232289558862,6.168392908645479,56.80065326216568,56.81021237748582,56.85455055971304,57.463233216964355,56.85692163048547,0.0,0.0,0.0,0.0,0.0,0.0,0,0
74,2026-01-01 15:12:43.835508,6.059971010725255,6.072534319045898,56.700436786972176,56.71043253440819,56.753611416771506,57.36737396964943,56.755955234988214,0.0,0.0,0.0,0.0,0.0,0.0,0,0
75,2026-01-01 15:12:49.126058,5.95692271248037,5.97646275135992,56.60024542654061,56.61066032504506,56.652743965106275,57.27130178205019,56.655062276504374,0.0,0.0,0.0,0.0,0.0,0.0,0,0
76,2026-01-01 15:12:54.276397,5.854074786334368,5.8801908140693175,78.33930666401483,68.6493658443427,58.398012828790016,57.1754761920057,58.32526396531789,0.0,0.0,0.0,446.86933359851764,1.0,1.0,0,0
77,2026-01-01 15:12:59.593862,6.002418513444232,6.011342753594721,78.3525615408643,68.7116965622402,58.53080338707428,57.3066265199966,58.45868497933593,0.0,0.0,0.0,445.54384591357046,1.0,1.0,0,0
