,J1,J2,J3,J4,J5
280,-0.0001240130690361446,-0.00012403387915935093,-0.00012414195483652856,-0.0001255483903501231,-0.0001241476078090553
281,-0.00012373649408632225,-0.00012375858186906507,-0.0001238631814233049,-0.00012528486813977668,-0.0001238687515452419
282,-0.00012346000084259595,-0.00012348330880696033,-0.00012358465825383356,-0.00012502058887162715,-0.00012359015182909162
283,-0.00012318359010144274,-0.00012320806077941671,-0.0001233063717752725,-0.00012475560561962308,-0.0001233117945814932
284,-0.0001953366482016064,-0.00016385734113464945,-0.00012936989734735116,-0.00012449148165742495,-0.00012912077452535974
285,-0.00019538528739566463,-0.00016408363863897824,-0.00012985492014812693,-0.00012497325158933648,-0.00012960810290508994
286,-0.00019543381360315776,-0.00016430928625481566,-0.00013033713053326235,-0.00012545349954555917,-0.00013009258901331534
287,-0.00019548222636713714,-0.00016453427545716937,-0.00013081654255357454,-0.00012593220543732908,-0.00013057424749502778
288,-0.0001956062653754842,-0.00016514594825529138,-0.00013158870201427917,-0.00012640941872827605,-0.000131346246319185
289,-0.00019565604194867413,-0.0001653760026046436,-0.00013207763565035722,-0.00012690072361941972,-0.00013183744747308324
290,-0.00019570570469072207,-0.00016560535298428824,-0.00013256373186452784,-0.00012739036948423378,-0.00013232578315436894
291,-0.00019575525314043522,-0.00016583399191894165,-0.00013304700439637385,-0.00012787833875778197,-0.00013281126761191753
292,-0.00012725684385842594,-0.0001272590956956926,-0.00012741026205173033,-0.00012836318096339893,-0.00012741672330557897
293,-0.00012700164806585563,-0.000127005146859388,-0.00012714920512884142,-0.00012813449691956747,-0.0001271554468266467
294,-0.00012674626563593554,-0.0001267511283235606,-0.00012688853142034606,-0.0001279039178828234,-0.00012689457481658616
295,-0.00012649076289129562,-0.00012649705965919357,-0.00012662824110732607,-0.00012767160077753692,-0.00012663410499489825
296,-0.00012623519134122435,-0.00012624295739849077,-0.00012636832899499682,-0.00012743768757751074,-0.00012637403006172222
297,-0.00012597959094962975,-0.00012598883517917658,-0.00012610878610283205,-0.00012720230703757495,-0.00012611433920307834
298,-0.00012572399259520555,-0.00012573470408402398,-0.000125849600796325,-0.00012696557621014737,-0.00012585501919433527
299,-0.00012546841994874047,-0.000125480573000189,-0.0001255907596527861,-0.0001267276017354413,-0.00012559605524337214
300,-0.00012612984604679493,-0.0001261313458597671,-0.00012617399358279602,-0.00012648870258058774,-0.0001261758687217851
301,-0.00012599402143171316,-0.00012599631354695163,-0.0001260356384823147,-0.00012636526201510512,-0.00012603741873160268
302,-0.00012585815880996319,-0.00012586125852958872,-0.00012589764300183215,-0.00012624036872358136,-0.00012589934319598095
303,-0.00012572230981461985,-0.00012572619932612355,-0.00012575998677813227,-0.00012611422192713772,-0.0001257616190722588
304,-0.00012558650638893996,-0.00012559114833641638,-0.0001256226450595943,-0.0001259869905213501,-0.00012562421950373936
305,-0.0001254507673258208,-0.0001254561134969437,-0.00012548559144505533,-0.00012585881848040936,-0.0001254871164001059
306,-0.00012531510260315335,-0.00012532109955544433,-0.0001253487994965702,-0.00012572982910688535,-0.00012535028197095842
307,-0.0001251795163179137,-0.00012518610902159915,-0.0001252122437014086,-0.0001256001283873992,-0.0001252136896085876
