iteration,timestamp,J1,J2
0,2025-12-25 17:36:07.863348,0.0,0.0
1,2025-12-25 17:36:13.675391,79.06969557875,79.26223090423727
2,2025-12-25 17:36:18.799137,79.0729189710524,79.26464436001697
3,2025-12-25 17:36:24.847784,79.07613902960097,79.26705185721693
4,2025-12-25 17:36:30.292939,79.07935569767388,79.26945339265839
5,2025-12-25 17:36:36.080446,79.08256891836321,79.27184896322274
6,2025-12-25 17:36:41.410454,79.08577863457698,79.27423856584927
7,2025-12-25 17:36:46.512199,79.08898478904173,79.27662219753311
8,2025-12-25 17:36:52.103358,79.09218732430509,79.27899985532301
9,2025-12-25 17:36:58.157749,79.09538618273848,79.28137153631887
10,2025-12-25 17:37:03.258781,79.09858130653947,79.2837372376691
11,2025-12-25 17:37:08.402223,79.10177263773497,79.28609695656826
12,2025-12-25 17:37:14.010327,79.11824067947065,79.30004182029862
13,2025-12-25 17:37:19.382550,79.1216710731946,79.30253851087754
14,2025-12-25 17:37:24.968626,79.12509748012822,79.30503013809945
15,2025-12-25 17:37:30.603783,79.12851987291745,79.30751670303746
16,2025-12-25 17:37:35.958916,79.1319382036558,79.30999820030937
17,2025-12-25 17:37:41.465563,79.13535242423934,79.31247462446052
18,2025-12-25 17:37:46.788214,79.13876248636602,79.31494596996086
19,2025-12-25 17:37:51.844842,78.66368596803117,70.34709639914799
20,2025-12-25 17:37:57.392705,78.68110775196801,70.4228971374752
21,2025-12-25 17:38:02.936667,58.49657524612108,58.54771879272826
22,2025-12-25 17:38:08.251301,58.46606595501807,58.510807293185906
23,2025-12-25 17:38:13.010397,58.434544797490666,58.473638944348295
24,2025-12-25 17:38:18.228876,58.35227027793579,58.382384978802136
25,2025-12-25 17:38:23.632921,58.30742462657058,58.33453176420592
26,2025-12-25 17:38:29.278713,58.261926582011064,58.28640032976541
27,2025-12-25 17:38:34.662276,58.215862490293496,58.238030230787956
28,2025-12-25 17:38:39.914607,58.1693071049118,58.189455112081305
29,2025-12-25 17:38:45.865800,58.122325297566135,58.14070374206103
30,2025-12-25 17:38:51.260243,58.07497339331386,58.091800776369766
31,2025-12-25 17:38:57.166766,58.02730028058867,58.042767364832876
32,2025-12-25 17:39:02.812009,57.97934836358357,57.993621653444116
33,2025-12-25 17:39:08.650036,57.93115439248332,57.94437920892565
34,2025-12-25 17:39:14.239749,57.882750192470006,57.895053382136915
35,2025-12-25 17:39:19.459443,57.834163305384486,57.845655620987856
36,2025-12-25 17:39:24.569386,57.87783218187409,57.889546407015374
37,2025-12-25 17:39:29.877554,57.847053468099105,57.857219714698296
38,2025-12-25 17:39:35.132553,57.81581548288118,57.82470193808272
39,2025-12-25 17:39:40.369321,57.78420265593649,57.79203027656707
40,2025-12-25 17:39:46.336630,57.75228393300494,57.75923458072209
41,2025-12-25 17:39:52.117683,57.72011553814324,57.72633881749305
42,2025-12-25 17:39:57.727494,57.68774324098072,57.69336222130559
43,2025-12-25 17:40:03.089668,57.655204244058915,57.660320220050345
44,2025-12-25 17:40:08.422698,57.62252875541915,57.6272251853118
45,2025-12-25 17:40:13.928889,57.58974129367207,57.59408704042582
46,2025-12-25 17:40:20.662749,57.556861764453394,57.56091375173058
47,2025-12-25 17:40:26.643538,57.52390634263788,57.52771172382182
48,2025-12-25 17:40:32.322993,57.31630332410263,57.32200346153303
49,2025-12-25 17:40:38.153011,57.255605955687145,57.2614391853224
50,2025-12-25 17:40:44.035829,57.1949242695111,57.20088022274622
51,2025-12-25 17:40:49.116550,57.13425721338379,57.14032623834111
52,2025-12-25 17:40:54.609563,57.073604412003185,57.07977716602212
53,2025-12-25 17:40:59.947121,57.012963530154515,57.01923212917241
54,2025-12-25 17:41:05.719610,78.48429356972574,69.39964890475036
55,2025-12-25 17:41:11.153415,78.50043584435703,69.47365141267845
56,2025-12-25 17:41:16.574308,78.51654577852015,69.54743839696064
57,2025-12-25 17:41:22.421512,78.53262320257518,69.62100738780094
58,2025-12-25 17:41:27.816128,78.54866795085786,69.69435598322018
59,2025-12-25 17:41:33.090931,78.56467986143036,69.76748184709746
60,2025-12-25 17:41:38.688960,78.45838724041761,69.21942777713484
61,2025-12-25 17:41:44.466883,78.47174366613119,69.28178261988282
62,2025-12-25 17:41:49.484778,57.91378334422937,57.91695564734765
63,2025-12-25 17:41:55.110901,57.818262358705134,57.821983269639084
64,2025-12-25 17:42:00.368487,57.72273665683488,57.72700600901383
65,2025-12-25 17:42:06.260828,57.62721271209469,57.6320264596285
66,2025-12-25 17:42:12.166248,57.53169636344587,57.53704681913421
67,2025-12-25 17:42:18.077054,57.436192263885744,57.442068901896036
68,2025-12-25 17:42:23.370664,57.34070408128537,57.34709419147284
69,2025-12-25 17:42:29.171299,57.24523466458129,57.252123887381565
70,2025-12-25 17:42:34.500862,57.14978618189238,57.15715894624745
71,2025-12-25 17:42:40.276812,57.05436023570703,57.062200117731614
72,2025-12-25 17:42:45.231617,56.90089470841647,56.90999967153609
73,2025-12-25 17:42:50.947647,56.80065326216568,56.81021237748582
74,2025-12-25 17:42:56.671168,56.700436786972176,56.71043253440819
75,2025-12-25 17:43:02.713432,56.60024542654061,56.61066032504506
76,2025-12-25 17:43:08.232235,78.33930666401483,68.6493658443427
77,2025-12-25 17:43:13.527331,78.3525615408643,68.7116965622402
78,2025-12-25 17:43:19.213688,78.36578226679605,68.77385301851135
79,2025-12-25 17:43:24.585971,78.37896872028057,68.83583248453587
80,2025-12-25 17:43:30.036134,78.39212077777728,68.89763231951521
81,2025-12-25 17:43:35.337568,78.40523832095695,68.95924997161487
82,2025-12-25 17:43:40.119791,78.4183212363755,69.02068297487617
83,2025-12-25 17:43:45.323577,78.43136941517176,69.0819289462861
84,2025-12-25 17:43:50.846781,78.29606506854358,68.34371792914988
85,2025-12-25 17:43:56.725543,57.060613264878,57.0735347982742
86,2025-12-25 17:44:02.430374,56.91554027165819,56.92923849740533
