iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,T1,T2,P1,J1,J2
58.0,2025-12-25 17:41:26.454735,False,0.0,0,1,6.62483549118042,6.5804033279418945,1.0,78.54866790771484,69.6943588256836
59.0,2025-12-25 17:41:32.097161,False,0.0,0,1,6.802278518676758,6.738164901733398,1.0,78.56468200683594,69.7674789428711
60.0,2025-12-25 17:41:37.103927,False,0.0,0,1,6.978544235229492,6.895389080047607,1.0,78.45838928222656,69.21942901611328
61.0,2025-12-25 17:41:43.106877,False,0.0,0,0,7.1236252784729,7.026712894439697,1.0,78.47174072265625,69.28178405761719
62.0,2025-12-25 17:41:48.367661,False,0.0,0,0,7.267728805541992,7.157583236694336,0.0,57.91378402709961,57.916954040527344
63.0,2025-12-25 17:41:53.898064,False,0.0,0,0,7.1659722328186035,7.069883346557617,0.0,57.81826400756836,57.821983337402344
64.0,2025-12-25 17:41:59.342017,False,0.0,0,0,7.064651012420654,6.981748104095459,0.0,57.72273635864258,57.72700500488281
65.0,2025-12-25 17:42:04.846574,False,0.0,0,0,6.963736534118652,6.893205642700195,0.0,57.62721252441406,57.63202667236328
66.0,2025-12-25 17:42:11.059174,False,0.0,0,0,6.8632025718688965,6.804283142089844,0.0,57.53169631958008,57.53704833984375
67.0,2025-12-25 17:42:16.950612,False,0.0,0,0,6.763023853302002,6.715004920959473,0.0,57.43619155883789,57.44207000732422
68.0,2025-12-25 17:42:22.243445,False,0.0,0,0,6.663178443908691,6.625393867492676,0.0,57.34070587158203,57.34709548950195
69.0,2025-12-25 17:42:27.965994,False,0.0,0,0,6.5636444091796875,6.535470962524414,0.0,57.245235443115234,57.25212478637695
70.0,2025-12-25 17:42:33.284991,False,0.0,0,0,6.464401721954346,6.44525671005249,0.0,57.14978790283203,57.15715789794922
71.0,2025-12-25 17:42:39.111045,False,0.0,0,0,6.3654327392578125,6.354768753051758,0.0,57.054359436035156,57.062198638916016
72.0,2025-12-25 17:42:44.047065,False,0.0,0,0,6.266719818115234,6.2640252113342285,0.0,56.90089416503906,56.90999984741211
73.0,2025-12-25 17:42:49.549196,False,0.0,0,0,6.163232326507568,6.168393135070801,0.0,56.80065155029297,56.810211181640625
74.0,2025-12-25 17:42:55.465610,False,0.0,0,0,6.059970855712891,6.072534084320068,0.0,56.700435638427734,56.71043395996094
75.0,2025-12-25 17:43:01.326436,False,0.0,0,1,5.95692253112793,5.9764628410339355,0.0,56.60024642944336,56.610660552978516
76.0,2025-12-25 17:43:07.030586,False,0.0,0,1,5.854074954986572,5.880190849304199,1.0,78.33930969238281,68.64936828613281
77.0,2025-12-25 17:43:12.461493,False,0.0,0,1,6.002418518066406,6.011342525482178,1.0,78.3525619506836,68.7116928100586
78.0,2025-12-25 17:43:18.081074,False,0.0,0,1,6.14974308013916,6.142094135284424,1.0,78.36578369140625,68.77384948730469
79.0,2025-12-25 17:43:23.499581,False,0.0,0,1,6.296058177947998,6.272439002990723,1.0,78.37896728515625,68.83583068847656
80.0,2025-12-25 17:43:28.985523,False,0.0,0,1,6.4413743019104,6.402370929718018,1.0,78.39212036132812,68.89762878417969
81.0,2025-12-25 17:43:34.269090,False,0.0,0,1,6.585700035095215,6.531883716583252,1.0,78.40523529052734,68.9592514038086
82.0,2025-12-25 17:43:39.209941,False,0.0,0,1,6.729045867919922,6.6609721183776855,1.0,78.41831970214844,69.02068328857422
83.0,2025-12-25 17:43:44.295076,False,0.0,0,1,6.871420383453369,6.78963041305542,1.0,78.43136596679688,69.0819320678711
84.0,2025-12-25 17:43:49.777758,False,0.0,0,0,7.012833118438721,6.917853355407715,1.0,78.29606628417969,68.34371948242188
85.0,2025-12-25 17:43:55.677225,False,0.0,0,0,7.113380432128906,7.012702465057373,0.0,57.060611724853516,57.07353591918945
86.0,2025-12-25 17:44:01.069272,False,0.0,0,0,6.961755752563477,6.876477241516113,0.0,56.9155387878418,56.929237365722656
87.0,2025-12-25 17:44:06.794455,False,0.0,0,0,6.810458660125732,6.73992395401001,0.0,56.77049255371094,56.78494644165039
