iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1,J2,J13
0.0,2024-11-06 11:31:56.210435,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0
1.0,2024-11-06 11:32:06.002018,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0,77.71089172363281,78.09886932373047
