iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
126.0,2025-02-03 17:59:24.057950,0.0,6.383570194244385,74.79380798339844,57.97420120239258,1.0,6.3930864334106445,66.43436431884766,57.61702346801758,1.0,67.48152160644531,303.9330139160156,190.9417724609375,1.0
127.0,2025-02-03 17:59:29.642144,0.0,6.462946891784668,74.11163330078125,58.04798889160156,1.0,6.464026927947998,66.23489379882812,57.68817901611328,1.0,67.49825286865234,303.0513610839844,190.32342529296875,1.0
128.0,2025-02-03 17:59:34.925203,0.0,6.541606903076172,73.44255828857422,58.121212005615234,1.0,6.534743309020996,66.02595520019531,57.759117126464844,1.0,67.51490783691406,302.17333984375,189.7086944580078,1.0
129.0,2025-02-03 17:59:40.067159,0.0,6.619563579559326,72.78602600097656,58.19388198852539,1.0,6.605226516723633,65.80809020996094,57.829833984375,1.0,67.53150177001953,301.2989501953125,189.09751892089844,1.0
130.0,2025-02-03 17:59:44.940942,0.0,6.6968302726745605,72.14153289794922,58.26599884033203,1.0,6.675467014312744,65.58182525634766,57.90031814575195,1.0,67.54801940917969,300.4281921386719,188.48985290527344,1.0
131.0,2025-02-03 17:59:50.311051,0.0,6.77341890335083,71.50858306884766,58.33757781982422,1.0,6.745457172393799,65.34765625,57.970558166503906,1.0,67.5644760131836,299.5610656738281,187.88565063476562,1.0
132.0,2025-02-03 17:59:55.442422,0.0,6.84934139251709,70.88674926757812,58.40861892700195,1.0,6.815188407897949,65.10601806640625,58.04054641723633,1.0,67.58085632324219,298.6976013183594,187.284912109375,1.0
133.0,2025-02-03 18:00:00.897900,0.0,6.914737224578857,61.0579948425293,58.40237808227539,1.0,6.876542568206787,57.284393310546875,58.110260009765625,1.0,67.54109954833984,300.7930603027344,186.92843627929688,1.0
134.0,2025-02-03 18:00:06.310216,0.0,6.979581832885742,60.54376983642578,58.46376419067383,1.0,6.93764066696167,57.0457649230957,58.17161178588867,1.0,67.55538177490234,300.04022216796875,186.4084014892578,1.0
135.0,2025-02-03 18:00:11.327834,0.0,7.043885707855225,60.03839874267578,58.524696350097656,1.0,6.998477935791016,56.80171203613281,58.23270797729492,1.0,67.5696029663086,299.290771484375,185.89141845703125,1.0
136.0,2025-02-03 18:00:16.306937,0.0,6.941062927246094,-96.00263214111328,57.74229431152344,1.0,6.905888080596924,-86.44821166992188,58.29332733154297,1.0,57.68269348144531,0.0,-12.087248802185059,0.0
137.0,2025-02-03 18:00:21.516752,0.0,6.838542938232422,-95.71977996826172,57.642723083496094,1.0,6.812995433807373,-86.7310562133789,58.20073699951172,1.0,57.58420944213867,0.0,-11.96667194366455,0.0
138.0,2025-02-03 18:00:26.726287,0.0,6.736307621002197,-95.45433044433594,57.54324722290039,1.0,6.719818592071533,-86.99649810791016,58.107845306396484,1.0,57.485748291015625,0.0,-11.85340690612793,0.0
139.0,2025-02-03 18:00:31.731231,0.0,6.634338855743408,-95.2051773071289,57.44386291503906,1.0,6.626375198364258,-87.24565887451172,58.01466751098633,1.0,57.38731002807617,0.0,-11.747029304504395,0.0
140.0,2025-02-03 18:00:37.214258,0.0,6.532620906829834,-94.97124481201172,57.34456253051758,1.0,6.532680988311768,-87.4795913696289,57.92122268676758,1.0,57.28889465332031,0.0,-11.64708423614502,0.0
141.0,2025-02-03 18:00:42.581276,0.0,6.431138038635254,-94.75151824951172,57.2453498840332,1.0,6.438751220703125,-87.69931030273438,57.8275260925293,1.0,57.19050216674805,0.0,-11.553167343139648,0.0
142.0,2025-02-03 18:00:47.726216,0.0,6.32987642288208,-94.54509735107422,57.14621353149414,1.0,6.344600677490234,-87.90573120117188,57.73359680175781,1.0,57.09213638305664,0.0,-11.464886665344238,0.0
143.0,2025-02-03 18:00:52.922740,0.0,6.228822231292725,-94.35112762451172,57.04715347290039,1.0,6.250242233276367,-88.09970092773438,57.63944625854492,1.0,56.99379348754883,0.0,-11.381893157958984,0.0
144.0,2025-02-03 18:00:58.011169,0.0,6.127963542938232,-94.1688003540039,56.94816589355469,1.0,6.155688762664795,-88.28202056884766,57.54508590698242,1.0,56.895477294921875,0.0,-11.303848266601562,0.0
145.0,2025-02-03 18:01:03.013921,0.0,6.039247512817383,-82.83184051513672,56.969032287597656,1.0,6.071846961975098,-78.28050994873047,57.450565338134766,1.0,56.92824935913086,0.0,-9.843300819396973,0.0
146.0,2025-02-03 18:01:08.159901,0.0,5.950688362121582,-82.68500518798828,56.881805419921875,1.0,5.987847805023193,-78.4273452758789,57.366722106933594,1.0,56.84149932861328,0.0,-9.780364990234375,0.0
147.0,2025-02-03 18:01:13.385456,0.0,6.034301280975342,78.06703186035156,57.65244674682617,1.0,6.061191558837891,68.47866821289062,57.28294372558594,1.0,67.41085052490234,307.65789794921875,193.6439666748047,1.0
148.0,2025-02-03 18:01:18.222922,0.0,6.1171441078186035,77.34790802001953,57.729148864746094,1.0,6.134335041046143,68.29218292236328,57.35628890991211,1.0,67.42803192138672,306.7522888183594,193.0067138671875,1.0
149.0,2025-02-03 18:01:23.312323,0.0,6.1992316246032715,76.64282989501953,57.805267333984375,1.0,6.207268238067627,68.09526824951172,57.4294319152832,1.0,67.44515228271484,305.85028076171875,192.37313842773438,1.0
150.0,2025-02-03 18:01:28.345662,0.0,6.28057861328125,75.95120239257812,57.88080978393555,1.0,6.279979228973389,67.88851165771484,57.50236511230469,1.0,67.46219635009766,304.951904296875,191.74319458007812,1.0
151.0,2025-02-03 18:01:33.344296,0.0,6.361198425292969,75.27246856689453,57.95578384399414,1.0,6.35245943069458,67.67249298095703,57.5750732421875,1.0,67.47917175292969,304.0571594238281,191.1168670654297,1.0
152.0,2025-02-03 18:01:39.042869,0.0,6.441104888916016,74.6061019897461,58.03019332885742,1.0,6.424698829650879,67.44774627685547,57.647552490234375,1.0,67.49607849121094,303.1660461425781,190.49407958984375,1.0
153.0,2025-02-03 18:01:44.531215,0.0,6.520309925079346,73.95162200927734,58.10404586791992,1.0,6.496688365936279,67.21476745605469,57.719791412353516,1.0,67.5129165649414,302.2785949707031,189.87481689453125,1.0
154.0,2025-02-03 18:01:49.931254,0.0,6.5988264083862305,73.30855560302734,58.17734909057617,1.0,6.56842041015625,66.9740219116211,57.79178237915039,1.0,67.5296859741211,301.394775390625,189.259033203125,1.0
155.0,2025-02-03 18:01:55.578523,0.0,6.676665782928467,72.67646789550781,58.25010299682617,1.0,6.639886856079102,66.72596740722656,57.8635139465332,1.0,67.54637908935547,300.5146484375,188.64671325683594,1.0
156.0,2025-02-03 18:02:00.858029,0.0,6.75383996963501,72.05494689941406,58.322322845458984,1.0,6.711080074310303,66.47100067138672,57.93497848510742,1.0,67.5630111694336,299.6381530761719,188.0377960205078,1.0
