iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
24,50:38.2,6.468143359,6.857694219,69.72266996,70.14474511,58.7622885,58.00266617,58.71572059,7.420720188,69.72266934,58.00266575,163.5629346,1,185.8092057,1,133.2783347,1,206.5636668,1,140.4205695,1,0
25,50:43.5,6.602252991,7.000323401,69.70276828,70.12347176,58.78439411,58.15302796,58.73890262,7.443902248,69.70276767,58.15302756,164.6841867,1,186.8581613,1,125.214263,1,206.1358153,1,133.1687237,1,0
26,50:48.6,6.720989349,7.089448358,67.79835919,63.61405237,58.71414844,58.29546319,58.67603498,7.381034651,67.79835863,58.29546294,0,0,287.2336545,1,110.860684,1,186.6494418,1,83.21338171,1,0
27,50:53.5,6.838409848,7.178596637,67.8212558,63.66399421,58.81637285,58.38458822,58.77886294,7.483862608,67.82125525,58.38458797,0,0,286.0268451,1,109.6321061,1,185.767582,1,83.23515209,1,0
28,50:58.7,6.954546274,7.267739593,67.84409677,63.71391937,58.9178303,58.47373648,58.88090508,7.585904757,67.84409622,58.47373623,0,0,284.8229683,1,108.4332025,1,184.8900856,1,83.2301832,1,0
29,51:03.8,7.069428626,7.356850507,67.86687923,63.76381454,59.01851985,58.56287934,58.98216159,7.687161265,67.86687868,58.56287909,0,0,283.6221759,1,107.262313,1,184.0170105,1,83.20026849,1,0
30,51:08.7,7.031098985,7.295402217,58.26835844,58.30537113,58.26845083,58.65178025,58.26849006,6.973490163,58.26835844,58.65178042,0,0,0,0,-35.78726887,1,-0.377403478,1,-57.37247633,1,0
31,51:14.2,6.991767642,7.234955618,58.2250338,58.25818049,58.22540441,58.59033406,58.22546531,6.930465422,58.22503381,58.59033423,0,0,0,0,-36.72253183,1,-0.796076226,1,-56.43723076,1,0
32,51:19.1,6.951511337,7.175433981,58.18085247,58.21061424,58.1816224,58.52988938,58.18170713,6.886707241,58.18085248,58.52988955,0,0,0,0,-37.58614143,1,-1.181429921,1,-55.57361826,1,0
33,51:23.9,6.910402187,7.116765195,58.13593026,58.16272836,58.13718172,58.47036949,58.13729158,6.842291695,58.13593027,58.47036965,0,0,0,0,-38.38242047,1,-1.535753435,1,-54.77734212,1,0
34,51:28.8,6.868507906,7.058881549,58.09036588,58.114569,58.09215222,58.41170229,58.09228784,6.797287959,58.09036589,58.41170245,0,0,0,0,-39.11547153,1,-1.861103858,1,-54.04427367,1,0
35,51:34.1,6.825891929,7.001719594,58.0442442,58.06617492,58.04659685,58.35382009,58.04675834,6.751758462,58.0442442,58.35382025,0,0,0,0,-39.7893016,1,-2.159468745,1,-53.3704523,1,0
36,51:39.3,6.782613577,6.945220013,57.99763889,58.01757925,58.00057239,58.29665944,58.00075944,6.705759563,57.9976389,58.2966596,0,0,0,0,-40.40773511,1,-2.432708168,1,-52.75201009,1,0
37,51:44.2,6.758569038,6.902575722,58.03726625,58.05949731,58.03715957,58.24018427,58.03716252,6.74216259,58.03726625,58.24018438,0,0,0,0,-22.44969205,1,0.406373671,1,-39.81573375,1,0
38,51:49.6,6.73341768,6.861038252,58.00958664,58.02847517,58.00958935,58.19754167,58.00960202,6.714602093,58.00958664,58.19754179,0,0,0,0,-23.48309265,1,-0.056555473,1,-38.78232445,1,0
39,51:54.6,6.707270516,6.820496582,57.98100439,57.99709863,57.98114594,58.15600569,57.98117249,6.686172559,57.98100439,58.15600581,0,0,0,0,-24.41285072,1,-0.47343189,1,-37.85257797,1,0
40,51:59.5,6.680234613,6.780843652,57.95155279,57.96533862,57.95196552,58.11546533,57.95200828,6.657008356,57.9515528,58.11546544,0,0,0,0,-25.24263424,1,-0.843710885,1,-37.02278866,1,0
41,52:04.3,6.652407988,6.741981437,57.9213975,57.93327575,57.9221559,58.07581354,57.92221602,6.627216099,57.9213975,58.07581365,0,0,0,0,-25.98091205,1,-1.171854314,1,-36.28451664,1,0
42,52:09.1,6.623880122,6.703820475,57.89066846,57.90097024,57.89181067,58.03695233,57.89188843,6.59688851,57.89066847,58.03695243,0,0,0,0,-26.63564015,1,-1.461845978,1,-35.62978274,1,0
43,52:13.9,6.594732335,6.666279435,57.85947112,57.86846963,57.86101047,57.99879223,57.86110554,6.566105625,57.85947113,57.99879234,0,0,0,0,-27.21444138,1,-1.717420507,1,-35.05097862,1,0
44,52:19.1,6.56503817,6.629284764,57.82789155,57.83581189,57.82982441,57.96125195,57.82993605,6.534936136,57.82789155,57.96125205,0,0,0,0,-27.72457928,1,-1.942034392,1,-34.54084941,1,0
45,52:24.0,6.534863815,6.592770285,57.79600009,57.80302755,57.7983115,57.92425793,57.79843872,6.503438807,57.7960001,57.92425803,0,0,0,0,-28.17291757,1,-2.138947105,1,-34.09250822,1,0
