iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
20.0,2025-01-23 01:24:04.693015,1.0,5.892408847808838,-136.22459411621094,58.18209457397461,1.0,6.248608112335205,145.11529541015625,57.38857650756836,1.0,69.64399719238281,189.95584106445312,211.13400268554688,1.0
21.0,2025-01-23 01:24:09.436244,1.0,6.037526607513428,-135.4921875,58.31666564941406,1.0,6.402763366699219,143.9300537109375,57.54399490356445,1.0,69.66373443603516,188.91554260253906,209.98837280273438,1.0
22.0,2025-01-23 01:24:14.302493,1.0,6.181857109069824,-134.7569580078125,58.450462341308594,1.0,6.555656909942627,142.75253295898438,57.698143005371094,1.0,69.68342590332031,187.87765502929688,208.84475708007812,1.0
23.0,2025-01-23 01:24:18.960831,1.0,6.325396537780762,-134.0189971923828,58.58348083496094,1.0,6.7072978019714355,141.5827178955078,57.85103225708008,1.0,69.70307159423828,186.84219360351562,207.7031707763672,1.0
24.0,2025-01-23 01:24:23.566537,1.0,6.468143463134766,-133.27833557128906,58.715721130371094,1.0,6.857694149017334,140.42056274414062,58.00266647338867,1.0,69.72267150878906,185.8092041015625,206.56365966796875,1.0
25.0,2025-01-23 01:24:28.448126,1.0,6.602252960205078,-125.21426391601562,58.7389030456543,1.0,7.000323295593262,133.16871643066406,58.15302658081055,1.0,69.70276641845703,186.858154296875,206.1358184814453,1.0
26.0,2025-01-23 01:24:33.212413,0.0,6.720989227294922,-110.86068725585938,58.6760368347168,1.0,7.08944845199585,83.21337890625,58.29546356201172,1.0,67.7983627319336,287.233642578125,186.64944458007812,1.0
27.0,2025-01-23 01:24:37.828368,0.0,6.838409900665283,-109.6321029663086,58.77886199951172,1.0,7.178596496582031,83.23515319824219,58.384586334228516,1.0,67.82125854492188,286.02685546875,185.767578125,1.0
28.0,2025-01-23 01:24:42.567384,0.0,6.9545464515686035,-108.4332046508789,58.88090515136719,1.0,7.267739772796631,83.23018646240234,58.47373580932617,1.0,67.8440933227539,284.8229675292969,184.8900909423828,1.0
29.0,2025-01-23 01:24:47.377673,0.0,7.069428443908691,-107.26231384277344,58.98216247558594,1.0,7.356850624084473,83.20027160644531,58.5628776550293,1.0,67.86688232421875,283.6221618652344,184.0170135498047,1.0
30.0,2025-01-23 01:24:52.058506,0.0,7.03109884262085,35.787269592285156,58.268489837646484,1.0,7.2954020500183105,-57.372474670410156,58.65177917480469,1.0,58.26836013793945,0.0,-0.37740346789360046,0.0
31.0,2025-01-23 01:24:56.723522,0.0,6.991767406463623,36.722530364990234,58.2254638671875,1.0,7.234955787658691,-56.43722915649414,58.590335845947266,1.0,58.225032806396484,0.0,-0.796076238155365,0.0
32.0,2025-01-23 01:25:01.557721,0.0,6.951511383056641,37.58613967895508,58.181705474853516,1.0,7.175434112548828,-55.5736198425293,58.52988815307617,1.0,58.180850982666016,0.0,-1.1814298629760742,0.0
33.0,2025-01-23 01:25:06.378453,0.0,6.910402297973633,38.38241958618164,58.137290954589844,1.0,7.116765022277832,-54.77734375,58.47037124633789,1.0,58.135929107666016,0.0,-1.5357534885406494,0.0
34.0,2025-01-23 01:25:11.282127,0.0,6.8685078620910645,39.11547088623047,58.092288970947266,1.0,7.058881759643555,-54.044273376464844,58.41170120239258,1.0,58.09036636352539,0.0,-1.861103892326355,0.0
35.0,2025-01-23 01:25:16.121412,0.0,6.825891971588135,39.789302825927734,58.046756744384766,1.0,7.0017194747924805,-53.370452880859375,58.35382080078125,1.0,58.04424285888672,0.0,-2.159468650817871,0.0
36.0,2025-01-23 01:25:20.776044,0.0,6.782613754272461,40.40773391723633,58.00075912475586,1.0,6.945219993591309,-52.752010345458984,58.29665756225586,1.0,57.99763870239258,0.0,-2.432708263397217,0.0
37.0,2025-01-23 01:25:25.396293,0.0,6.758569240570068,22.449691772460938,58.03716278076172,1.0,6.902575492858887,-39.81573486328125,58.24018478393555,1.0,58.03726577758789,0.0,0.40637367963790894,0.0
38.0,2025-01-23 01:25:30.201123,0.0,6.733417510986328,23.48309326171875,58.00960159301758,1.0,6.8610382080078125,-38.782325744628906,58.197540283203125,1.0,58.009586334228516,0.0,-0.05655547231435776,0.0
39.0,2025-01-23 01:25:34.923184,0.0,6.707270622253418,24.412851333618164,57.981170654296875,1.0,6.820496559143066,-37.852577209472656,58.156005859375,1.0,57.98100280761719,0.0,-0.47343188524246216,0.0
40.0,2025-01-23 01:25:39.427603,0.0,6.680234432220459,25.242633819580078,57.95200729370117,1.0,6.780843734741211,-37.022789001464844,58.1154670715332,1.0,57.95155334472656,0.0,-0.8437108993530273,0.0
41.0,2025-01-23 01:25:44.023374,0.0,6.652408123016357,25.980911254882812,57.92221450805664,1.0,6.741981506347656,-36.284515380859375,58.07581329345703,1.0,57.9213981628418,0.0,-1.1718542575836182,0.0
