iteration,timestamp,P79,T41,T42,P1
0.0,2024-06-13 17:35:10.484894,1.0,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 17:35:15.280494,1.0,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-13 17:35:19.661292,1.0,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-13 17:35:24.562575,1.0,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-13 17:35:29.245735,1.0,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 17:35:33.680311,1.0,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 17:35:38.416207,1.0,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-13 17:35:43.067387,1.0,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 17:35:48.963198,1.0,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 17:35:54.888033,1.0,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-13 17:36:00.796071,1.0,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 17:36:06.604299,1.0,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-13 17:36:12.422811,1.0,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-13 17:36:18.460409,1.0,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-13 17:36:24.446239,1.0,7.024285316467285,5.958117485046387,1.0
15.0,2024-06-13 17:36:30.205742,1.0,7.283440113067627,6.172133445739746,1.0
16.0,2024-06-13 17:36:36.111846,1.0,7.539755821228027,6.385924339294434,1.0
17.0,2024-06-13 17:36:42.193928,1.0,7.793298244476318,6.59943151473999,1.0
18.0,2024-06-13 17:36:48.216415,1.0,8.044130325317383,6.8125996589660645,1.0
19.0,2024-06-13 17:36:54.036585,1.0,8.292308807373047,7.0253777503967285,1.0
20.0,2024-06-13 17:37:00.328425,1.0,8.53788948059082,7.237719535827637,1.0
21.0,2024-06-13 17:37:06.192427,1.0,8.78092098236084,7.449580669403076,1.0
22.0,2024-06-13 17:37:12.276176,1.0,9.021451950073242,7.6609206199646,1.0
23.0,2024-06-13 17:37:17.878919,1.0,9.259526252746582,7.871701240539551,1.0
24.0,2024-06-13 17:37:23.811442,1.0,9.495187759399414,8.081887245178223,1.0
25.0,2024-06-13 17:37:29.728808,0.0,9.720988273620605,8.244264602661133,1.0
26.0,2024-06-13 17:37:35.290375,0.0,9.94389533996582,8.407023429870605,1.0
27.0,2024-06-13 17:37:41.112361,0.0,10.163989067077637,8.570094108581543,1.0
28.0,2024-06-13 17:37:47.295567,0.0,10.381343841552734,8.733410835266113,1.0
29.0,2024-06-13 17:37:58.748238,0.0,10.668000221252441,8.95254898071289,1.0
30.0,2024-06-13 17:38:04.594178,0.0,10.668000221252441,9.122198104858398,1.0
31.0,2024-06-13 17:38:10.444127,0.0,10.668000221252441,9.37789249420166,1.0
32.0,2024-06-13 17:38:16.287984,0.0,10.668000221252441,9.631545066833496,1.0
33.0,2024-06-13 17:38:22.101717,0.0,10.668000221252441,9.883157730102539,1.0
34.0,2024-06-13 17:38:28.066123,0.0,10.668000221252441,10.132736206054688,1.0
35.0,2024-06-13 17:38:33.948223,0.0,10.668000221252441,10.380282402038574,1.0
36.0,2024-06-13 17:38:45.624068,0.0,10.668000221252441,10.668000221252441,1.0
37.0,2024-06-13 17:38:51.465388,0.0,10.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 17:38:57.359147,0.0,10.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 17:39:03.174407,0.0,10.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 17:39:09.104107,0.0,10.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 17:39:15.004129,0.0,10.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 17:39:20.959875,0.0,10.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 17:39:27.025666,0.0,10.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 17:39:32.759978,0.0,10.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 17:39:38.747291,0.0,10.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 17:39:44.635060,0.0,10.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 17:39:50.486489,0.0,10.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 17:39:56.927480,0.0,10.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 17:40:02.916174,0.0,10.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 17:40:09.008422,0.0,10.668000221252441,10.668000221252441,1.0
