iteration,timestamp,V24F
0,2025-07-10 18:37:23.434885,0.0
1,2025-07-10 18:37:35.083993,144.6715650445185
2,2025-07-10 18:37:46.144463,143.9000811774349
3,2025-07-10 18:37:59.390467,143.1322189466755
4,2025-07-10 18:38:11.092478,142.367966763004
5,2025-07-10 18:38:22.835062,141.6073130371842
6,2025-07-10 18:38:35.080377,140.85024038536176
7,2025-07-10 18:38:46.173705,140.09674880753664
8,2025-07-10 18:38:57.617564,139.3468151252364
9,2025-07-10 18:39:09.144072,138.600439338461
10,2025-07-10 18:39:21.054823,137.857598268738
11,2025-07-10 18:39:33.588205,137.1182919160674
12,2025-07-10 18:39:46.228887,136.81655456139197
13,2025-07-10 18:39:58.511278,136.02128378693124
14,2025-07-10 18:40:10.345672,135.2289566784748
15,2025-07-10 18:40:21.351054,134.4395674414045
16,2025-07-10 18:40:32.209386,133.6531160757204
17,2025-07-10 18:40:43.234750,132.86958519756809
18,2025-07-10 18:40:54.057384,132.0889748069476
19,2025-07-10 18:41:05.555929,131.3112849038589
20,2025-07-10 18:41:17.294354,130.5365096936839
21,2025-07-10 18:41:28.273620,129.76463179256825
22,2025-07-10 18:41:38.797867,128.99565699513005
23,2025-07-10 18:41:50.791928,128.22956791751494
24,2025-07-10 18:42:02.215813,127.25272857892378
25,2025-07-10 18:42:13.742578,126.52424657289885
26,2025-07-10 18:42:24.613365,125.79888207142176
27,2025-07-10 18:42:36.647307,125.07661769063816
28,2025-07-10 18:42:48.197460,80.57233384079154
29,2025-07-10 18:42:59.925155,80.25329955103189
30,2025-07-10 18:43:12.024051,79.93265435743524
31,2025-07-10 18:43:23.755490,-19.454303280213026
32,2025-07-10 18:43:35.875462,-18.9767948768349
33,2025-07-10 18:43:48.140295,-18.53310965941546
34,2025-07-10 18:43:59.039941,-18.124510854704567
35,2025-07-10 18:44:11.322936,-17.74850967422026
36,2025-07-10 18:44:23.313217,-14.43101836855476
37,2025-07-10 18:44:35.196022,-13.867204922917153
38,2025-07-10 18:44:47.114701,-13.345735649181734
39,2025-07-10 18:45:00.058824,-12.865402369470758
40,2025-07-10 18:45:11.612453,-12.427181476937221
41,2025-07-10 18:45:23.055054,-12.037119655587958
42,2025-07-10 18:45:34.141866,-11.691070856159058
43,2025-07-10 18:45:46.185099,-11.384865850914139
44,2025-07-10 18:45:57.883031,-11.114688883822055
45,2025-07-10 18:46:10.556657,-10.87694729164923
46,2025-07-10 18:46:23.139900,-10.668303374359311
47,2025-07-10 18:46:34.836531,-10.485642524713512
48,2025-07-10 18:46:46.352158,-16.881437786651077
49,2025-07-10 18:46:57.400674,-16.88028465764546
50,2025-07-10 18:47:08.770514,-16.87923872907504
51,2025-07-10 18:47:19.590332,-16.8782797197764
52,2025-07-10 18:47:30.265107,-16.877396040513304
53,2025-07-10 18:47:40.792790,-16.876596383212927
54,2025-07-10 18:47:52.686987,-16.875863364020915
55,2025-07-10 18:48:04.408013,-16.87519118831915
56,2025-07-10 18:48:13.632733,-16.87457406148951
57,2025-07-10 18:48:22.046772,-16.87400908622294
58,2025-07-10 18:48:30.939453,-16.873499159828498
59,2025-07-10 18:48:40.145453,-16.873032693069945
60,2025-07-10 18:48:49.804733,-25.592869649244676
61,2025-07-10 18:48:59.003000,80.3380139706178
62,2025-07-10 18:49:10.311597,80.09450383610783
63,2025-07-10 18:49:22.381936,79.85077640341842
64,2025-07-10 18:49:35.019420,79.60689541334887
65,2025-07-10 18:49:46.338869,79.36292460669847
66,2025-07-10 18:49:57.654362,79.11891034041219
67,2025-07-10 18:50:09.719672,78.87491345798026
