iteration,timestamp,T2,P2,ScadaCommand_P2
0,2025-08-02 13:19:55.455417,0.0,1,1.0
1,2025-08-02 13:20:07.959391,0.0,1,1.0
2,2025-08-02 13:20:20.719954,0.0,1,1.0
3,2025-08-02 13:20:33.140846,0.0,1,1.0
4,2025-08-02 13:20:46.736912,0.0,1,1.0
5,2025-08-02 13:21:00.423697,0.0,1,1.0
6,2025-08-02 13:21:13.877974,0.0,1,1.0
7,2025-08-02 13:21:26.438132,0.0,1,1.0
8,2025-08-02 13:21:39.540377,0.0,1,1.0
9,2025-08-02 13:21:52.144166,0.0,1,1.0
10,2025-08-02 13:22:04.687444,0.0,1,1.0
11,2025-08-02 13:22:16.332237,0.0,1,1.0
12,2025-08-02 13:22:28.031157,0.0,1,1.0
13,2025-08-02 13:22:39.812434,0.0,1,1.0
14,2025-08-02 13:22:52.222232,0.0,1,1.0
15,2025-08-02 13:23:04.295036,0.0,1,1.0
16,2025-08-02 13:23:15.917361,0.0,1,1.0
17,2025-08-02 13:23:27.506974,0.0,1,1.0
18,2025-08-02 13:23:40.063943,0.0,1,1.0
19,2025-08-02 13:23:50.879696,0.0,1,1.0
20,2025-08-02 13:24:03.279184,0.0,1,1.0
21,2025-08-02 13:24:15.162711,0.0,1,1.0
22,2025-08-02 13:24:26.763078,0.0,1,1.0
23,2025-08-02 13:24:37.959455,0.0,1,1.0
24,2025-08-02 13:24:49.828937,0.0,1,1.0
25,2025-08-02 13:25:02.643126,0.0,1,1.0
26,2025-08-02 13:25:14.646484,0.0,1,1.0
27,2025-08-02 13:25:26.063028,0.0,1,0.0
28,2025-08-02 13:25:38.574002,0.0,0,0.0
29,2025-08-02 13:25:50.208711,0.0,0,0.0
30,2025-08-02 13:26:01.765954,0.0,0,0.0
31,2025-08-02 13:26:13.552966,0.0,0,0.0
32,2025-08-02 13:26:24.328661,0.0,0,0.0
33,2025-08-02 13:26:37.237318,0.0,0,0.0
34,2025-08-02 13:26:49.530354,0.0,0,0.0
35,2025-08-02 13:27:02.081831,0.0,0,0.0
36,2025-08-02 13:27:14.393671,0.0,0,0.0
37,2025-08-02 13:27:25.927228,0.0,0,0.0
38,2025-08-02 13:27:38.881009,0.0,0,0.0
39,2025-08-02 13:27:51.596969,0.0,0,0.0
40,2025-08-02 13:28:03.952861,0.0,0,0.0
41,2025-08-02 13:28:16.680739,0.0,0,0.0
42,2025-08-02 13:28:29.985338,0.0,0,0.0
43,2025-08-02 13:28:43.490999,0.0,0,0.0
44,2025-08-02 13:28:56.465542,0.0,0,0.0
45,2025-08-02 13:29:08.397684,0.0,0,0.0
46,2025-08-02 13:29:20.010891,0.0,0,0.0
47,2025-08-02 13:29:31.814037,0.0,0,0.0
48,2025-08-02 13:29:42.909355,0.0,0,0.0
49,2025-08-02 13:29:55.031117,0.0,0,0.0
50,2025-08-02 13:30:06.625324,0.0,0,0.0
51,2025-08-02 13:30:17.497223,0.0,0,0.0
52,2025-08-02 13:30:29.102061,0.0,0,0.0
53,2025-08-02 13:30:40.464330,0.0,0,0.0
54,2025-08-02 13:30:51.841936,0.0,0,0.0
55,2025-08-02 13:31:03.299447,0.0,0,0.0
56,2025-08-02 13:31:15.638173,0.0,0,0.0
57,2025-08-02 13:31:28.023018,0.0,0,0.0
58,2025-08-02 13:31:39.572280,0.0,0,0.0
59,2025-08-02 13:31:51.480558,0.0,0,0.0
60,2025-08-02 13:32:03.763374,0.0,0,0.0
61,2025-08-02 13:32:16.300518,0.0,0,0.0
62,2025-08-02 13:32:27.518966,0.0,0,0.0
63,2025-08-02 13:32:39.859990,0.0,0,0.0
64,2025-08-02 13:32:51.016141,0.0,0,0.0
65,2025-08-02 13:33:02.881897,0.0,0,0.0
66,2025-08-02 13:33:16.351302,0.0,0,0.0
67,2025-08-02 13:33:28.912608,0.0,0,0.0
68,2025-08-02 13:33:41.148799,0.0,0,0.0
69,2025-08-02 13:33:52.850256,0.0,0,0.0
70,2025-08-02 13:34:05.996952,0.0,0,0.0
71,2025-08-02 13:34:18.580217,0.0,0,0.0
72,2025-08-02 13:34:31.005232,0.0,0,0.0
73,2025-08-02 13:34:43.518429,0.0,0,0.0
74,2025-08-02 13:34:54.521141,0.0,0,0.0
75,2025-08-02 13:35:06.324710,0.0,0,0.0
76,2025-08-02 13:35:17.747809,0.0,0,0.0
77,2025-08-02 13:35:29.509800,0.0,0,0.0
78,2025-08-02 13:35:40.829263,0.0,0,0.0
79,2025-08-02 13:35:51.828402,0.0,0,0.0
80,2025-08-02 13:36:04.137729,0.0,0,0.0
81,2025-08-02 13:36:16.209959,0.0,0,0.0
82,2025-08-02 13:36:27.496147,0.0,0,0.0
83,2025-08-02 13:36:39.684681,0.0,0,0.0
