,J1,J2,J3,J4,J5
61,-0.00019555805607956056,-0.00016482233990393057,-0.0001324464966390171,-0.00012816746609538686,-0.0001322186887256005
62,-0.0001268022005937336,-0.00012681281032447423,-0.00012700670689055226,-0.00012860375808177894,-0.0001270154469911522
63,-0.00012648273178683832,-0.0001264951763290817,-0.00012668205899658448,-0.00012831044211238928,-0.0001266906047171723
64,-0.00012616324720601924,-0.00012617752600237287,-0.00012635778462913305,-0.0001280156701320212,-0.00012636615055811262
65,-0.00012584376849904155,-0.0001258598680221279,-0.000126033872894995,-0.00012771953779714407,-0.00012604207234753862
66,-0.0001255243152001062,-0.00012554220973630737,-0.00012571031252182728,-0.0001274221338208714,-0.00012571835767002826
67,-0.00012520490286810237,-0.0001252245572139815,-0.0001253870914563715,-0.00012712354052186515,-0.0001253949934311027
68,-0.0001248855437684937,-0.00012490691541509446,-0.0001250641971021238,-0.0001268238343392869,-0.00012507196612884908
69,-0.00012456624743071077,-0.00012458928835456962,-0.00012474161657964,-0.00012652308637038477,-0.00012474926204631974
70,-0.0001242470211093438,-0.00012427167923246218,-0.000124419336890641,-0.00012622136275529215,-0.0001244268674212967
71,-0.00012392787015762406,-0.00012395409054996476,-0.0001240973450651417,-0.00012591872510709702,-0.00012410476860473806
72,-0.00012341460651584923,-0.0001234450579555607,-0.00012359745020720014,-0.00012561518396815628,-0.0001236054776659712
73,-0.00012307935018134874,-0.00012311132052967577,-0.00012325960905426703,-0.0001252953410122759,-0.00012326753907970333
74,-0.00012274417736517717,-0.00012277760802234639,-0.00012292201928816525,-0.00012497474089673388,-0.00012292985816154234
75,-0.00012240908854267428,-0.00012244392104755308,-0.00012258466928570576,-0.0001246534285977263,-0.00012259242284691217
76,-0.00019511512209137327,-0.0001627072294670434,-0.00012842170038736888,-0.0001243329410415095,-0.0001281783926683766
77,-0.00019515945286944003,-0.00016291569381624794,-0.000128865816839816,-0.00012477157176746356,-0.00012862461767144452
78,-0.00019520366943298061,-0.00016312357535079757,-0.00012930733308753496,-0.00012520886321230496,-0.00012906821342312914
79,-0.00019524777136890214,-0.00016333086494303706,-0.00012974626375854113,-0.00012564479410457906,-0.00012950919522484395
80,-0.0001952917582697705,-0.00016353755376239843,-0.00013018262342992081,-0.00012607934390847618,-0.0001299475782648263
81,-0.00019533562973946927,-0.0001637436332725717,-0.0001306164266221721,-0.00012651249280119624,-0.00013038337771999585
82,-0.00019537938539602895,-0.000163949095225846,-0.00013104768782184028,-0.0001269442216503136,-0.00013081660864277866
83,-0.00019542302487445651,-0.00016415393165179203,-0.0001314764214362474,-0.00012737451197416538,-0.0001312472860403302
84,-0.00019497050108471136,-0.00016168499362730903,-0.0001302435689767467,-0.00012780296014138325,-0.00013003438666926435
85,-0.00012394878334184845,-0.0001239919992585903,-0.00012434286466456613,-0.00012811863443540795,-0.00012435996465054
86,-0.00012346358842846517,-0.00012350940198083694,-0.00012385236081147166,-0.00012766302614610536,-0.0001238692608491676
87,-0.000122978472328113,-0.00012302682104571748,-0.0001233621908732463,-0.0001272063204557261,-0.00012337890079767045
88,-0.00012249342613100068,-0.0001225442574039115,-0.0001228723410197663,-0.00012674856599605543,-0.0001228888701679498
89,-0.000122008454514132,-0.00012206171317181268,-0.00012238280184609485,-0.00012628980925984967,-0.00012239915905709386
90,-0.00012152356125193109,-0.00012157919012628637,-0.00012189356399256556,-0.00012583009448766003,-0.00012190975760746125
91,-0.00012103874931244207,-0.0001210966897386223,-0.00012140461813346492,-0.00012536946386023206,-0.00012142065602931628
92,-0.00012055402097899348,-0.00012061421322546394,-0.00012091595505625552,-0.00012490795753245854,-0.00012093184469136985
93,-0.00012006937790961569,-0.00012013176156012606,-0.00012042756566157608,-0.00012444561379182595,-0.00012044331407550901
94,-0.00019458390528532987,-0.00015981391058231042,-0.00012639121552963096,-0.0001239840886881316,-0.00012616467380252016
95,-0.000194617097183295,-0.00015997492220107823,-0.00012672605581734108,-0.0001243132401547742,-0.00012650107105432128
96,-0.00019463298462562173,-0.0001600387141050674,-0.00012700514298310538,-0.00012464142418049605,-0.00012678234299483336
97,-0.00019466555186771484,-0.0001601970468616931,-0.00012733189479879003,-0.00012496465649000088,-0.00012711058080185466
98,-0.0001946980111199692,-0.00016035492468986721,-0.0001276566878071983,-0.00012528690114532726,-0.00012743683615910496
99,-0.00019473036224940287,-0.00016051233847891089,-0.00012797953746819025,-0.00012560813749183054,-0.00012776112523945392
100,-0.00019476260514849852,-0.0001606692795312381,-0.00012830045909449693,-0.0001259283457802751,-0.0001280834640233719
101,-0.00019479473972671524,-0.00016082573952274414,-0.00012861946781776766,-0.00012624750716683453,-0.0001284038682989297
102,-0.0001948267658991709,-0.00016098171049714672,-0.00012893657857725226,-0.00012656560365650326,-0.0001287223536504811
103,-0.00019485868360927749,-0.00016113718484335072,-0.0001292518061650716,-0.00012688261804650878,-0.00012903893542471012
104,-0.0001948904928004469,-0.00016129215528978946,-0.00012956516516962946,-0.00012719853391499392,-0.0001293536287985364
105,-0.0001949221934387263,-0.00016144661489310707,-0.00012987666998693026,-0.00012751333559838152,-0.00012966644873384502
106,-0.00019495378549582164,-0.00016160055700420561,-0.00013018633484321418,-0.00012782700813478653,-0.0001299774099661688
107,-0.00012385736315703277,-0.00012390367012905966,-0.00012425495050665257,-0.0001281379824502715,-0.00012427222922037907
108,-0.00012521278757781417,-0.00012523628325187218,-0.0001254532781277684,-0.00012767687088085733,-0.00012546368410185416
109,-0.0001248453115198611,-0.00012487082190737686,-0.0001250814593430638,-0.00012733316465766143,-0.00012509170207755104
110,-0.00012447789025613388,-0.0001245053717560013,-0.00012470997190978882,-0.00012698833165286416,-0.0001247200617319999
111,-0.00012411053174291476,-0.0001241399361732237,-0.0001243388038822024,-0.00012664243570912337,-0.00012434875038947358
112,-0.00012374324277643066,-0.00012377451812708827,-0.0001239679436371155,-0.0001262955367532026,-0.00012397775572509095
113,-0.00012337602859673668,-0.00012340912003107606,-0.00012359737952870374,-0.00012594769105627623,-0.00012360706548187662
114,-0.00012300889311689766,-0.00012304374379503436,-0.00012322709999036617,-0.0001255989514885758,-0.00012323666751603123
115,-0.00012264183913236415,-0.00012267839091571753,-0.00012285709360828956,-0.00012524936774008344,-0.00012286654987615496
116,-0.00012227486849073654,-0.00012231306251639872,-0.00012248734914974246,-0.00012489898656951935,-0.00012249670083720022
