iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,ScadaCommand_V2,T41,T42,P1,J2,J13,V1F,V2F
30.0,2025-01-16 11:24:40.404539,0.0,0,0,,,7.331105709075928,7.181416034698486,0.0,58.51996612548828,58.46710968017578,-16.390535354614258,-2.64674973487854
31.0,2025-01-16 11:24:48.234741,0.0,0,0,,,7.163926601409912,7.153108596801758,0.0,58.461204528808594,58.43320846557617,-13.841682434082031,-5.19559383392334
32.0,2025-01-16 11:24:56.432956,0.0,0,0,,,7.091758728027344,7.153108596801758,0.0,58.401222229003906,58.38790512084961,-11.784523963928223,-7.252749919891357
33.0,2025-01-16 11:25:04.774164,0.0,0,0,,,7.091758728027344,7.127533435821533,0.0,58.342681884765625,58.3369255065918,-10.266339302062988,-8.770936965942383
34.0,2025-01-16 11:25:12.564004,0.0,0,0,,,6.970725059509277,7.091759204864502,0.0,58.28744125366211,58.28469467163086,-9.392919540405273,-9.644359588623047
35.0,2025-01-16 11:25:20.925930,0.0,0,0,,,6.913679599761963,7.053081035614014,0.0,58.2332763671875,58.23216247558594,-8.706706047058105,-10.330570220947266
36.0,2025-01-16 11:25:29.418215,0.0,0,0,,,6.913679599761963,7.012382984161377,0.0,58.179954528808594,58.179656982421875,-8.151062965393066,-10.886210441589355
37.0,2025-01-16 11:25:37.532708,0.0,0,0,,,6.828098297119141,6.934892654418945,0.0,58.1495361328125,58.154483795166016,-2.648267984390259,-10.07589340209961
38.0,2025-01-16 11:25:45.394628,0.0,0,0,,,6.797551155090332,6.934892654418945,0.0,58.11896514892578,58.123199462890625,-2.8456528186798096,-9.87850570678711
39.0,2025-01-16 11:25:52.893473,0.0,0,0,,,6.766601085662842,6.900111198425293,0.0,58.087974548339844,58.09165573120117,-3.0087220668792725,-9.715433120727539
40.0,2025-01-16 11:26:01.389766,0.0,0,0,,,6.735320568084717,6.865732192993164,0.0,58.05664825439453,58.05990219116211,-3.1425604820251465,-9.5816068649292
41.0,2025-01-16 11:26:09.564600,0.0,0,0,,,6.703769683837891,6.831684112548828,0.0,58.025047302246094,58.02796936035156,-3.2517571449279785,-9.47240161895752
42.0,2025-01-16 11:26:17.452403,0.0,0,0,,,6.671998500823975,6.76434850692749,0.0,57.993228912353516,57.99589920043945,-3.340420722961426,-9.383731842041016
43.0,2025-01-16 11:26:25.464501,0.0,0,0,,,6.640049934387207,6.76434850692749,0.0,57.961238861083984,57.963706970214844,-3.412123203277588,-9.31203556060791
44.0,2025-01-16 11:26:33.717077,0.0,0,0,,,6.607957363128662,6.697731971740723,0.0,57.929107666015625,57.93142318725586,-3.469881057739258,-9.254271507263184
45.0,2025-01-16 11:26:42.407798,0.0,0,0,,,6.575749397277832,6.697731971740723,0.0,57.89686965942383,57.89906311035156,-3.5162930488586426,-9.207862854003906
46.0,2025-01-16 11:26:50.496928,0.0,0,0,,,6.5434489250183105,6.664611339569092,0.0,57.86454391479492,57.866641998291016,-3.5534799098968506,-9.170675277709961
47.0,2025-01-16 11:26:58.314742,0.0,0,0,,,6.511074542999268,6.631582736968994,0.0,57.83214569091797,57.834171295166016,-3.583223819732666,-9.140934944152832
48.0,2025-01-16 11:27:06.420816,0.0,0,0,,,6.478641033172607,6.565733432769775,0.0,57.7996940612793,57.80166244506836,-3.6069846153259277,-9.11717414855957
49.0,2025-01-16 11:27:14.117782,0.0,0,0,,,6.478641033172607,6.565733432769775,0.0,57.71990966796875,57.71584701538086,-11.430953025817871,-11.652901649475098
50.0,2025-01-16 11:27:22.918651,0.0,0,0,,,6.337263584136963,6.470070838928223,0.0,57.654205322265625,57.65224075317383,-10.718389511108398,-12.365460395812988
51.0,2025-01-16 11:27:31.322837,0.0,0,0,,,6.269299507141113,6.4195146560668945,0.0,57.5893669128418,57.5886116027832,-10.12199592590332,-12.961848258972168
52.0,2025-01-16 11:27:39.629931,0.0,0,0,,,6.202683925628662,6.4195146560668945,0.0,57.525272369384766,57.52511215209961,-9.616994857788086,-13.466849327087402
53.0,2025-01-16 11:27:47.537894,0.0,0,0,,,6.137180805206299,6.367610454559326,0.0,57.46181869506836,57.461822509765625,-9.185782432556152,-13.898064613342285
54.0,2025-01-16 11:27:55.758394,0.0,0,0,,,6.072596073150635,6.31459379196167,0.0,57.398868560791016,57.3990478515625,-8.825037956237793,-14.258808135986328
55.0,2025-01-16 11:28:03.382553,0.0,0,0,,,6.008772850036621,6.2606587409973145,0.0,57.33633804321289,57.33683776855469,-8.525102615356445,-14.558740615844727
56.0,2025-01-16 11:28:11.336500,0.0,0,0,,,5.945588111877441,6.205962181091309,0.0,57.274192810058594,57.27507400512695,-8.27303695678711,-14.810806274414062
57.0,2025-01-16 11:28:20.070692,0.0,0,1,,,5.945588111877441,6.1506266593933105,0.0,57.212398529052734,57.21367645263672,-8.059630393981934,-15.024208068847656
58.0,2025-01-16 11:28:27.522902,0.0,0,1,,,5.882943630218506,6.146484375,1.0,67.4565658569336,62.919166564941406,198.8882293701172,83.27645874023438
59.0,2025-01-16 11:28:35.972161,0.0,0,1,,,6.189169883728027,6.146484375,1.0,67.48385620117188,62.9565544128418,197.56680297851562,83.15965270996094
60.0,2025-01-16 11:28:44.194593,0.0,0,1,,,6.324615001678467,6.203812122344971,1.0,67.5099868774414,62.99557876586914,196.3390655517578,83.01030731201172
