iteration,timestamp,P79,T41,T42,P1
0.0,2024-06-13 17:13:32.457036,1.0,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 17:13:36.492950,1.0,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-13 17:13:40.624015,1.0,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-13 17:13:44.644078,1.0,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-13 17:13:48.721016,1.0,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 17:13:52.913505,1.0,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 17:13:57.041234,1.0,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-13 17:14:01.129471,1.0,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 17:14:05.260829,1.0,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 17:14:09.316641,1.0,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-13 17:14:13.580865,1.0,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 17:14:17.350243,1.0,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-13 17:14:21.591203,1.0,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-13 17:14:25.524847,1.0,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-13 17:14:30.851927,1.0,3.024285316467285,5.958117485046387,1.0
15.0,2024-06-13 17:14:35.408079,1.0,3.283440113067627,6.172133445739746,1.0
16.0,2024-06-13 17:14:39.472314,1.0,3.5397558212280273,6.385924339294434,1.0
17.0,2024-06-13 17:14:43.875425,1.0,3.7932982444763184,6.59943151473999,1.0
18.0,2024-06-13 17:14:48.259998,1.0,4.044130325317383,6.8125996589660645,1.0
19.0,2024-06-13 17:14:52.507881,1.0,4.292308807373047,7.0253777503967285,1.0
20.0,2024-06-13 17:14:56.627800,1.0,4.53788948059082,7.237719535827637,1.0
21.0,2024-06-13 17:15:00.960457,1.0,4.78092098236084,7.449580669403076,1.0
22.0,2024-06-13 17:15:05.184307,1.0,5.021451950073242,7.6609206199646,1.0
23.0,2024-06-13 17:15:09.671791,1.0,5.259526252746582,7.871701240539551,1.0
24.0,2024-06-13 17:15:13.890115,1.0,5.495187759399414,8.081887245178223,1.0
25.0,2024-06-13 17:15:18.171995,0.0,5.7209882736206055,8.244264602661133,1.0
26.0,2024-06-13 17:15:22.556923,0.0,5.94389533996582,8.407023429870605,1.0
27.0,2024-06-13 17:15:26.512057,0.0,6.163989067077637,8.570094108581543,1.0
28.0,2024-06-13 17:15:30.697050,0.0,6.381343841552734,8.733410835266113,1.0
29.0,2024-06-13 17:15:38.918202,0.0,6.668000221252441,8.95254898071289,1.0
30.0,2024-06-13 17:15:43.013087,0.0,6.668000221252441,9.122198104858398,1.0
31.0,2024-06-13 17:15:47.228265,0.0,6.668000221252441,9.37789249420166,1.0
32.0,2024-06-13 17:15:51.668431,0.0,6.668000221252441,9.631545066833496,1.0
33.0,2024-06-13 17:15:55.696096,0.0,6.668000221252441,9.883157730102539,1.0
34.0,2024-06-13 17:15:59.997241,0.0,6.668000221252441,10.132736206054688,1.0
35.0,2024-06-13 17:16:04.304926,0.0,6.668000221252441,10.380282402038574,1.0
36.0,2024-06-13 17:16:12.759915,0.0,6.668000221252441,10.668000221252441,1.0
37.0,2024-06-13 17:16:16.965018,0.0,6.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 17:16:21.047692,0.0,6.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 17:16:25.448736,0.0,6.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 17:16:29.625969,0.0,6.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 17:16:34.060436,0.0,6.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 17:16:38.436910,0.0,6.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 17:16:42.625752,0.0,6.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 17:16:46.982928,0.0,6.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 17:16:51.077011,0.0,6.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 17:16:55.548358,0.0,6.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 17:16:59.670037,0.0,6.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 17:17:03.924158,0.0,6.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 17:17:08.016935,0.0,6.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 17:17:12.160272,0.0,6.668000221252441,10.668000221252441,1.0
