iteration,timestamp,T2,P2
0,2025-11-06 20:48:38.479896,0.0,1
1,2025-11-06 20:48:41.668076,3.2186312675476074,1
2,2025-11-06 20:48:44.748044,3.3848071098327637,0
3,2025-11-06 20:48:47.368207,3.4922564029693604,0
4,2025-11-06 20:48:50.614781,3.599377393722534,0
5,2025-11-06 20:48:53.159250,3.7061612606048584,0
6,2025-11-06 20:48:56.125897,3.8125996589660645,0
7,2025-11-06 20:48:58.799469,3.918684244155884,0
8,2025-11-06 20:49:01.905911,4.024407386779785,0
9,2025-11-06 20:49:05.053630,4.129762172698975,1
10,2025-11-06 20:49:07.898982,4.290889739990234,1
11,2025-11-06 20:49:10.812007,4.450552463531494,1
12,2025-11-06 20:49:13.799326,4.608762264251709,1
13,2025-11-06 20:49:16.681433,4.77877140045166,1
14,2025-11-06 20:49:19.851722,4.947359561920166,1
15,2025-11-06 20:49:22.929564,5.114535808563232,1
16,2025-11-06 20:49:25.732723,5.280310153961182,0
17,2025-11-06 20:49:28.743983,5.391958713531494,0
18,2025-11-06 20:49:31.249845,5.503268718719482,0
19,2025-11-06 20:49:34.294950,5.614230155944824,0
20,2025-11-06 20:49:37.356336,5.724833965301514,0
21,2025-11-06 20:49:40.270599,5.835070610046387,0
22,2025-11-06 20:49:42.649981,5.944930553436279,0
23,2025-11-06 20:49:46.110793,6.05440616607666,0
24,2025-11-06 20:49:49.709668,6.163488864898682,1
25,2025-11-06 20:49:53.187688,6.317328453063965,1
26,2025-11-06 20:49:55.754299,6.4697394371032715,1
27,2025-11-06 20:49:59.325973,6.620734214782715,1
28,2025-11-06 20:50:02.905875,6.770323753356934,1
29,2025-11-06 20:50:06.383415,6.918519973754883,1
30,2025-11-06 20:50:09.936322,7.065333843231201,1
31,2025-11-06 20:50:13.521288,7.210777759552002,0
