iteration,timestamp,J21,V1F
0,2025-05-09 18:41:43.110248,0.0,0.0
1,2025-05-09 18:41:52.164397,55.4107027133602,0.0
2,2025-05-09 18:42:04.775060,55.5442648971412,0.0
3,2025-05-09 18:42:14.508315,55.6772577710991,0.0
4,2025-05-09 18:42:23.863700,55.8096773734727,0.0
5,2025-05-09 18:42:33.640832,55.9415190235949,0.0
6,2025-05-09 18:42:39.816536,56.0727781362871,0.0
7,2025-05-09 18:42:49.650741,56.2034499927895,0.0
