iteration,timestamp,error_flag,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V0,ScadaCommand_V_U,T41,T42,P1,J2,J13,J21,V1F
0.0,2025-05-09 18:41:38.224502,False,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2025-05-09 18:41:48.283992,False,1.0,1,1,,,3.191577672958374,3.2186312675476074,1.0,69.1993179321289,69.68925476074219,55.410701751708984,0.0
2.0,2025-05-09 18:42:00.760684,False,1.0,1,1,,,-2.9683454036712646,3.3848068714141846,1.0,69.21784973144531,69.70538330078125,55.54426574707031,0.0
3.0,2025-05-09 18:42:10.259982,False,1.0,1,1,,,-3.9287760257720947,3.5495381355285645,1.0,69.23635864257812,69.72145080566406,55.6772575378418,0.0
4.0,2025-05-09 18:42:20.056660,False,1.0,1,1,,,-4.8897199630737305,3.712836265563965,1.0,69.25482177734375,69.73747253417969,55.80967712402344,0.0
5.0,2025-05-09 18:42:35.864622,False,1.0,1,1,,,-5.851184368133545,3.8747122287750244,1.0,69.27326202392578,69.75343322753906,55.94152069091797,0.0
7.0,2025-05-09 18:42:45.208695,False,1.0,1,1,,,-6.675696849822998,4.19424295425415,1.0,69.31002807617188,69.78520202636719,56.20344924926758,0.0
8.0,,,1.0,,,,,,,,,,,
