iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V0_FLOW,V0_STATUS,V_U_FLOW,V_U_STATUS,T41MiM
0,2025-05-09 18:41:34.241098,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,-66.535,-15.24,1450.0,1.0,1450.0,1.0,80.06348877673588,1.0,55.59964498384435,1.0,0
1,2025-05-09 18:41:44.400545,3.191577770866096,3.218631266169061,69.19931710395149,69.68925754750883,55.46338340891301,54.346449580053346,55.41070271336022,4.115702320913407,69.19931640626936,187.57027029768085,1.0,213.39351057276406,1.0,-131.2533734903809,1.0,233.33896301323875,1.0,0
2,2025-05-09 18:41:53.522257,3.331654602140712,3.3848068751043296,69.21785285880156,69.70538163652537,55.59667827416834,54.51407364284052,55.54426489714122,4.249264506092863,69.21785216427286,186.7204196058952,1.0,212.41654845937236,1.0,-130.7856608889324,1.0,232.28430774793196,1.0,0
3,2025-05-09 18:42:06.219563,3.471224075009754,3.5495381089514715,69.2363558746471,69.72145248562661,55.729401032646614,54.68024215707385,55.67725777109914,4.382257381467166,69.23635518326917,185.87337502481859,1.0,211.4413119173064,1.0,-130.31195375504012,1.0,231.2305332645792,1.0,1
4,2025-05-09 18:42:16.046161,3.6102798703420023,3.7128361672549604,69.25482548061056,69.73747003918778,55.86154781263623,54.8449664034211,55.809677373472695,4.51467698527474,69.2548247923806,185.02913948625763,1.0,210.46783630643998,1.0,-129.83234769990304,1.0,230.17769750936168,1.0,1
5,2025-05-09 18:42:25.072139,3.7488157265582958,3.8747122355137487,69.27326117860297,69.75343430050215,55.99311398585757,55.00825758020674,55.941519023594914,4.646518636848442,69.27326049351808,184.18771281663675,1.0,209.4961478794947,1.0,-129.34690066970234,1.0,229.12582945536997,1.0,1
6,2025-05-09 18:42:35.080025,3.88682544231743,4.035177484050968,69.29166243660309,69.76934526356791,56.12409501967617,55.1701268717134,56.072778136287056,4.777777751009392,69.29166175466025,183.34909533229134,1.0,208.5262746776613,1.0,-128.85565902138296,1.0,228.07497545954902,1.0,1
7,2025-05-09 18:42:41.165744,4.024302862427618,4.1942430618008455,69.31002841047813,69.78520281271226,56.25448625013988,55.3305854470276,56.20344999278953,4.908449608997866,69.31002773167414,182.51329312997674,1.0,207.558261192558,1.0,-128.35866911188987,1.0,227.02519346808003,1.0,1
8,2025-05-09 18:42:50.982600,4.161241895467045,4.351920099910815,69.32835871662382,69.80100700028626,56.384283303274195,55.48964445387402,56.33353016455039,5.03852978226172,69.32835804095537,181.68030345042908,1.0,206.59212764277578,1.0,-127.85599468202236,1.0,225.9765182486717,1.0,1
