iteration,timestamp,J2,J13
0,2025-05-09 18:41:43.113327,0.0,0.0
1,2025-05-09 18:41:52.168100,69.1993171039515,69.6892575475088
2,2025-05-09 18:42:04.681937,69.2178528588016,69.7053816365254
3,2025-05-09 18:42:14.589341,69.2363558746471,69.7214524856266
4,2025-05-09 18:42:23.897795,69.2548254806106,69.7374700391878
5,2025-05-09 18:42:33.592050,69.273261178603,69.7534343005021
6,2025-05-09 18:42:39.857337,69.2916624366031,69.7693452635679
7,2025-05-09 18:42:49.674131,69.3100284104781,69.7852028127123
