iteration,timestamp,T42,P79,ScadaCommand_P79,T42S
0,2025-05-09 18:41:44.211172,0.0,1,1.0,0.0
1,2025-05-09 18:41:53.262384,3.2186312675476074,1,1.0,3.2186312675476074
2,2025-05-09 18:42:06.080066,3.3848068714141846,1,1.0,3.3848068714141846
3,2025-05-09 18:42:15.647828,3.5495381355285645,1,1.0,3.5495381355285645
4,2025-05-09 18:42:24.951472,3.712836265563965,1,1.0,3.712836265563965
5,2025-05-09 18:42:34.729338,3.8747122287750244,1,1.0,3.8747122287750244
6,2025-05-09 18:42:41.028267,4.035177707672119,1,1.0,3.8747122287750244
7,2025-05-09 18:42:50.826171,4.19424295425415,1,1.0,4.19424295425415
,,4.351920127868652,,,
