J1,P1F,V1F,P1,T1
57.69920503980293,0.0,-12.366384343636128,0,7.085469722747803
57.59884796732136,0.0,-12.24243746207776,0,6.9805707931518555
57.59884796732136,0.0,-12.24243746207776,0,6.9805707931518555
57.49851119764716,0.0,-12.125927972874706,0,6.875983715057373
57.39819563360019,0.0,-12.016409690431828,0,6.771688938140869
57.29790274628504,0.0,-11.913419045299634,0,6.66766881942749
57.197633573239,0.0,-11.816547516900755,0,6.563907146453857
57.09738877347913,0.0,-11.72541266043936,0,6.46038818359375
56.351412943478884,0.0,-16.921597387522525,0,6.357097625732422
56.20654442092843,0.0,-16.83224727344168,0,6.207850933074951
56.061702286417834,0.0,-16.746736093864456,0,6.058828353881836
55.916886531637736,0.0,-16.664884215629172,0,5.910019397735596
67.07836681176302,325.1822182144897,195.75906818204203,1,5.761415481567383
