iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
5,2025-01-20 19:44:15.188951,3.748815816802138,3.874712146677504,69.27326128254445,69.75343435893345,55.993114154433954,55.008257947886655,55.941519190483056,4.646518803736571,69.27326059745958,55.00825749598202,184.18770973690442,1.0,209.4961424010621,1.0,-129.34690646432045,1.0,229.12582366075185,1.0,151.1389701971666,1.0,0
6,2025-01-20 19:44:20.120582,3.886825539767537,4.035177387722097,69.29166240695028,69.76934527354763,56.124095210002245,55.17012723080739,56.07277832603484,4.777777940757167,69.29166172500744,55.1701267828413,183.34909480629142,1.0,208.52627624056905,1.0,-128.85566481600108,1.0,228.07497545954902,1.0,149.82172891450318,1.0,0
7,2025-01-20 19:44:25.000287,4.024302965206054,4.194242961884444,69.31002847999169,69.78520285782665,56.25448642221278,55.33058579474035,56.20345016357084,4.908449779779163,69.31002780118769,55.33058535068169,182.51329075213638,1.0,207.55825752871442,1.0,-128.35867490650799,1.0,227.02519346808003,1.0,148.5148947659809,1.0,0
8,2025-01-20 19:44:30.123445,4.161242002637036,4.351919995782797,69.32835869891174,69.8010070135977,56.38428346719153,55.48964479412009,56.33353032756631,5.038529945277629,69.32835802324325,55.48964435393776,181.68030274882398,1.0,206.59212857632426,1.0,-127.85599757933142,1.0,225.97652404328983,1.0,147.21845905967257,1.0,0
9,2025-01-20 19:44:35.084944,4.297636612856938,4.50821959686962,69.34665246181441,69.81675771674246,56.513481866021074,55.647315354358796,56.463014282148364,5.1680139013795445,69.34665178927801,55.647314918021806,180.8501320675565,1.0,205.6279211074711,1.0,-127.34768208872538,1.0,224.92900195288712,1.0,145.93238992517854,1.0,0
10,2025-01-20 19:44:39.825836,4.433480825495509,4.663152853391835,69.36490922568035,69.83245496686577,56.642077428817146,55.80360858171245,56.59189778279628,5.296897403563995,69.36490855627241,55.80360814918985,180.02277872916127,1.0,204.66566374301968,1.0,-126.83378927818012,1.0,223.88269673228933,1.0,144.65667287595352,1.0,0
11,2025-01-20 19:44:44.542046,4.568768720883665,4.816730818880822,69.3831282462825,69.84809869320932,56.77006578947096,55.95853556316967,56.72017640499621,5.425176027316985,69.38312757999927,55.95853513443058,179.19824646308786,1.0,203.7053957088688,1.0,-126.31437129925871,1.0,222.83763735458706,1.0,143.3912789389069,1.0,0
12,2025-01-20 19:44:49.603477,4.7034944466447675,4.968964531878651,69.40130918949151,69.86368897501004,56.89744285714355,56.11210735110561,56.84784599985568,5.552845623745829,69.40130852632915,56.11210692611923,178.37653109300572,1.0,202.7471346159386,1.0,-125.78949479006951,1.0,221.79387017672525,1.0,142.13619073018435,1.0,0
13,2025-01-20 19:44:54.565822,4.854797804866606,5.133510090103113,69.50458947027145,69.96060083697097,57.26949187646075,56.26439936498822,57.21851255214889,5.92351212975976,69.50458881484433,56.26439890563124,173.26860760999529,1.0,197.30355154103748,1.0,-141.26754560379595,1.0,219.20682814993597,1.0,153.63140059662328,1.0,0
14,2025-01-20 19:44:59.482352,5.005339624913014,5.29672721643611,69.52463498630128,69.97757783502279,57.409047441396595,56.42893844718667,57.35846815746638,6.063467737203221,69.52463433433888,56.428937991538234,172.37380272991925,1.0,196.24701460132664,1.0,-140.55651698754446,1.0,218.0480551862729,1.0,152.39107997217616,1.0,0
15,2025-01-20 19:45:04.174443,5.155116449069413,5.458624442654214,69.54463764773627,69.99450749487335,57.54783850962394,56.592149183366786,57.497659625797944,6.202659207670387,69.5446369992332,56.592148731403064,171.48149289952013,1.0,195.19273639431398,1.0,-139.84226656361898,1.0,216.89108434884474,1.0,151.15873274226033,1.0,0
16,2025-01-20 19:45:08.874063,5.304124886968129,5.6192102698084145,69.56459739682192,70.01139004608423,57.68586358683429,56.75404010437026,57.63608540862885,6.3410849926463975,69.5645967517728,56.75403965606753,170.5916660193188,1.0,194.14071996405866,1.0,-139.12484068896447,1.0,215.7359156376515,1.0,149.93431834454896,1.0,0
17,2025-01-20 19:45:13.687278,5.452361599465813,5.7784931525029135,69.58451358898681,70.02822536036217,57.823120784750145,56.914619710230454,57.77374356361916,6.478743149791104,69.58451294738612,56.91461926556513,169.70432885125507,1.0,193.09099928391856,1.0,-138.4043060016893,1.0,214.5825954096381,1.0,148.71779331940616,1.0,0
18,2025-01-20 19:45:18.720946,5.599823307528405,5.936481522857795,69.60438585405167,70.0450134084817,57.959608386625106,57.07389645465725,57.91063232020344,6.615631908538931,69.6043852158938,57.07389601360579,168.81948293571511,1.0,192.04359386489728,1.0,-137.6807088587384,1.0,213.43114684327702,1.0,147.50914028297757,1.0,0
19,2025-01-20 19:45:23.654020,5.746506807391002,6.093183759844172,69.62421359899339,70.06175407957542,58.09532494031329,57.23187876873941,58.04675017667219,6.751749767180192,69.62421296427266,57.231878331278395,167.93713411617153,1.0,190.99853496340032,1.0,-136.95411589822015,1.0,212.28159891165888,1.0,146.30832157024543,1.0,0
20,2025-01-20 19:45:28.407370,5.892408953529309,6.24860822109398,69.64399651640514,70.07844736600487,58.23026881179326,57.38857503057573,58.18209544412965,6.887095036818924,69.6439958851157,57.38857459668183,167.05728279522643,1.0,189.95583878188768,1.0,-136.22459086093386,1.0,211.13400376634672,1.0,145.115302413501,1.0,0
21,2025-01-20 19:45:33.360419,6.037526658485786,6.402763237717795,69.66373394288854,70.09509312923174,58.36443840976381,57.54399359690847,58.316666477802926,7.021666072682095,69.66373331502453,57.54399316655846,166.1799362748026,1.0,188.91554028602883,1.0,-135.49218300113353,1.0,209.98837879119492,1.0,143.93005383965374,1.0,0
