iteration,timestamp,T2,P2,ScadaCommand_P2
0,2025-12-25 18:41:04.824714,0.0,1,1.0
1,2025-12-25 18:41:09.255768,0.0,1,1.0
2,2025-12-25 18:41:14.098779,0.0,1,1.0
3,2025-12-25 18:41:19.090395,0.0,1,1.0
4,2025-12-25 18:41:24.286784,0.0,1,1.0
5,2025-12-25 18:41:28.700980,0.0,1,1.0
6,2025-12-25 18:41:33.294329,0.0,1,1.0
7,2025-12-25 18:41:38.119130,0.0,1,1.0
8,2025-12-25 18:41:42.121661,0.0,1,1.0
9,2025-12-25 18:41:46.095766,0.0,1,1.0
10,2025-12-25 18:41:50.524311,0.0,1,1.0
11,2025-12-25 18:41:55.203941,0.0,1,1.0
12,2025-12-25 18:42:00.062483,0.0,1,1.0
13,2025-12-25 18:42:05.445852,0.0,1,1.0
14,2025-12-25 18:42:10.592991,0.0,1,1.0
15,2025-12-25 18:42:15.896826,0.0,1,1.0
16,2025-12-25 18:42:20.790753,0.0,1,1.0
17,2025-12-25 18:42:25.469404,0.0,1,1.0
18,2025-12-25 18:42:31.084479,0.0,1,0.0
19,2025-12-25 18:42:35.366945,0.0,0,0.0
20,2025-12-25 18:42:40.097924,0.0,0,0.0
21,2025-12-25 18:42:44.540162,0.0,0,0.0
22,2025-12-25 18:42:48.993915,0.0,0,0.0
23,2025-12-25 18:42:54.414677,0.0,0,0.0
24,2025-12-25 18:42:58.916663,0.0,0,0.0
25,2025-12-25 18:43:03.393487,0.0,0,0.0
26,2025-12-25 18:43:07.911960,0.0,0,0.0
27,2025-12-25 18:43:12.299940,0.0,0,0.0
28,2025-12-25 18:43:16.306685,0.0,0,0.0
29,2025-12-25 18:43:21.410593,0.0,0,0.0
30,2025-12-25 18:43:26.260864,0.0,0,0.0
31,2025-12-25 18:43:31.217017,0.0,0,0.0
32,2025-12-25 18:43:35.750972,0.0,0,0.0
33,2025-12-25 18:43:39.894942,0.0,0,0.0
34,2025-12-25 18:43:44.926648,0.0,0,0.0
35,2025-12-25 18:43:49.616460,0.0,0,0.0
36,2025-12-25 18:43:54.443700,0.0,0,0.0
37,2025-12-25 18:43:58.606894,0.0,0,0.0
38,2025-12-25 18:44:03.393603,0.0,0,0.0
39,2025-12-25 18:44:08.329684,0.0,0,0.0
40,2025-12-25 18:44:13.525655,0.0,0,0.0
41,2025-12-25 18:44:18.289992,0.0,0,0.0
42,2025-12-25 18:44:22.905687,0.0,0,0.0
43,2025-12-25 18:44:27.139207,0.0,0,0.0
44,2025-12-25 18:44:31.075754,0.0,0,0.0
45,2025-12-25 18:44:35.755555,0.0,0,0.0
46,2025-12-25 18:44:40.478738,0.0,0,0.0
47,2025-12-25 18:44:45.652647,0.0,0,0.0
48,2025-12-25 18:44:50.286851,0.0,0,0.0
49,2025-12-25 18:44:54.752228,0.0,0,0.0
50,2025-12-25 18:44:59.867438,0.0,0,0.0
51,2025-12-25 18:45:04.381518,0.0,0,0.0
52,2025-12-25 18:45:08.440523,0.0,0,0.0
53,2025-12-25 18:45:12.814515,0.0,0,0.0
54,2025-12-25 18:45:17.504539,0.0,0,0.0
55,2025-12-25 18:45:21.820880,0.0,0,0.0
56,2025-12-25 18:45:26.709880,0.0,0,0.0
57,2025-12-25 18:45:32.032981,0.0,0,0.0
58,2025-12-25 18:45:37.204271,0.0,0,0.0
59,2025-12-25 18:45:41.742289,0.0,0,0.0
60,2025-12-25 18:45:46.515473,0.0,0,0.0
61,2025-12-25 18:45:50.932786,0.0,0,0.0
62,2025-12-25 18:45:55.877132,0.0,0,0.0
63,2025-12-25 18:46:00.562782,0.0,0,0.0
64,2025-12-25 18:46:05.713690,0.0,0,0.0
65,2025-12-25 18:46:10.069757,0.0,0,0.0
66,2025-12-25 18:46:14.828267,0.0,0,0.0
67,2025-12-25 18:46:19.266712,0.0,0,0.0
68,2025-12-25 18:46:24.280987,0.0,0,0.0
69,2025-12-25 18:46:29.292543,0.0,0,0.0
70,2025-12-25 18:46:33.782496,0.0,0,0.0
71,2025-12-25 18:46:38.788795,0.0,0,0.0
72,2025-12-25 18:46:43.038198,0.0,0,0.0
73,2025-12-25 18:46:47.528202,0.0,0,0.0
74,2025-12-25 18:46:52.475030,0.0,0,0.0
75,2025-12-25 18:46:57.046855,0.0,0,0.0
76,2025-12-25 18:47:01.518526,0.0,0,0.0
77,2025-12-25 18:47:06.504877,0.0,0,0.0
78,2025-12-25 18:47:11.110737,0.0,0,0.0
79,2025-12-25 18:47:15.630898,0.0,0,0.0
80,2025-12-25 18:47:19.955620,0.0,0,0.0
81,2025-12-25 18:47:24.611985,0.0,0,0.0
82,2025-12-25 18:47:29.332139,0.0,0,0.0
83,2025-12-25 18:47:33.547890,0.0,0,0.0
84,2025-12-25 18:47:37.814636,0.0,0,0.0
85,2025-12-25 18:47:42.973262,0.0,0,0.0
86,2025-12-25 18:47:47.341511,0.0,0,0.0
87,2025-12-25 18:47:52.277682,0.0,0,0.0
88,2025-12-25 18:47:56.839688,0.0,0,0.0
89,2025-12-25 18:48:01.652721,0.0,0,0.0
90,2025-12-25 18:48:06.393584,0.0,0,0.0
91,2025-12-25 18:48:10.352060,0.0,0,0.0
92,2025-12-25 18:48:15.204551,0.0,0,0.0
93,2025-12-25 18:48:19.725622,0.0,0,0.0
94,2025-12-25 18:48:24.351594,0.0,0,0.0
95,2025-12-25 18:48:28.447553,0.0,0,0.0
96,2025-12-25 18:48:33.151983,0.0,0,0.0
97,2025-12-25 18:48:37.937251,0.0,0,0.0
98,2025-12-25 18:48:42.527506,0.0,0,0.0
99,2025-12-25 18:48:47.485962,0.0,0,0.0
100,2025-12-25 18:48:51.671710,0.0,0,0.0
101,2025-12-25 18:48:56.658805,0.0,0,0.0
102,2025-12-25 18:49:01.557553,0.0,0,0.0
103,2025-12-25 18:49:05.870615,0.0,0,0.0
104,2025-12-25 18:49:09.977602,0.0,0,0.0
105,2025-12-25 18:49:14.796670,0.0,0,0.0
106,2025-12-25 18:49:19.091190,0.0,0,0.0
107,2025-12-25 18:49:23.301882,0.0,0,0.0
108,2025-12-25 18:49:28.024153,0.0,0,0.0
109,2025-12-25 18:49:32.906760,0.0,0,0.0
110,2025-12-25 18:49:37.669481,0.0,0,0.0
111,2025-12-25 18:49:42.692715,0.0,0,0.0
112,2025-12-25 18:49:47.149186,0.0,0,0.0
113,2025-12-25 18:49:52.406705,0.0,0,0.0
114,2025-12-25 18:49:56.874215,0.0,0,0.0
115,2025-12-25 18:50:01.169488,0.0,0,0.0
116,2025-12-25 18:50:04.937955,0.0,0,0.0
117,2025-12-25 18:50:10.129827,0.0,0,0.0
118,2025-12-25 18:50:14.823688,0.0,0,0.0
119,2025-12-25 18:50:19.348313,0.0,0,0.0
120,2025-12-25 18:50:24.333800,0.0,0,0.0
121,2025-12-25 18:50:28.903655,0.0,0,0.0
122,2025-12-25 18:50:33.347077,0.0,0,0.0
123,2025-12-25 18:50:38.083735,0.0,0,0.0
124,2025-12-25 18:50:42.372626,0.0,0,0.0
125,2025-12-25 18:50:47.252618,0.0,0,0.0
126,2025-12-25 18:50:51.854207,0.0,0,0.0
127,2025-12-25 18:50:56.032957,0.0,0,0.0
128,2025-12-25 18:51:00.204332,0.0,0,0.0
129,2025-12-25 18:51:04.723057,0.0,0,0.0
130,2025-12-25 18:51:09.387558,0.0,0,0.0
131,2025-12-25 18:51:14.655031,0.0,0,0.0
132,2025-12-25 18:51:19.625349,0.0,0,0.0
133,2025-12-25 18:51:23.288222,0.0,0,0.0
134,2025-12-25 18:51:28.278145,0.0,0,0.0
135,2025-12-25 18:51:32.608030,0.0,0,0.0
136,2025-12-25 18:51:37.232801,0.0,0,0.0
137,2025-12-25 18:51:42.175114,0.0,0,0.0
138,2025-12-25 18:51:46.474433,0.0,0,0.0
139,2025-12-25 18:51:51.097907,0.0,0,0.0
140,2025-12-25 18:51:55.620734,0.0,0,0.0
141,2025-12-25 18:52:00.405853,0.0,0,0.0
142,2025-12-25 18:52:05.246703,0.0,0,0.0
143,2025-12-25 18:52:09.923556,0.0,0,0.0
144,2025-12-25 18:52:14.661034,0.0,0,0.0
145,2025-12-25 18:52:19.108653,0.0,0,0.0
146,2025-12-25 18:52:23.894615,0.0,0,0.0
