iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
359,2025-12-25 19:24:45.919256,10.668000000000001,10.668000000000001,79.48279878163777,78.46462243770871,77.75809223607031,77.7592495111694,77.7536046339657,0.0,0.0,0.0,130.08048734489728,1.0,1.0,1,1
360,2025-12-25 19:25:01.852360,10.668000000000001,10.668000000000001,79.28137453049938,76.79516381464586,75.06992529903253,75.07275166124047,75.05896729162431,0.0,0.0,0.0,210.6501878002533,1.0,1.0,1,1
361,2025-12-25 19:25:17.135149,10.668000000000001,10.668000000000001,79.28137453049939,76.79516381464622,75.06992529903324,75.07275166124116,75.05896729162501,0.0,0.0,0.0,210.65018780024752,1.0,1.0,1,1
362,2025-12-25 19:25:32.739236,10.668000000000001,10.668000000000001,79.28137453049939,76.7951638146463,75.06992529903344,75.07275166124136,75.05896729162524,0.0,0.0,0.0,210.65018780024752,1.0,1.0,1,1
363,2025-12-25 19:25:47.866841,10.668000000000001,10.668000000000001,79.28137453049932,76.79516381464559,75.06992529903196,75.07275166123992,75.05896729162373,0.0,0.0,0.0,210.6501878002707,1.0,1.0,1,1
364,2025-12-25 19:26:03.412180,10.668000000000001,10.668000000000001,79.28137453049946,76.79516381464694,75.06992529903476,75.07275166124262,75.05896729162654,0.0,0.0,0.0,210.65018780021853,1.0,1.0,1,1
365,2025-12-25 19:26:18.951616,10.668000000000001,10.668000000000001,79.28137453049926,76.79516381464515,75.0699252990311,75.07275166123905,75.05896729162286,0.0,0.0,0.0,210.65018780029388,1.0,1.0,1,1
366,2025-12-25 19:26:33.879424,10.668000000000001,10.668000000000001,79.28137453049943,76.79516381464657,75.06992529903395,75.07275166124184,75.05896729162573,0.0,0.0,0.0,210.65018780022433,1.0,1.0,1,1
367,2025-12-25 19:26:48.472678,10.668000000000001,10.668000000000001,79.28137453049928,76.79516381464518,75.0699252990312,75.07275166123915,75.05896729162296,0.0,0.0,0.0,210.65018780028808,1.0,1.0,1,1
368,2025-12-25 19:27:03.607902,10.668000000000001,10.668000000000001,79.2813745304995,76.79516381464687,75.06992529903458,75.07275166124245,75.05896729162636,0.0,0.0,0.0,210.65018780020114,1.0,1.0,1,1
369,2025-12-25 19:27:19.031053,10.668000000000001,10.668000000000001,79.28137453049929,76.79516381464528,75.06992529903141,75.07275166123937,75.05896729162318,0.0,0.0,0.0,210.65018780028808,1.0,1.0,1,1
370,2025-12-25 19:27:33.810334,10.668000000000001,10.668000000000001,79.28137453049939,76.79516381464619,75.06992529903324,75.07275166124116,75.05896729162502,0.0,0.0,0.0,210.65018780024752,1.0,1.0,1,1
371,2025-12-25 19:27:49.400369,10.668000000000001,10.668000000000001,79.28137453049928,76.79516381464491,75.06992529903063,75.0727516612386,75.0589672916224,0.0,0.0,0.0,210.65018780029388,1.0,1.0,1,1
372,2025-12-25 19:28:04.995530,10.668000000000001,10.668000000000001,79.11689106971964,75.00391351100212,72.14981538230148,72.15449140303603,72.13168734045661,0.0,0.0,0.0,276.44357211213907,1.0,1.0,1,1
373,2025-12-25 19:28:20.432895,10.668000000000001,10.668000000000001,79.11689106971932,75.0039135109987,72.14981538229455,72.15449140302927,72.13168734044964,0.0,0.0,0.0,276.4435721122723,1.0,1.0,1,1
374,2025-12-25 19:28:35.385287,10.668000000000001,10.668000000000001,79.11689106971947,75.0039135110002,72.14981538229758,72.15449140303221,72.13168734045269,0.0,0.0,0.0,276.4435721122144,1.0,1.0,1,1
375,2025-12-25 19:28:50.466222,10.668000000000001,10.668000000000001,79.11689106971941,75.0039135109998,72.1498153822968,72.15449140303147,72.13168734045192,0.0,0.0,0.0,276.4435721122376,1.0,1.0,1,1
376,2025-12-25 19:29:05.670737,10.668000000000001,10.668000000000001,79.11689106971947,75.00391351100056,72.14981538229837,72.154491403033,72.1316873404535,0.0,0.0,0.0,276.4435721122086,1.0,1.0,1,1
