iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-13 18:36:33.775738,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 18:36:38.790633,1.0,1,1,3.3647472858428955,3.0510001182556152,1.0
2.0,2024-06-13 18:36:44.353144,1.0,1,1,3.6717066764831543,3.2481727600097656,1.0
3.0,2024-06-13 18:36:49.552090,1.0,1,1,3.9730355739593506,3.4489753246307373,1.0
4.0,2024-06-13 18:36:54.870580,1.0,1,1,3.9730355739593506,3.6522605419158936,1.0
5.0,2024-06-13 18:36:59.896856,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 18:37:05.603266,1.0,1,1,4.848784446716309,4.063929080963135,1.0
7.0,2024-06-13 18:37:10.448182,1.0,1,1,4.848784446716309,4.271574974060059,1.0
8.0,2024-06-13 18:37:15.677210,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 18:37:20.733640,1.0,1,1,5.412262916564941,4.689254283905029,1.0
10.0,2024-06-13 18:37:25.756736,1.0,1,1,5.6885294914245605,5.108969688415527,1.0
11.0,2024-06-13 18:37:30.783918,1.0,1,1,5.96135139465332,5.319255352020264,1.0
12.0,2024-06-13 18:37:35.880970,1.0,1,1,6.230856418609619,5.529681205749512,1.0
13.0,2024-06-13 18:37:40.507924,1.0,1,1,6.497158050537109,5.743943214416504,1.0
14.0,2024-06-13 18:37:45.752407,1.0,1,1,3.024285316467285,5.958117485046387,1.0
15.0,2024-06-13 18:37:50.888307,1.0,1,1,3.024285316467285,5.958117485046387,1.0
16.0,2024-06-13 18:37:55.996530,1.0,1,1,3.283440113067627,6.172133445739746,1.0
17.0,2024-06-13 18:38:00.708253,1.0,1,1,3.5397558212280273,6.59943151473999,1.0
18.0,2024-06-13 18:38:05.672144,1.0,1,1,3.7932982444763184,6.8125996589660645,1.0
19.0,2024-06-13 18:38:10.784839,1.0,1,1,4.044130325317383,7.0253777503967285,1.0
20.0,2024-06-13 18:38:15.509297,1.0,1,1,4.292308807373047,7.237719535827637,1.0
21.0,2024-06-13 18:38:20.749182,1.0,1,1,4.78092098236084,7.449580669403076,1.0
22.0,2024-06-13 18:38:26.064175,1.0,1,1,4.78092098236084,7.449580669403076,1.0
23.0,2024-06-13 18:38:31.280248,1.0,1,1,5.021451950073242,7.871701240539551,1.0
24.0,2024-06-13 18:38:36.617930,1.0,0,1,5.495187759399414,8.081887245178223,1.0
25.0,2024-06-13 18:38:42.098268,0.0,0,1,5.495187759399414,8.081887245178223,1.0
26.0,2024-06-13 18:38:47.448569,0.0,0,1,5.94389533996582,8.407023429870605,1.0
27.0,2024-06-13 18:38:52.936337,0.0,0,1,5.94389533996582,8.407023429870605,1.0
28.0,2024-06-13 18:38:58.228321,0.0,0,1,6.381343841552734,8.570094108581543,1.0
29.0,2024-06-13 18:39:09.221735,0.0,0,1,6.668000221252441,8.896913528442383,1.0
30.0,2024-06-13 18:39:14.944684,0.0,0,1,6.668000221252441,8.95254898071289,1.0
31.0,2024-06-13 18:39:20.564012,0.0,0,1,6.668000221252441,9.122198104858398,1.0
32.0,2024-06-13 18:39:26.040478,0.0,0,1,6.668000221252441,9.37789249420166,1.0
33.0,2024-06-13 18:39:31.514442,0.0,0,1,6.668000221252441,9.631545066833496,1.0
34.0,2024-06-13 18:39:36.769768,0.0,0,1,6.668000221252441,9.883157730102539,1.0
35.0,2024-06-13 18:39:42.803647,0.0,0,1,6.668000221252441,10.132736206054688,1.0
36.0,2024-06-13 18:39:54.620812,0.0,0,1,6.668000221252441,10.625800132751465,1.0
37.0,2024-06-13 18:40:00.281884,0.0,0,1,6.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 18:40:06.247383,0.0,0,1,6.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 18:40:11.640593,0.0,0,1,6.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 18:40:16.940627,0.0,0,1,6.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 18:40:22.030127,0.0,0,1,6.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 18:40:27.824723,0.0,0,1,6.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 18:40:33.800164,0.0,0,1,6.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 18:40:39.401226,0.0,0,1,6.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 18:40:44.745029,0.0,0,1,6.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 18:40:50.496801,0.0,0,1,6.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 18:40:55.765212,0.0,0,1,6.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 18:41:00.888840,0.0,0,1,6.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 18:41:06.103372,0.0,0,1,6.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 18:41:11.204026,0.0,0,1,6.668000221252441,10.668000221252441,1.0
