iteration,timestamp,P79,T41,T42,P1,J2,J13,V1F,V2F
0.0,2024-12-25 12:49:02.916799,1.0,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0,0.0,0.0
1.0,2024-12-25 12:49:11.299619,1.0,3.577101469039917,3.722076892852783,1.0,54.770442962646484,54.351871490478516,562.1585693359375,0.0
2.0,2024-12-25 12:49:19.775973,1.0,4.089666366577148,4.3476457595825195,1.0,55.27775192260742,55.02223205566406,562.1585693359375,-628.4616088867188
3.0,2024-12-25 12:49:27.716067,1.0,4.589731216430664,4.929535865783691,1.0,55.27775192260742,55.02223205566406,545.1497802734375,-555.54541015625
4.0,2024-12-25 12:49:35.731876,1.0,5.079511642456055,5.468183517456055,1.0,55.773311614990234,55.647151947021484,513.1539306640625,-520.9006958007812
5.0,2024-12-25 12:49:44.154891,1.0,5.567190170288086,5.468183517456055,1.0,56.746639251708984,56.766456604003906,502.1240234375,-483.94952392578125
6.0,2024-12-25 12:49:52.288115,1.0,5.567190170288086,5.957542419433594,1.0,57.21099853515625,57.255455017089844,483.2127685546875,-458.2340393066406
7.0,2024-12-25 12:49:59.137761,1.0,6.036944389343262,6.851006031036377,1.0,57.65578079223633,57.71464538574219,463.7013854980469,-435.430419921875
8.0,2024-12-25 12:50:07.215897,1.0,6.91754674911499,7.263298988342285,1.0,58.082252502441406,58.14838790893555,463.7013854980469,-435.430419921875
9.0,2024-12-25 12:50:15.294597,1.0,7.329652786254883,7.655894756317139,1.0,58.082252502441406,58.14838790893555,445.2461242675781,-397.4576110839844
10.0,2024-12-25 12:50:23.370757,1.0,7.312326431274414,8.004949569702148,1.0,58.491092681884766,58.56047439575195,16.533235549926758,-367.0718078613281
11.0,2024-12-25 12:50:31.734968,0.0,7.312326431274414,8.004949569702148,0.0,58.61039352416992,59.29975509643555,28.157529830932617,48.963932037353516
12.0,2024-12-25 12:50:39.664328,0.0,7.317048072814941,7.798557281494141,0.0,58.61431121826172,59.19359588623047,25.009950637817383,45.83491134643555
13.0,2024-12-25 12:50:47.260709,0.0,7.329204559326172,7.7173261642456055,0.0,58.61347961425781,59.093441009521484,24.22555160522461,38.14836120605469
14.0,2024-12-25 12:50:55.194754,0.0,7.336539268493652,7.642164707183838,0.0,58.62611770629883,59.01222229003906,21.02515411376953,38.14836120605469
15.0,2024-12-25 12:51:03.066701,0.0,7.337996482849121,7.572881698608398,0.0,58.6328239440918,58.937076568603516,21.02515411376953,34.947654724121094
16.0,2024-12-25 12:51:11.099838,0.0,7.333796501159668,7.509255409240723,0.0,58.6328239440918,58.937076568603516,17.926265716552734,28.86566734313965
17.0,2024-12-25 12:51:19.080628,0.0,7.324197769165039,7.509255409240723,0.0,58.62921905517578,58.80419158935547,12.097586631774902,26.019023895263672
18.0,2024-12-25 12:51:27.084173,0.0,7.324197769165039,7.451027870178223,0.0,58.61936950683594,58.745975494384766,9.413832664489746,23.334854125976562
19.0,2024-12-25 12:51:33.538643,0.0,7.309508323669434,7.349467754364014,0.0,58.60453796386719,58.69284439086914,6.928865432739258,20.849430084228516
20.0,2024-12-25 12:51:41.323174,0.0,7.266460418701172,7.305285930633545,0.0,58.58509063720703,58.64442825317383,6.928865432739258,20.849430084228516
21.0,2024-12-25 12:51:49.349789,0.0,7.239196300506592,7.264723777770996,0.0,58.58509063720703,58.64442825317383,4.6931915283203125,16.704757690429688
22.0,2024-12-25 12:51:57.562940,0.0,7.209099292755127,7.226994514465332,0.0,58.561397552490234,58.60025405883789,1.2922838926315308,15.211115837097168
23.0,2024-12-25 12:52:05.626018,0.0,7.209099292755127,7.226994514465332,0.0,58.503883361816406,58.521968841552734,0.2731756865978241,14.191216468811035
24.0,2024-12-25 12:52:13.945294,0.0,7.17706823348999,7.19119930267334,0.0,58.471805572509766,58.486175537109375,-0.2983301281929016,13.617288589477539
25.0,2024-12-25 12:52:20.607808,0.0,7.100850582122803,7.116091728210449,0.0,58.43842315673828,58.45146179199219,-1.5934678316116333,15.538468360900879
26.0,2024-12-25 12:52:28.882868,0.0,7.058572292327881,7.074871063232422,0.0,58.3953742980957,58.41105651855469,-1.1617021560668945,15.538468360900879
27.0,2024-12-25 12:52:36.855351,0.0,7.016598224639893,7.033345699310303,0.0,58.35311508178711,58.36983871459961,-1.0014171600341797,15.970468521118164
28.0,2024-12-25 12:52:44.773927,0.0,6.974750518798828,6.991694450378418,0.0,58.35311508178711,58.36983871459961,-1.0014171600341797,16.130849838256836
29.0,2024-12-25 12:52:52.645810,0.0,6.932958126068115,6.949987888336182,0.0,58.31114959716797,58.328311920166016,-0.9058176279067993,16.22650909423828
30.0,2024-12-25 12:53:00.720703,0.0,6.932958126068115,6.949987888336182,0.0,58.22751235961914,58.24495315551758,-0.8931303024291992,16.239212036132812
31.0,2024-12-25 12:53:08.818970,0.0,6.8911895751953125,6.866516590118408,0.0,58.18574523925781,58.203224182128906,-0.8875442743301392,16.244796752929688
32.0,2024-12-25 12:53:17.012969,0.0,6.80767822265625,6.824770927429199,0.0,58.143985748291016,58.16148376464844,-0.8850641846656799,16.247278213500977
33.0,2024-12-25 12:53:25.080704,0.0,6.765926837921143,6.783022880554199,0.0,58.10223388671875,58.11973571777344,-0.8850641846656799,16.247278213500977
34.0,2024-12-25 12:53:33.215611,0.0,6.724176406860352,6.741273880004883,0.0,58.10223388671875,58.11973571777344,-0.8839545249938965,16.24887466430664
35.0,2024-12-25 12:53:41.408003,0.0,6.682426929473877,6.741273880004883,0.0,58.018733978271484,58.03623962402344,-0.8832475543022156,16.24909210205078
36.0,2024-12-25 12:53:49.628930,0.0,6.682426929473877,6.699524879455566,0.0,57.97698211669922,57.99449157714844,-0.8831490278244019,16.249189376831055
37.0,2024-12-25 12:53:56.641014,0.0,6.615719318389893,6.626924514770508,0.0,57.93557357788086,57.952754974365234,0.9601566195487976,12.41374397277832
38.0,2024-12-25 12:54:04.626211,0.0,6.588943004608154,6.5978922843933105,0.0,57.910552978515625,57.921905517578125,0.003276856616139412,12.41374397277832
39.0,2024-12-25 12:54:12.528687,0.0,6.561361312866211,6.569665431976318,0.0,57.88374710083008,57.89287567138672,0.003276856616139412,11.454777717590332
40.0,2024-12-25 12:54:20.880878,0.0,6.533533573150635,6.541684627532959,0.0,57.85615539550781,57.86465072631836,-0.4201938211917877,10.900479316711426
41.0,2024-12-25 12:54:28.925638,0.0,6.505646228790283,6.513763427734375,0.0,57.85615539550781,57.86465072631836,-0.5498281121253967,10.86906623840332
42.0,2024-12-25 12:54:37.293653,0.0,6.47774600982666,6.485855579376221,0.0,57.82832336425781,57.836669921875,-0.5881913900375366,10.862081527709961
43.0,2024-12-25 12:54:45.410960,0.0,6.47774600982666,6.485855579376221,0.0,57.77253723144531,57.78083801269531,-0.5897298455238342,10.860539436340332
44.0,2024-12-25 12:54:53.698546,0.0,6.44984245300293,6.430046081542969,0.0,57.744632720947266,57.752933502197266,-0.5900514721870422,10.860215187072754
45.0,2024-12-25 12:55:01.080250,0.0,6.394033908843994,6.402141571044922,0.0,57.71672821044922,57.72502899169922,-0.5901297330856323,10.860145568847656
46.0,2024-12-25 12:55:09.114648,0.0,6.3661298751831055,6.374237537384033,0.0,57.68882369995117,57.69712448120117,-0.5901442170143127,10.860145568847656
47.0,2024-12-25 12:55:17.212752,0.0,6.338225364685059,6.346333026885986,0.0,57.660919189453125,57.669219970703125,-0.5901442170143127,10.86013126373291
48.0,2024-12-25 12:55:25.164866,0.0,6.31032133102417,6.318428993225098,0.0,57.660919189453125,57.669219970703125,-0.5901442170143127,10.860125541687012
49.0,2024-12-25 12:55:33.283559,0.0,6.255008220672607,6.318428993225098,0.0,57.63301467895508,57.64131546020508,-3.542026996612549,17.231430053710938
