iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,T41MiM
11,2024-12-25 12:50:23.691272,7.317047843394852,7.898768644072925,58.610395205878554,59.299756695981706,58.61039512168771,59.29975684238358,58.60732691371326,0.0,0.0,0.0,0.0,28.157529963550587,1.0,48.963932051719894,1.0,0
12,2024-12-25 12:50:31.975324,7.315799372359176,7.7985574598967835,58.614309895679106,59.1935951272626,58.6143098208995,59.19359526430871,58.61204779189636,0.0,0.0,0.0,0.0,25.009951347669812,1.0,45.83491070036416,1.0,0
13,2024-12-25 12:50:39.936986,7.329204481708107,7.7173260514410496,58.613480825008175,59.09343982619844,58.61348075257392,59.09343994026182,58.61080355072369,0.0,0.0,0.0,0.0,24.225551276799706,1.0,38.148361355183624,1.0,0
14,2024-12-25 12:50:47.519858,7.336539327640776,7.642164913244571,58.62611833962,59.01222417190413,58.626118276754916,59.01222427639741,58.624205849455,0.0,0.0,0.0,0.0,21.025154716767247,1.0,34.947654783081816,1.0,0
15,2024-12-25 12:50:55.530779,7.337996359223653,7.572881577682778,58.6328254636399,58.93707729019389,58.63282541004047,58.93707738542053,58.63153939619686,0.0,0.0,0.0,0.0,17.926265379628603,1.0,31.848438050019467,1.0,0
16,2024-12-25 12:51:03.409421,7.333796399803979,7.509255226561197,58.633788507749856,58.86780673686905,58.63378846306786,58.86780682317722,58.63299587219837,0.0,0.0,0.0,0.0,14.943842072057123,1.0,28.865667065360867,1.0,0
17,2024-12-25 12:51:11.332058,7.324197623895072,7.4510277155892615,58.62921996502666,58.80419171520372,58.629219928854944,58.80419179300044,58.62879414885647,0.0,0.0,0.0,0.0,12.097586495656287,1.0,26.01902324954608,1.0,0
18,2024-12-25 12:51:19.385100,7.309508131926578,7.39789091151421,58.61937051932267,58.745974098965114,58.61937049117537,58.74597416873619,58.619192673975306,0.0,0.0,0.0,0.0,9.413832292466395,1.0,23.334854731160704,1.0,0
19,2024-12-25 12:51:27.355824,7.290104827812073,7.34946791904023,58.60453910581082,58.692845765716065,58.604539085093556,58.69284582805574,58.60449984397148,0.0,0.0,0.0,0.0,6.928865361146563,1.0,20.849430025009497,1.0,0
20,2024-12-25 12:51:33.786892,7.266460394916059,7.305286048226069,58.58509193145937,58.64442981872815,58.58509191742675,58.644429874381665,58.58509287562071,0.0,0.0,0.0,0.0,4.693191593219126,1.0,18.613252125305735,1.0,0
21,2024-12-25 12:51:41.632937,7.239196327804754,7.2647238304432635,58.56139777672395,58.60025352374035,58.56139776839598,58.600253573687475,58.56144483470506,0.0,0.0,0.0,0.0,2.7852817072471225,1.0,16.704756982903746,1.0,0
22,2024-12-25 12:51:49.725884,7.2090993912215495,7.22699447204117,58.5340536639551,58.55969538538317,58.53405366009118,58.559695430864316,58.534177641436564,0.0,0.0,0.0,0.0,1.2922838624263022,1.0,15.211115935471753,1.0,0
23,2024-12-25 12:51:57.871942,7.1770680898595876,7.1911994776042905,58.50388311971984,58.521968667553836,58.50388311890304,58.521968709985494,58.50407841990263,0.0,0.0,0.0,0.0,0.27317568196849606,1.0,14.191216789640748,1.0,0
24,2024-12-25 12:52:05.899148,7.143948251792175,7.156493010940377,58.471803895199706,58.48617510691265,58.47180389609171,58.486175147628266,58.47204577958212,0.0,0.0,0.0,0.0,-0.2983301192216459,1.0,13.617288838077002,1.0,0
25,2024-12-25 12:52:14.302153,7.100850605730405,7.1160915959597615,58.43842190354565,58.451460727966435,58.43842190831011,58.45146077442636,58.43891191809526,0.0,0.0,0.0,0.0,-1.5934678310713934,1.0,15.538468399540761,1.0,0
26,2024-12-25 12:52:20.934118,7.058572303788492,7.074870843948526,58.395375205836935,58.41105809051199,58.395375209310416,58.4110581382636,58.39581554095547,0.0,0.0,0.0,0.0,-1.1617021431220564,1.0,15.970468769523904,1.0,0
27,2024-12-25 12:52:29.180093,7.016598184528365,7.033345913230875,58.353115186964374,58.369836879319145,58.35311518995861,58.36983692755029,58.35353770479052,0.0,0.0,0.0,0.0,-1.0014172113415043,1.0,16.130849312503415,1.0,0
28,2024-12-25 12:52:37.136698,6.974750716107305,6.991694312457961,58.31114858022649,58.328311756543606,58.31114858302118,58.32831180497445,58.31156377862567,0.0,0.0,0.0,0.0,-0.934680594468773,1.0,16.197638080939214,1.0,0
29,2024-12-25 12:52:45.053929,6.932958032724206,6.949987948361473,58.26930434309465,58.28666007258422,58.26930434580304,58.286660121101384,58.269716393577404,0.0,0.0,0.0,0.0,-0.905817601619674,1.0,16.22650976571549,1.0,0
30,2024-12-25 12:52:52.919402,6.891189420735679,6.908257496414167,58.227513077026835,58.24495367187739,58.22751307969729,58.244953720432534,58.22792374680612,0.0,0.0,0.0,0.0,-0.8931302852488443,1.0,16.239211568631617,1.0,0
31,2024-12-25 12:53:01.006602,6.849431408010991,6.86651645074487,58.18574508709508,58.203223203812115,58.185745089748835,58.203223252383964,58.18615515092184,0.0,0.0,0.0,0.0,-0.8875442733824457,1.0,16.244797580498016,1.0,0
32,2024-12-25 12:53:09.182940,6.807678107675822,6.824770701562055,58.143987351014374,58.161482150987304,58.14398735366071,58.161482199566564,58.144397145357736,0.0,0.0,0.0,0.0,-0.8850641768276546,1.0,16.247277677052807,1.0,0
33,2024-12-25 12:53:17.295222,6.7659269132969895,6.783022844087825,58.10223417431976,58.11973639859725,58.10223417696278,58.11973644717983,58.10264384822274,0.0,0.0,0.0,0.0,-0.8839545074579291,1.0,16.248387346422533,1.0,0
34,2024-12-25 12:53:25.388641,6.724176635432173,6.741274070971523,58.06048303374781,58.07798853973011,58.06048303638937,58.07798858831414,58.06089265523665,0.0,0.0,0.0,0.0,-0.8834677595359608,1.0,16.2488740943445,1.0,0
35,2024-12-25 12:53:33.523495,6.682426778132182,6.699524878902211,58.01873278057022,58.0362397659765,58.01873278321113,58.036239814561185,58.01914237801093,0.0,0.0,0.0,0.0,-0.8832475640474513,1.0,16.24909139252395,1.0,0
36,2024-12-25 12:53:41.801998,6.640677112695136,6.6577755035961514,57.97698293452713,57.99449057362844,57.97698293716774,57.99449062221342,57.9773925210025,0.0,0.0,0.0,0.0,-0.8831490555394339,1.0,16.24918990103197,1.0,0
37,2024-12-25 12:53:50.000192,6.615719517904399,6.626924570395028,57.93557202381794,57.95275590388169,57.93557202094708,57.95275594099871,57.93566390213991,0.0,0.0,0.0,0.0,0.9601566330275091,1.0,12.413743757520024,1.0,0
38,2024-12-25 12:53:56.931982,6.588943109607777,6.597892441296821,57.91055352750098,57.92190705566694,57.91055352749118,57.92190708991666,57.91070446920679,0.0,0.0,0.0,0.0,0.00327685654610832,1.0,11.454777918515902,1.0,0
39,2024-12-25 12:54:04.952162,6.561361475902608,6.569665535765419,57.883745887131845,57.89287581512245,57.88374588838822,57.89287584810277,57.88392721207125,0.0,0.0,0.0,0.0,-0.4201938355663515,1.0,11.030229427433369,1.0,0
40,2024-12-25 12:54:12.883500,6.533533737288284,6.541684727473667,57.85615419448659,57.86464917690947,57.856154196130575,57.864649209501835,57.85634531466152,0.0,0.0,0.0,0.0,-0.5498281348081946,1.0,10.900479235829152,1.0,0
41,2024-12-25 12:54:21.250687,6.5056464331873105,6.513763492718139,57.828323985344184,57.836668433028535,57.828323987081994,57.836668465526984,57.82851751192181,0.0,0.0,0.0,0.0,-0.5812088892298561,1.0,10.869066611007838,1.0,0
42,2024-12-25 12:54:29.334382,6.477745873968352,6.485855516271035,57.800436129926226,57.808747212594916,57.80043613168491,57.808747245072475,57.80063019353806,0.0,0.0,0.0,0.0,-0.5881914040628544,1.0,10.86208119886578,1.0,0
43,2024-12-25 12:54:37.669113,6.449842394175523,6.457950460289012,57.772535448730416,57.7808392392984,57.772535450493706,57.78083927177135,57.772729631167934,0.0,0.0,0.0,0.0,-0.5897298751733615,1.0,10.860539830446214,1.0,0
