iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
11,2025-12-25 20:05:04.879872,5.122970727114138,5.460927525997421,64.66847178614469,78.8832708703341,56.970954842274715,56.75643669826596,56.939731418601546,369.89165186636484,1.0,1.0,0.0,0.0,0.0,0,0
12,2025-12-25 20:05:10.857481,5.218615510290823,5.640212463639727,79.11569496038061,79.29912123710801,58.843071947611534,56.935977329056186,58.75681513866042,203.55150515680177,1.0,1.0,276.92201584775944,1.0,1.0,0,0
13,2025-12-25 20:05:16.189744,5.42883262586166,5.863551749558808,79.11913287772072,79.30161527597453,59.03211692581,57.15930710960656,58.946554854290774,202.55388961018542,1.0,1.0,275.54684891171485,1.0,1.0,0,0
14,2025-12-25 20:05:21.694730,5.638011378837428,6.0853880481326454,79.12257334253964,79.30409767972702,59.22017808105593,57.38113399259962,59.13530929335956,201.5609281091966,1.0,1.0,274.17066298415284,1.0,1.0,0,0
15,2025-12-25 20:05:27.671227,5.846150068053262,6.30572695384113,79.12600960853146,79.30657518555738,59.40725407507247,57.60146357202878,59.32307710781112,200.5699257770538,1.0,1.0,272.7961565874172,1.0,1.0,0,0
16,2025-12-25 20:05:33.368042,6.05324698529907,6.524574072096948,79.12944163001252,79.30904778777585,59.59334434719864,57.820301452691524,59.509857701430306,199.5808848896629,1.0,1.0,271.4233479949926,1.0,1.0,0,0
17,2025-12-25 20:05:40.268598,6.259300454221185,6.741934998475661,65.69121345042139,78.92529022353203,58.30362632870013,58.037467160779066,58.270733547494345,353.0839105871863,1.0,1.0,0.0,0.0,0.0,0,0
18,2025-12-25 20:05:46.295476,6.372805626058735,6.925546479264069,65.77490286243018,78.92870133127569,58.43378752377574,58.221063557687714,58.400304114678114,351.7194674897247,1.0,1.0,0.0,0.0,0.0,0,0
19,2025-12-25 20:05:52.353017,6.487678127832661,7.106329253168637,65.8597799230082,78.93211401233955,58.56581800615414,58.40183130317257,58.531727350523155,350.3543950641813,1.0,1.0,0.0,0.0,0.0,0,0
20,2025-12-25 20:05:58.059061,6.60394490431484,7.284255701368702,57.91801606203592,58.04755735515795,57.891105283981055,58.57916490485309,57.89040486628445,0.0,0.0,0.0,0.0,0.0,0.0,0,0
