iteration,timestamp,J1,J2
0,2025-12-25 20:54:54.109022,0.0,0.0
1,2025-12-25 20:54:58.576565,79.06969557875,79.26223090423727
2,2025-12-25 20:55:03.793994,79.0729189710524,79.26464436001697
3,2025-12-25 20:55:08.982306,79.07613902960097,79.26705185721693
4,2025-12-25 20:55:13.751019,79.07935569767388,79.26945339265839
5,2025-12-25 20:55:18.290100,79.08256891836321,79.27184896322274
6,2025-12-25 20:55:22.947614,79.08577863457698,79.27423856584927
7,2025-12-25 20:55:27.710083,79.08898478904173,79.27662219753311
8,2025-12-25 20:55:32.047834,79.09218732430509,79.27899985532301
9,2025-12-25 20:55:36.818071,79.09538618273848,79.28137153631887
10,2025-12-25 20:55:41.737936,79.09858130653947,79.2837372376691
11,2025-12-25 20:55:46.917223,79.10177263773497,79.28609695656826
12,2025-12-25 20:55:51.914222,79.11824067947065,79.30004182029862
13,2025-12-25 20:55:57.110772,79.1216710731946,79.30253851087754
14,2025-12-25 20:56:01.878188,79.12509748012822,79.30503013809945
15,2025-12-25 20:56:07.427044,79.12851987291745,79.30751670303746
16,2025-12-25 20:56:12.191872,79.1319382036558,79.30999820030937
17,2025-12-25 20:56:17.254872,79.13535242423934,79.31247462446052
18,2025-12-25 20:56:22.194051,79.13876248636602,79.31494596996086
19,2025-12-25 20:56:27.236347,78.66368596803117,70.34709639914799
20,2025-12-25 20:56:32.539135,78.68110775196801,70.4228971374752
21,2025-12-25 20:56:37.593134,58.49657524612108,58.54771879272826
22,2025-12-25 20:56:43.161681,58.46606595501807,58.510807293185906
23,2025-12-25 20:56:49.426553,58.434544797490666,58.473638944348295
24,2025-12-25 20:56:54.765696,58.35227027793579,58.382384978802136
25,2025-12-25 20:57:00.288384,58.30742462657058,58.33453176420592
26,2025-12-25 20:57:05.521184,58.261926582011064,58.28640032976541
27,2025-12-25 20:57:11.295822,58.215862490293496,58.238030230787956
28,2025-12-25 20:57:16.697991,58.1693071049118,58.189455112081305
29,2025-12-25 20:57:22.140957,58.122325297566135,58.14070374206103
30,2025-12-25 20:57:27.331245,58.07497339331386,58.091800776369766
31,2025-12-25 20:57:32.696730,58.02730028058867,58.042767364832876
32,2025-12-25 20:57:37.867479,57.97934836358357,57.993621653444116
33,2025-12-25 20:57:44.370158,57.93115439248332,57.94437920892565
34,2025-12-25 20:57:49.998684,57.882750192470006,57.895053382136915
35,2025-12-25 20:57:55.990562,57.834163305384486,57.845655620987856
36,2025-12-25 20:58:01.659024,57.87783218187409,57.889546407015374
37,2025-12-25 20:58:06.924770,57.847053468099105,57.857219714698296
38,2025-12-25 20:58:12.093272,57.81581548288118,57.82470193808272
39,2025-12-25 20:58:17.657660,57.78420265593649,57.79203027656707
40,2025-12-25 20:58:22.436226,57.75228393300494,57.75923458072209
41,2025-12-25 20:58:26.982284,57.72011553814324,57.72633881749305
42,2025-12-25 20:58:32.305447,57.68774324098072,57.69336222130559
43,2025-12-25 20:58:37.563174,57.655204244058915,57.660320220050345
44,2025-12-25 20:58:42.957094,57.62252875541915,57.6272251853118
45,2025-12-25 20:58:49.683185,57.58974129367207,57.59408704042582
46,2025-12-25 20:58:54.971748,57.556861764453394,57.56091375173058
47,2025-12-25 20:58:59.821697,57.52390634263788,57.52771172382182
48,2025-12-25 20:59:04.884919,57.31630332410263,57.32200346153303
49,2025-12-25 20:59:10.259933,57.255605955687145,57.2614391853224
50,2025-12-25 20:59:14.987341,57.1949242695111,57.20088022274622
51,2025-12-25 20:59:21.602312,57.13425721338379,57.14032623834111
52,2025-12-25 20:59:26.564384,57.073604412003185,57.07977716602212
53,2025-12-25 20:59:32.333778,57.012963530154515,57.01923212917241
54,2025-12-25 20:59:38.169420,78.48429356972574,69.39964890475036
55,2025-12-25 20:59:42.622158,78.50043584435703,69.47365141267845
56,2025-12-25 20:59:47.871233,78.51654577852015,69.54743839696064
57,2025-12-25 20:59:53.000285,78.53262320257518,69.62100738780094
58,2025-12-25 20:59:59.086213,78.54866795085786,69.69435598322018
59,2025-12-25 21:00:04.129116,78.56467986143036,69.76748184709746
60,2025-12-25 21:00:09.349097,78.45838724041761,69.21942777713484
61,2025-12-25 21:00:14.729343,78.47174366613119,69.28178261988282
62,2025-12-25 21:00:20.359950,57.91378334422937,57.91695564734765
63,2025-12-25 21:00:25.659692,57.818262358705134,57.821983269639084
64,2025-12-25 21:00:30.832814,57.72273665683488,57.72700600901383
65,2025-12-25 21:00:35.823275,57.62721271209469,57.6320264596285
66,2025-12-25 21:00:40.813246,57.53169636344587,57.53704681913421
67,2025-12-25 21:00:46.590509,57.436192263885744,57.442068901896036
68,2025-12-25 21:00:51.738412,57.34070408128537,57.34709419147284
69,2025-12-25 21:00:56.635738,57.24523466458129,57.252123887381565
70,2025-12-25 21:01:01.362894,57.14978618189238,57.15715894624745
71,2025-12-25 21:01:06.843001,57.05436023570703,57.062200117731614
72,2025-12-25 21:01:12.068835,56.90089470841647,56.90999967153609
73,2025-12-25 21:01:17.633720,56.80065326216568,56.81021237748582
74,2025-12-25 21:01:22.711598,56.700436786972176,56.71043253440819
75,2025-12-25 21:01:27.721344,56.60024542654061,56.61066032504506
76,2025-12-25 21:01:32.851260,78.33930666401483,68.6493658443427
77,2025-12-25 21:01:37.981847,78.3525615408643,68.7116965622402
78,2025-12-25 21:01:42.594041,78.36578226679605,68.77385301851135
79,2025-12-25 21:01:48.740176,78.37896872028057,68.83583248453587
80,2025-12-25 21:01:54.453164,78.39212077777728,68.89763231951521
81,2025-12-25 21:01:59.175109,78.40523832095695,68.95924997161487
82,2025-12-25 21:02:04.505088,78.4183212363755,69.02068297487617
83,2025-12-25 21:02:09.005392,78.43136941517176,69.0819289462861
84,2025-12-25 21:02:13.884711,78.29606506854358,68.34371792914988
85,2025-12-25 21:02:19.472919,57.060613264878,57.0735347982742
86,2025-12-25 21:02:24.455988,56.91554027165819,56.92923849740533
87,2025-12-25 21:02:30.029154,56.770490843524776,56.78494708083393
88,2025-12-25 21:02:34.777449,56.62546231608504,56.64066083679636
89,2025-12-25 21:02:40.034045,56.480456088180745,56.496380395880436
90,2025-12-25 21:02:45.147224,56.335473287533326,56.35210628884552
91,2025-12-25 21:02:50.677937,56.19051480366834,56.20783895734163
92,2025-12-25 21:02:56.599820,56.045581317024194,56.063578763574256
93,2025-12-25 21:03:01.435305,55.900673324770096,55.919325999074296
94,2025-12-25 21:03:05.923489,78.18047315153105,67.78426520136685
95,2025-12-25 21:03:11.359174,78.19039751007885,67.83240757909203
96,2025-12-25 21:03:16.891299,78.19514784552725,67.85148132112913
97,2025-12-25 21:03:22.206843,78.20488543217314,67.89882272245704
98,2025-12-25 21:03:27.358539,78.2145907290838,67.9460280998579
99,2025-12-25 21:03:32.043656,78.22426369800236,67.99309473110299
100,2025-12-25 21:03:37.385682,78.2339043060441,68.04002001347898
101,2025-12-25 21:03:42.443330,78.24351252534092,68.08680145857193
102,2025-12-25 21:03:47.545174,78.25308833262339,68.13343668729614
103,2025-12-25 21:03:52.864364,78.26263170884035,68.17992342522618
104,2025-12-25 21:03:59.260878,78.2721426388119,68.22625949819415
105,2025-12-25 21:04:05.363425,78.28162111091288,68.2724428281519
106,2025-12-25 21:04:11.811263,78.29106711678338,68.3184714292478
107,2025-12-25 21:04:17.092926,57.0332786840884,57.04712444191003
108,2025-12-25 21:04:22.247357,57.4385497878745,57.44557498080925
109,2025-12-25 21:04:27.317300,57.32867466285811,57.33630225341214
110,2025-12-25 21:04:32.327089,57.21881592115601,57.227032873725214
111,2025-12-25 21:04:38.208589,57.10897594191489,57.11776784891096
112,2025-12-25 21:04:43.240191,56.9991567574858,57.008508068595624
113,2025-12-25 21:04:48.730624,56.8893599338905,56.899254252631515
114,2025-12-25 21:04:53.707415,56.779586641607615,56.79000697382419
115,2025-12-25 21:04:59.075034,56.66983771609799,56.6807666779411
116,2025-12-25 21:05:04.991414,56.56011370962384,56.571533701268486
117,2025-12-25 21:05:10.598347,56.45041493572306,56.46230828605227
118,2025-12-25 21:05:16.400961,78.3030157005296,68.45664973927391
119,2025-12-25 21:05:22.199417,78.31557341731353,68.51609099051443
120,2025-12-25 21:05:27.046946,78.40424218305628,68.97665173708883
121,2025-12-25 21:05:32.652765,78.41837318933514,69.04259496786709
122,2025-12-25 21:05:37.748589,78.43246990252433,69.10834535885361
123,2025-12-25 21:05:43.049241,78.44653234356235,69.17390054040003
124,2025-12-25 21:05:48.429641,78.46056038202843,69.23925811657996
125,2025-12-25 21:05:54.312524,78.47455389168015,69.30441576663982
126,2025-12-25 21:05:59.608159,78.48851275021093,69.36937124265874
127,2025-12-25 21:06:04.846298,57.90431807231344,57.906190321250655
128,2025-12-25 21:06:10.251410,57.8164875513718,57.81884949428013
129,2025-12-25 21:06:15.631081,57.72863456901615,57.73149790305741
130,2025-12-25 21:06:21.236194,57.64077014618063,57.644139324697164
131,2025-12-25 21:06:27.154635,57.5529032173923,57.5567769212992
132,2025-12-25 21:06:32.847445,57.34335444932716,57.34937614972638
133,2025-12-25 21:06:38.252955,57.24485819130337,57.25141456677103
134,2025-12-25 21:06:43.153211,57.146380269785595,57.15345717655677
135,2025-12-25 21:06:47.904158,57.04792251159804,57.055504791970634
136,2025-12-25 21:06:52.632080,56.94948670577987,56.95755822761918
137,2025-12-25 21:06:56.782609,56.85107415709927,56.85961811856082
138,2025-12-25 21:07:01.947806,56.75268576693052,56.7616849469776
139,2025-12-25 21:07:06.452375,56.65432210143141,56.66375906529917
140,2025-12-25 21:07:12.061526,78.34885411219548,68.69658483632314
141,2025-12-25 21:07:17.306254,78.3622396351528,68.75949718271721
142,2025-12-25 21:07:22.161767,78.37559096873402,68.82223142708736
143,2025-12-25 21:07:27.473089,78.38890799343464,68.88478491653134
144,2025-12-25 21:07:32.488573,78.44227894406424,69.15584004692842
145,2025-12-25 21:07:37.438295,78.4563890568931,69.22155525013844
146,2025-12-25 21:07:42.558423,78.47046472303832,69.28707103048183
147,2025-12-25 21:07:47.627172,78.48450582861355,69.35238510873174
148,2025-12-25 21:07:52.692266,78.4985122517044,69.41749526898069
149,2025-12-25 21:07:57.850353,57.98665214548866,57.98823004796771
150,2025-12-25 21:08:02.914248,57.89970004183509,57.9017524180198
151,2025-12-25 21:08:07.708422,57.81271804821916,57.81526164867905
152,2025-12-25 21:08:13.130954,57.725718860523614,57.728761926935476
153,2025-12-25 21:08:18.616400,57.63871265756718,57.64225677009109
154,2025-12-25 21:08:23.447513,57.55170752018763,57.55574909461484
155,2025-12-25 21:08:28.500597,57.46470982279713,57.46924129400238
156,2025-12-25 21:08:34.327689,57.45926963329973,57.46316574734316
157,2025-12-25 21:08:39.795246,57.38016483965491,57.38449504208632
158,2025-12-25 21:08:44.583145,57.30107723891377,57.305828130982206
159,2025-12-25 21:08:50.057817,57.222009613949204,57.227166219202495
160,2025-12-25 21:08:54.846367,57.142963965254566,57.14851022872829
161,2025-12-25 21:08:59.799017,57.06394163238922,57.06986083487056
162,2025-12-25 21:09:04.968453,56.984943426104515,56.9912185103357
163,2025-12-25 21:09:09.626187,56.905969735848075,56.91258356226689
164,2025-12-25 21:09:14.953439,56.8270206173618,56.83395616324964
165,2025-12-25 21:09:20.656266,78.41501597140247,69.04334704399848
166,2025-12-25 21:09:25.660178,78.42983886396537,69.11218588382019
167,2025-12-25 21:09:30.685293,78.44462809697326,69.18082649506806
168,2025-12-25 21:09:36.350465,78.39967310566391,68.94006675360463
169,2025-12-25 21:09:42.064057,78.41312663780779,69.00312775035398
170,2025-12-25 21:09:47.708079,78.42654555260125,69.06600028878404
171,2025-12-25 21:09:53.201374,78.43992980766828,69.12868203286682
172,2025-12-25 21:09:58.149660,78.4532792910162,69.19117067785778
173,2025-12-25 21:10:03.413272,78.46659389464722,69.25346399468894
174,2025-12-25 21:10:09.180506,57.87537159370193,57.878241756172834
175,2025-12-25 21:10:13.778305,57.77922886072334,57.78264754250187
176,2025-12-25 21:10:18.413308,57.68307562303124,57.68704651208123
177,2025-12-25 21:10:23.616606,57.586919730059876,57.59144157770403
178,2025-12-25 21:10:28.724779,57.49076786251453,57.495835197302085
179,2025-12-25 21:10:33.763111,57.39462537975156,57.400229413821926
180,2025-12-25 21:10:38.941351,57.440916075786134,57.44509893895506
181,2025-12-25 21:10:44.749153,57.35766840777416,57.362310230647296
182,2025-12-25 21:10:49.341674,57.274437147800136,57.2795249731949
183,2025-12-25 21:10:54.626027,57.19122521578705,57.196744412245266
184,2025-12-25 21:11:00.307745,57.10803476189923,57.113969517183406
185,2025-12-25 21:11:05.565792,57.024867283232425,57.03120101585356
186,2025-12-25 21:11:10.814745,56.94172374858567,56.94843943564293
187,2025-12-25 21:11:15.898425,56.858604700852766,56.86568513835013
188,2025-12-25 21:11:21.305789,56.77551034113783,56.78293834960507
189,2025-12-25 21:11:27.297456,78.39904946838281,68.96091377051673
190,2025-12-25 21:11:32.548126,78.413570537078,69.02853869482183
191,2025-12-25 21:11:38.061667,78.42805783744447,69.09596975673406
192,2025-12-25 21:11:43.054425,78.4369872965552,69.13472175967989
193,2025-12-25 21:11:49.004454,78.45129016910775,69.20128411195141
194,2025-12-25 21:11:54.111142,78.46555879605764,69.26764675568683
195,2025-12-25 21:11:59.318525,78.4797930456965,69.3338073530112
196,2025-12-25 21:12:04.255025,78.49399279015554,69.39976363814914
197,2025-12-25 21:12:09.130303,78.5081579052851,69.46551341531115
198,2025-12-25 21:12:14.595191,58.03252729147314,58.033752763667046
199,2025-12-25 21:12:19.487010,57.947771340199616,57.94944380845622
200,2025-12-25 21:12:24.187347,57.86297592392541,57.865118749275595
201,2025-12-25 21:12:29.641363,57.77815599490922,57.7807823141652
202,2025-12-25 21:12:34.603146,57.69332344009005,57.69643849226463
203,2025-12-25 21:12:40.246837,57.608487672041676,57.6120905993763
204,2025-12-25 21:12:45.409966,57.28044819852963,57.28785061301601
205,2025-12-25 21:12:50.929296,57.17475413437206,57.182716504633184
206,2025-12-25 21:12:56.258148,57.069079993979756,57.07758726943649
207,2025-12-25 21:13:02.192367,56.96342757594663,56.97246371694961
208,2025-12-25 21:13:07.266495,56.857798229358565,56.867346490907806
209,2025-12-25 21:13:12.468155,56.752192924553306,56.76223609242175
210,2025-12-25 21:13:18.568284,56.6466123133094,56.65713290020329
211,2025-12-25 21:13:24.583453,56.54105678020439,56.552037188272614
212,2025-12-25 21:13:29.614158,78.32107361633942,68.55127875233923
213,2025-12-25 21:13:34.088131,78.33393055359804,68.611966713673
214,2025-12-25 21:13:39.597369,78.34675332001333,68.67248513172092
215,2025-12-25 21:13:44.852244,78.359541799061,68.73283126220691
216,2025-12-25 21:13:50.293219,78.41241052380217,69.00390997730182
217,2025-12-25 21:13:56.468853,78.4260034905175,69.0675171079383
218,2025-12-25 21:14:01.881559,78.43956188682364,69.13093304638376
219,2025-12-25 21:14:07.405909,78.45308560739664,69.19415545092176
220,2025-12-25 21:14:12.942274,78.46657453851356,69.25718204749086
221,2025-12-25 21:14:19.254601,57.82711940437456,57.82996767760312
222,2025-12-25 21:14:24.668142,57.733029259820654,57.73641597806064
223,2025-12-25 21:14:30.269572,57.63893051960763,57.64285809038704
224,2025-12-25 21:14:36.482949,57.54483066330824,57.54929686338868
225,2025-12-25 21:14:41.946701,57.45073616749453,57.455734698792234
226,2025-12-25 21:14:47.583547,57.35665219623402,57.36217358170999
227,2025-12-25 21:14:52.565713,57.26258282664527,57.268615137458426
228,2025-12-25 21:14:57.816005,57.14320903312572,57.150090517045
229,2025-12-25 21:15:03.013229,57.047004481663045,57.054376757083446
230,2025-12-25 21:15:08.250305,56.95082217565112,56.95866896560094
231,2025-12-25 21:15:13.875699,56.85466333260466,56.86296774731743
232,2025-12-25 21:15:19.263338,56.75852877647719,56.76727355715538
233,2025-12-25 21:15:24.905384,56.66241899983251,56.67158672104892
234,2025-12-25 21:15:30.373895,78.35512195594252,68.73039792911098
235,2025-12-25 21:15:36.022178,78.36867818487262,68.79403052333875
236,2025-12-25 21:15:42.192598,78.3822002625968,68.85748282910286
237,2025-12-25 21:15:47.350593,78.39568806936597,68.9207522058346
238,2025-12-25 21:15:53.507943,78.40914147901896,68.98383609325921
239,2025-12-25 21:15:58.659996,78.42256037025479,69.04673201522067
240,2025-12-25 21:16:03.397592,78.49814847098543,69.42995165297364
241,2025-12-25 21:16:08.862091,78.5128313633663,69.49785474922265
242,2025-12-25 21:16:13.461434,78.52747986473015,69.56554608706365
243,2025-12-25 21:16:19.103761,58.0710376873359,58.07174524087409
244,2025-12-25 21:16:24.293982,57.992652206651336,57.99374191064891
245,2025-12-25 21:16:29.779431,57.914210277249786,57.915717546869104
246,2025-12-25 21:16:35.265407,57.835731471391476,57.83767790584403
247,2025-12-25 21:16:40.545191,57.75723108239876,57.759627876230624
248,2025-12-25 21:16:47.100987,57.67872104998183,57.68157151546637
249,2025-12-25 21:16:51.960576,57.60021065987274,57.603512140075644
250,2025-12-25 21:16:57.510779,57.52170708397307,57.52545242693954
251,2025-12-25 21:17:02.051186,57.44321580360745,57.44739451016115
252,2025-12-25 21:17:07.444386,57.47752075548884,57.480561307198606
253,2025-12-25 21:17:12.439494,57.41129178310599,57.414688740968685
