iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,T1,T2,P1,J1,J2
0.0,2025-12-25 20:04:07.641325,False,1.0,1,1,0.0,0.0,1.0,0.0,0.0
1.0,2025-12-25 20:04:12.154161,False,1.0,1,1,3.252293348312378,3.2810044288635254,1.0,79.06969451904297,79.2622299194336
2.0,2025-12-25 20:04:16.631546,False,1.0,1,1,3.4527666568756104,3.5094101428985596,1.0,79.07292175292969,79.26464080810547
3.0,2025-12-25 20:04:22.127996,False,1.0,1,1,3.652416467666626,3.736224412918091,1.0,79.07614135742188,79.26705169677734
4.0,2025-12-25 20:04:27.799638,False,1.0,1,0,3.8512396812438965,3.9614546298980713,1.0,79.07935333251953,79.26945495605469
5.0,2025-12-25 20:04:33.451575,False,1.0,1,1,4.049232482910156,4.185107707977295,0.0,63.9671630859375,78.85856628417969
6.0,2025-12-25 20:04:39.265970,False,1.0,1,1,4.143534183502197,4.3763203620910645,1.0,79.08446502685547,79.2738037109375
7.0,2025-12-25 20:04:44.869552,False,1.0,1,1,4.3411431312561035,4.596304416656494,1.0,79.08767700195312,79.27619171142578
8.0,2025-12-25 20:04:50.811390,False,1.0,1,1,4.537894248962402,4.814749717712402,1.0,79.09088897705078,79.27855682373047
9.0,2025-12-25 20:04:56.419677,False,1.0,1,1,4.7337846755981445,5.03166389465332,1.0,79.0940933227539,79.28092956542969
10.0,2025-12-25 20:05:02.636105,False,1.0,1,0,4.928811073303223,5.247054100036621,1.0,79.09729766845703,79.28328704833984
11.0,2025-12-25 20:05:08.703929,False,1.0,1,1,5.1229705810546875,5.460927486419678,0.0,64.66847229003906,78.88327026367188
12.0,2025-12-25 20:05:14.203488,False,1.0,1,1,5.218615531921387,5.640212535858154,1.0,79.11569213867188,79.29911804199219
13.0,2025-12-25 20:05:19.711195,False,1.0,1,1,5.428832530975342,5.863551616668701,1.0,79.11913299560547,79.3016128540039
14.0,2025-12-25 20:05:25.684129,False,1.0,1,1,5.638011455535889,6.08538818359375,1.0,79.12257385253906,79.3041000366211
15.0,2025-12-25 20:05:31.412051,False,1.0,1,1,5.846149921417236,6.305727005004883,1.0,79.12600708007812,79.30657196044922
16.0,2025-12-25 20:05:37.674954,False,1.0,1,0,6.053246974945068,6.524574279785156,1.0,79.12944030761719,79.30905151367188
17.0,2025-12-25 20:05:44.341539,False,1.0,1,0,6.259300231933594,6.741934776306152,0.0,65.69121551513672,78.92529296875
18.0,2025-12-25 20:05:50.404840,False,1.0,1,0,6.372805595397949,6.925546646118164,0.0,65.77490234375,78.92870330810547
19.0,2025-12-25 20:05:56.337515,False,1.0,0,0,6.487678050994873,7.106329441070557,0.0,65.85977935791016,78.93211364746094
20.0,2025-12-25 20:06:01.939420,False,0.0,0,0,6.603944778442383,7.284255504608154,0.0,57.91801452636719,58.04755783081055
21.0,2025-12-25 20:06:07.592072,False,0.0,0,0,6.593562602996826,7.213587284088135,0.0,57.89848709106445,58.013465881347656
22.0,2025-12-25 20:06:13.598182,False,0.0,0,0,6.580923557281494,7.145174980163574,0.0,57.87705612182617,57.97887420654297
23.0,2025-12-25 20:06:19.664130,False,0.0,0,0,6.566135883331299,7.078912258148193,0.0,57.85386657714844,57.943824768066406
24.0,2025-12-25 20:06:25.534591,False,0.0,0,0,6.549307346343994,7.014689922332764,0.0,57.78267288208008,57.853023529052734
25.0,2025-12-25 20:06:30.850204,False,0.0,0,0,6.518233776092529,6.945984840393066,0.0,57.74449157714844,57.80741500854492
26.0,2025-12-25 20:06:36.207284,False,0.0,0,0,6.485692977905273,6.87874698638916,0.0,57.7053108215332,57.76155090332031
27.0,2025-12-25 20:06:42.402687,False,0.0,0,0,6.451770305633545,6.812891483306885,0.0,57.665218353271484,57.7154541015625
28.0,2025-12-25 20:06:47.849736,False,0.0,0,0,6.416547775268555,6.748335361480713,0.0,57.62428283691406,57.66913986206055
29.0,2025-12-25 20:06:53.512821,False,0.0,0,0,6.3801069259643555,6.68499755859375,0.0,57.582584381103516,57.62262725830078
30.0,2025-12-25 20:06:59.179549,False,0.0,0,0,6.342526912689209,6.622799396514893,0.0,57.53994369506836,57.57574462890625
31.0,2025-12-25 20:07:05.446646,False,0.0,0,0,6.303888320922852,6.561659336090088,0.0,57.4963493347168,57.52843475341797
32.0,2025-12-25 20:07:11.074037,False,0.0,0,0,6.2642717361450195,6.501497745513916,0.0,57.451934814453125,57.48076629638672
33.0,2025-12-25 20:07:16.217474,False,0.0,0,0,6.223752021789551,6.442238807678223,0.0,57.40681076049805,57.432796478271484
34.0,2025-12-25 20:07:23.180341,False,0.0,0,0,6.182400226593018,6.383811950683594,0.0,57.3610725402832,57.384559631347656
35.0,2025-12-25 20:07:28.800450,False,0.0,0,0,6.140283107757568,6.326150894165039,0.0,57.314796447753906,57.33610153198242
36.0,2025-12-25 20:07:34.694642,False,0.0,0,1,6.097462177276611,6.269193172454834,0.0,57.35388946533203,57.37779998779297
37.0,2025-12-25 20:07:41.146010,False,0.0,0,0,6.073948860168457,6.226016521453857,1.0,78.60659790039062,70.02532196044922
38.0,2025-12-25 20:07:46.913519,False,0.0,0,0,6.2796430587768555,6.403619766235352,0.0,57.52641677856445,57.54191207885742
39.0,2025-12-25 20:07:53.074820,False,0.0,0,0,6.253271579742432,6.3633012771606445,0.0,57.49678039550781,57.510074615478516
40.0,2025-12-25 20:07:59.037783,False,0.0,0,0,6.2260355949401855,6.32384729385376,0.0,57.46647644042969,57.47794723510742
41.0,2025-12-25 20:08:04.235966,False,0.0,0,0,6.198031425476074,6.28516149520874,0.0,57.43562316894531,57.445587158203125
42.0,2025-12-25 20:08:10.313330,False,0.0,0,0,6.169346332550049,6.247156620025635,0.0,57.404327392578125,57.413047790527344
43.0,2025-12-25 20:08:15.857673,False,0.0,0,0,6.140059471130371,6.209753036499023,0.0,57.37266540527344,57.38035583496094
44.0,2025-12-25 20:08:22.177753,False,0.0,0,0,6.110243320465088,6.172879219055176,0.0,57.34070587158203,57.34754180908203
