,J1,J2,J3,J4,J5
50,-0.0001234635659262201,-0.00012348568237364853,-0.0001235220509078627,-0.0001244295572417181,-0.00012352470473544374
51,-0.000123260936093966,-0.00012328325339083733,-0.00012331918410600216,-0.0001242285907463897,-0.00012332182892476284
52,-0.00012305833167541302,-0.0001230808332470823,-0.00012311636350829878,-0.00012402750803331753,-0.00012311900011613086
53,-0.0001228557506645142,-0.0001228784212548384,-0.00012291358524978756,-0.00012382631911858955,-0.00012291621435404188
54,-0.00012265319120235152,-0.00012267601677748985,-0.00012271084576542023,-0.0001236250331581551,-0.00012271346802251835
55,-0.0001224506515601595,-0.00012247361922086198,-0.0001225081418013829,-0.00012342365850158353,-0.00012251075781115838
56,-0.00012224813014356933,-0.00012227122803605051,-0.00012230547035850802,-0.0001232222027826052,-0.00012230808066986508
57,-0.00012204562547563247,-0.00012206884271093344,-0.0001221028287092507,-0.00012302067297287,-0.00012210543380318794
58,-0.00019543739177418722,-0.00016442457254483843,-0.00012884657028169877,-0.00012282071619823697,-0.00012858280082110872
59,-0.00019549169908515378,-0.00016467528499072403,-0.00012939075672198207,-0.00012336314339755238,-0.00012912961189518902
60,-0.00019513479730976112,-0.00016280552131632653,-0.0001282937371846915,-0.00012390346182838296,-0.00012804796583061327
61,-0.0001951804277912461,-0.00016302027112288897,-0.00012875084511437262,-0.00012435713216877087,-0.00012850722675518343
62,-0.0001952259409430318,-0.00016323440426947334,-0.00012920529444043982,-0.00012480938028691546,-0.00012896380047087153
63,-0.0001233356775895561,-0.00012335571185357385,-0.00012351706933012242,-0.00012525871597001025,-0.00012352494135844827
64,-0.00012301633152783818,-0.0001230380729916075,-0.00012319424483384412,-0.00012495877578445503,-0.00012320198602489897
65,-0.00012269704999632314,-0.00012272044963477168,-0.00012287173132294994,-0.00012465780869523767,-0.00012287935090058878
66,-0.00012237783979972605,-0.00012240284481618679,-0.00012254951579916074,-0.000124355879835224,-0.00012255702224593488
67,-0.00019515120693828713,-0.00016287774558651602,-0.00012846356914593903,-0.00012405454812079332,-0.00012821878386157337
68,-0.0001951967926105108,-0.00016309241140506858,-0.00012891956037801243,-0.0001245080463485737,-0.00012867691097630417
69,-0.00019524226398332623,-0.00016330645560369894,-0.0001293729053709647,-0.0001249601055248195,-0.0001291323636823738
70,-0.00012350875259597936,-0.00012352686932522782,-0.00012369425766658892,-0.0001254092404277918,-0.0001237022843218094
71,-0.00012318934633587518,-0.0001232092179176869,-0.00012337107818204517,-0.00012511050390438648,-0.0001233789629879567
72,-0.00012267585856857055,-0.00012270013320284323,-0.00012287007973229235,-0.00012481061680409743,-0.0001228785356023465
73,-0.00012234031106865662,-0.00012236631461552238,-0.0001225311928827999,-0.00012449405402648273,-0.0001225395230764148
74,-0.00019510784338044762,-0.00016263850683252202,-0.0001283850197020564,-0.00012417802940139055,-0.0001281428295691045
75,-0.00019515218861959505,-0.00016284803996621743,-0.00012882845843882994,-0.00012461924445911988,-0.00012858833308562856
76,-0.000195196419228294,-0.00016305696329840856,-0.00012926931861015234,-0.0001250590549161301,-0.00012903123056319464
77,-0.00012341270674973314,-0.0001234325198109948,-0.0001236162291045506,-0.00012549598012299821,-0.00012362503470583874
78,-0.00012307701043451914,-0.00012309866744625642,-0.00012327655818211158,-0.00012518203883854273,-0.00012328521438524255
79,-0.0001227413682118389,-0.0001227648261048736,-0.0001229372147744312,-0.00012486698365758885,-0.00012294573178223356
80,-0.00012240578915841848,-0.00012243099962068793,-0.00012259818648872268,-0.0001245508827461228,-0.00012260657372310967
81,-0.00019511395390428286,-0.00016266590520168877,-0.00012844776693373027,-0.00012423529036332593,-0.0001282059249701817
82,-0.00019515828317144822,-0.0001628753963640145,-0.00012889080224851135,-0.00012467641405962017,-0.00012865101919653065
83,-0.0001230107420923937,-0.0001230323032835562,-0.00012321049156230001,-0.0001251146575704043,-0.00012321915535389082
84,-0.00012051571965669638,-0.00012056917120046417,-0.00012088970915967279,-0.00012479913785234497,-0.00012090605290271172
85,-0.00012003083285402338,-0.0001200866499431208,-0.00012040049516367279,-0.00012433934787461353,-0.00012041667595571236
86,-0.0001945796766005109,-0.0001597666751019533,-0.00012637606698316704,-0.00012388026239568806,-0.00012615064401346965
87,-0.00019461287577853093,-0.00015992868143709037,-0.00012671008864525657,-0.00012421173395046558,-0.0001264861727516098
88,-0.00019464596646307842,-0.0001600902143507954,-0.00012704212680503702,-0.00012454217204868278,-0.00012681969479765075
89,-0.0001946789485296596,-0.00016025126523602328,-0.00012737219667338095,-0.0001248715571335035,-0.00012715122599625151
90,-0.00012093601342679006,-0.00012098750031207528,-0.00012131368230855477,-0.0001251982775767635,-0.0001213301645678655
91,-0.00012045106247588365,-0.00012050496161428947,-0.00012082422476882959,-0.00012473926002615432,-0.00012084053736579614
92,-0.00011996619074827186,-0.00012002244452182786,-0.000120335066048054,-0.0001242792959382566,-0.00012035121718794616
93,-0.00019457356816477534,-0.0001597372038100131,-0.00012631417042293646,-0.00012382004517690336,-0.00012608845196166786
94,-0.00019460678734384783,-0.0001598992846037295,-0.0001266485713269372,-0.00012415167735125188,-0.00012642436493278674
95,-0.00019463989805491245,-0.00016006089403016065,-0.00012698098553706182,-0.00012448228074321443,-0.0001267582678504753
96,-0.00019465571457258468,-0.0001601253335506303,-0.0001272578833670801,-0.0001248118231654982,-0.00012703729602883795
97,-0.00012077894043089509,-0.00012083205673846242,-0.00012116326212560535,-0.00012513474343708086,-0.00012118004123460091
98,-0.0001202886684672133,-0.00012034421004032736,-0.00012066848630347903,-0.00012467044661588434,-0.00012068509584067132
99,-0.00011979847650491205,-0.00011985638530968012,-0.00012017400756870744,-0.00012420521154189236,-0.00012019045566014297
100,-0.00019454843045778436,-0.00015960120029175572,-0.00012618028743499376,-0.00012374070773286228,-0.0001259548720480974
101,-0.00019458126931128417,-0.00015976161432355363,-0.00012651108055542927,-0.00012406861363954967,-0.00012628716135703932
102,-0.00019461400022021568,-0.00015992156313918927,-0.0001268399064256487,-0.0001243955064726987,-0.00012661746011279895
103,-0.00019464662305442636,-0.00016008103797317095,-0.0001271667803131127,-0.00012472136631330955,-0.00012694578426189373
104,-0.00012068400113601607,-0.00012073755937375584,-0.00012106749337414957,-0.000125044569174384,-0.00012108424125784944
