iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,T41MiM
100,2024-12-24 16:08:52.483865,7.055923366045494,7.032813484259222,58.33120951455444,58.30580839123002,58.37871565147421,58.35748473867775,58.38053040615108,0.0,0.0,0.0,0.0,0
101,2024-12-24 16:08:59.479515,7.324758705439892,7.145312227419986,77.03810524899227,69.06043221631316,58.459824154866084,58.328028280709866,58.352001591677386,0.0,0.0,411.4208154068812,1.0,1
102,2024-12-24 16:09:07.012665,7.5854227402395065,7.263453327132817,77.05078815462545,69.11325423027229,58.72260892114874,58.44054740085301,58.620777024407296,0.0,0.0,409.05961183600107,1.0,1
103,2024-12-24 16:09:14.040926,7.839694216231682,7.385479100890561,77.06336542594794,69.16828567076752,58.97865029687136,58.55870301986543,58.881395290305186,0.0,0.0,406.7180744298758,1.0,1
104,2024-12-24 16:09:20.879886,8.088468463257167,7.510513231562557,77.07584734664934,69.22482802453709,59.22902520417923,58.680740315520126,59.13562818640941,0.0,0.0,404.3942886520795,1.0,1
105,2024-12-24 16:09:27.640288,8.332313057348463,7.638005605963994,77.0882416894937,69.28253469740037,59.47436690024584,58.80578403737635,59.3843684477818,0.0,0.0,402.0868074305725,1.0,1
106,2024-12-24 16:09:34.728444,8.571637191147323,7.7675632671561115,77.10055460876373,69.34118894835323,59.71511536626823,58.933284592408555,59.62818238713975,0.0,0.0,399.794485009427,1.0,1
107,2024-12-24 16:09:41.361797,8.806755893429818,7.898886450819386,77.11279097533503,69.40063629715007,59.95160351292118,59.06284933550267,59.86747844185795,0.0,0.0,397.5164145673411,1.0,1
108,2024-12-24 16:09:48.256164,9.037922746322343,8.03173604962279,77.12495474947364,69.46075909113304,60.18409632067458,59.19417870770043,60.10257114518471,0.0,0.0,395.2518588131623,1.0,1
109,2024-12-24 16:09:55.078547,9.268814537997358,8.174139729453291,77.15308534995718,69.73797216812179,60.415081815910774,59.32706842042065,60.333736202456905,0.0,0.0,390.01472497067937,1.0,1
110,2024-12-24 16:10:01.501689,9.49620244364533,8.31759019864455,77.1654079138324,69.80198252149252,60.643679472697464,59.469476639263846,60.5646052799251,0.0,0.0,387.7206069928285,1.0,1
111,2024-12-24 16:10:08.211598,9.720232796805346,8.461953386650846,77.17766897764753,69.86637974632461,60.868897126741956,59.612931089208175,60.79197169793341,0.0,0.0,385.43793861223224,1.0,1
112,2024-12-24 16:10:15.236209,9.941034988850298,8.607111771659287,77.18987051455207,69.93111207125116,61.09086682829422,59.75729776293148,61.01598164860225,0.0,0.0,383.1663524834326,1.0,1
113,2024-12-24 16:10:21.993717,10.158724723330165,8.752961171213663,77.20201427210561,69.99613413503545,61.309706380263535,59.90245919021936,61.23676440856727,0.0,0.0,380.90552325955525,1.0,1
114,2024-12-24 16:10:28.829094,10.373406443512325,8.899408351590665,77.21410181275715,70.0614057414422,61.525521914304065,60.048311231506936,61.45443558660714,0.0,0.0,378.6551600561249,1.0,1
115,2024-12-24 16:10:35.636617,10.585175184321182,9.04636920673648,77.22613454414626,70.1268909309887,61.73840984518272,60.19476068928498,61.66909954649916,0.0,0.0,376.41500080988556,1.0,1
116,2024-12-24 16:10:48.725454,10.668000000000001,9.250138329969854,77.81740786413042,70.56496204408111,72.66284439248675,60.40071662603968,72.66284439248669,0.0,0.0,266.3363867377547,1.0,1
117,2024-12-24 16:10:55.192971,10.668000000000001,9.489808611500681,77.82322796792837,70.62622805788307,72.70791558281013,60.54600998991377,72.70791558281012,0.0,0.0,265.25284561019095,1.0,1
118,2024-12-24 16:11:01.613838,10.668000000000001,9.72755566339883,77.83287302809077,70.72733296443417,72.78229989354647,60.78566736171043,72.78229989354644,0.0,0.0,263.45720420470883,1.0,1
119,2024-12-24 16:11:08.630662,10.668000000000001,9.963383559682217,77.84249775867379,70.82768751421828,72.85614944579041,61.02340161961073,72.85614944579036,0.0,0.0,261.665347600347,1.0,1
120,2024-12-24 16:11:15.709138,10.668000000000001,10.197296402373102,77.85210202347295,70.9272931320923,72.92946522392006,61.259216837360334,72.92946522392005,0.0,0.0,259.8773011545861,1.0,1
121,2024-12-24 16:11:22.689279,10.668000000000001,10.43486110453319,77.87846389639115,71.15504264175175,73.10587891940817,61.49315393315471,73.10587891940813,0.0,0.0,254.9694550923623,1.0,1
122,2024-12-24 16:11:35.919001,10.668000000000001,10.668000000000001,79.06987227988444,78.9425671287671,78.9733637312785,78.89249367243652,78.97336373127844,0.0,0.0,33.16241727036724,1.0,1
123,2024-12-24 16:11:42.636395,10.668000000000001,10.668000000000001,79.06987230193927,78.94256716365469,78.97336379052342,78.89249371816476,78.97336379052338,0.0,0.0,33.16241316437328,1.0,1
124,2024-12-24 16:11:49.529702,10.668000000000001,10.668000000000001,79.06987235217775,78.94256724312552,78.97336392547757,78.89249382233074,78.97336392547751,0.0,0.0,33.162403811367085,1.0,1
125,2024-12-24 16:11:56.399829,10.668000000000001,10.668000000000001,79.06987226367492,78.94256710312544,78.97336368773517,78.8924936388264,78.9733636877351,0.0,0.0,33.16242028812903,1.0,1
