iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,ScadaCommand_V2,T41,T42,P1,J2,J13,V1F,V2F
48.0,2025-01-02 13:34:58.377004,0.0,0,0,,,6.518789768218994,6.526897430419922,0.0,57.84148406982422,57.84978485107422,-0.590147078037262,10.860128402709961
49.0,2025-01-02 13:35:08.885236,0.0,0,0,,,6.518789768218994,6.48096227645874,0.0,57.81279373168945,57.82185745239258,-3.542029857635498,17.231426239013672
50.0,2025-01-02 13:35:19.569880,0.0,0,0,,,6.463476657867432,6.43209171295166,0.0,57.75771713256836,57.775917053222656,-1.9951101541519165,18.77891731262207
51.0,2025-01-02 13:35:29.822124,0.0,0,0,,,6.411098957061768,6.382305145263672,0.0,57.705406188964844,57.72704315185547,-1.5121229887008667,19.26213264465332
52.0,2025-01-02 13:35:40.409920,0.0,0,0,,,6.359637260437012,6.332104206085205,0.0,57.65397262573242,57.6772575378418,-1.2937499284744263,19.480623245239258
53.0,2025-01-02 13:35:50.632041,0.0,0,0,,,6.257747650146484,6.281698703765869,0.0,57.60293960571289,57.62705612182617,-1.1860569715499878,19.588376998901367
54.0,2025-01-02 13:36:00.724209,0.0,0,0,,,6.207009315490723,6.231188774108887,0.0,57.55210494995117,57.5766487121582,-1.1310428380966187,19.643417358398438
55.0,2025-01-02 13:36:11.785660,0.0,0,0,,,6.207009315490723,6.180624961853027,0.0,57.50136947631836,57.52613830566406,-1.1024754047393799,19.672000885009766
56.0,2025-01-02 13:36:22.590134,0.0,0,0,,,6.105669975280762,6.130032539367676,0.0,57.450687408447266,57.4755744934082,-1.087496280670166,19.686994552612305
57.0,2025-01-02 13:36:33.308152,0.0,0,0,,,6.055028915405273,6.07942533493042,0.0,57.4000358581543,57.424983978271484,-1.0796416997909546,19.694854736328125
58.0,2025-01-02 13:36:44.817220,0.0,0,0,,,6.004396438598633,6.028810024261475,0.0,57.349395751953125,57.37437438964844,-1.0754956007003784,19.698997497558594
59.0,2025-01-02 13:36:55.401892,0.0,0,1,,,5.9537672996521,5.9781904220581055,0.0,57.298763275146484,57.323760986328125,-1.0733081102371216,19.701190948486328
60.0,2025-01-02 13:37:05.948187,0.0,0,1,,,5.9537672996521,5.976517677307129,1.0,57.51525115966797,57.273189544677734,441.04095458984375,-6.1030802726745605
61.0,2025-01-02 13:37:16.543083,0.0,0,1,,,6.355401039123535,5.975624084472656,1.0,57.857295989990234,57.27151870727539,409.0686340332031,-10.467681884765625
62.0,2025-01-02 13:37:27.238857,0.0,0,1,,,6.681982517242432,5.9899444580078125,1.0,58.15549850463867,57.2706298828125,388.07177734375,-18.489194869995117
63.0,2025-01-02 13:37:37.929124,0.0,0,0,,,7.252680778503418,6.015676498413086,1.0,58.430816650390625,57.28495788574219,370.07562255859375,-24.506155014038086
64.0,2025-01-02 13:37:48.607375,0.0,0,0,,,7.252680778503418,6.043913841247559,0.0,58.51797103881836,57.310691833496094,-58.329917907714844,-25.827014923095703
65.0,2025-01-02 13:37:59.107072,0.0,0,0,,,6.888011455535889,6.063252925872803,0.0,58.33475112915039,57.33892059326172,-53.66710662841797,-21.13536834716797
66.0,2025-01-02 13:38:09.850693,0.0,0,0,,,6.888011455535889,6.073632717132568,0.0,58.16024398803711,57.35825729370117,-48.94331741333008,-16.41144561767578
67.0,2025-01-02 13:38:20.166379,0.0,0,0,,,6.719085693359375,6.073632717132568,0.0,57.994510650634766,57.36863327026367,-44.169761657714844,-11.637899398803711
68.0,2025-01-02 13:38:30.817945,0.0,0,0,,,6.559213161468506,6.067085266113281,0.0,57.837650299072266,57.369956970214844,-39.31930160522461,-6.7875518798828125
69.0,2025-01-02 13:38:41.841216,0.0,0,0,,,6.40854024887085,6.049778938293457,0.0,57.68982696533203,57.36207962036133,-34.34564971923828,-1.8143644332885742
70.0,2025-01-02 13:38:52.214279,0.0,0,0,,,6.267300605773926,6.0226359367370605,0.0,57.551292419433594,57.344764709472656,-29.1596736907959,3.3694863319396973
71.0,2025-01-02 13:39:02.768748,0.0,0,0,,,6.135897159576416,5.984852313995361,0.0,57.42250061035156,57.31760787963867,-23.549545288085938,8.97966194152832
72.0,2025-01-02 13:39:13.184161,0.0,0,0,,,6.015134334564209,5.934009075164795,0.0,57.30449295043945,57.27980422973633,-16.66431427001953,15.865253448486328
73.0,2025-01-02 13:39:23.898294,0.0,0,1,,,5.817816734313965,5.856990814208984,0.0,57.200103759765625,57.22890090942383,-5.082233428955078,29.108476638793945
74.0,2025-01-02 13:39:34.523469,0.0,0,1,,,5.817816734313965,5.827713489532471,1.0,57.3698844909668,57.151973724365234,444.47064208984375,3.9370200634002686
75.0,2025-01-02 13:39:45.249867,0.0,0,1,,,6.188959121704102,5.823029041290283,1.0,57.697235107421875,57.122711181640625,416.1795959472656,-9.02698040008545
76.0,2025-01-02 13:39:56.123102,0.0,0,1,,,6.5190958976745605,5.833952903747559,1.0,57.99773025512695,57.1180305480957,394.5097351074219,-17.25634002685547
77.0,2025-01-02 13:40:06.906103,0.0,0,0,,,7.094772815704346,5.856541156768799,1.0,58.27509689331055,57.128963470458984,376.2913818359375,-23.406272888183594
78.0,2025-01-02 13:40:17.181215,0.0,0,0,,,7.094772815704346,5.8816351890563965,0.0,58.35913848876953,57.151554107666016,-58.88607406616211,-24.72769546508789
79.0,2025-01-02 13:40:27.907036,0.0,0,0,,,6.720292568206787,5.897756099700928,0.0,58.171058654785156,57.176639556884766,-54.187744140625,-19.99674415588379
80.0,2025-01-02 13:40:38.835276,0.0,0,0,,,6.546581268310547,5.904835224151611,0.0,57.991764068603516,57.19275665283203,-49.42026901245117,-15.229093551635742
81.0,2025-01-02 13:40:49.461235,0.0,0,0,,,6.546581268310547,5.904835224151611,0.0,57.821327209472656,57.19983673095703,-44.597007751464844,-10.405874252319336
82.0,2025-01-02 13:41:00.078973,0.0,0,0,,,6.382017612457275,5.891387939453125,0.0,57.65986633300781,57.19776153564453,-39.68840026855469,-5.49744987487793
83.0,2025-01-02 13:41:10.279216,0.0,0,0,,,6.22676420211792,5.8704400062561035,0.0,57.50754928588867,57.186378479003906,-34.64323425292969,-0.4530782997608185
84.0,2025-01-02 13:41:20.465097,0.0,0,0,,,6.081079483032227,5.839474678039551,0.0,57.364662170410156,57.16542053222656,-29.361440658569336,4.827053070068359
85.0,2025-01-02 13:41:30.865993,0.0,0,1,,,5.776066303253174,5.767933368682861,0.0,57.226566314697266,57.13438034057617,-28.329586029052734,21.096492767333984
86.0,2025-01-02 13:41:41.510880,0.0,0,1,,,5.776066303253174,5.767933368682861,1.0,57.30708312988281,57.06287384033203,441.1314392089844,12.896020889282227
87.0,2025-01-02 13:41:52.164040,0.0,0,1,,,6.102812767028809,5.67905855178833,1.0,57.595211029052734,57.00692367553711,415.4631042480469,0.71690434217453
88.0,2025-01-02 13:42:03.010692,0.0,0,1,,,6.392012119293213,5.661186695098877,1.0,57.85769271850586,56.97405242919922,395.4228820800781,-7.198040008544922
89.0,2025-01-02 13:42:13.840147,0.0,0,1,,,6.891851425170898,5.654644966125488,1.0,58.098670959472656,56.95618438720703,378.96405029296875,-13.171436309814453
90.0,2025-01-02 13:42:24.344259,0.0,0,0,,,7.111079216003418,5.657160758972168,1.0,58.32085418701172,56.94964599609375,364.52093505859375,-17.947072982788086
91.0,2025-01-02 13:42:35.556340,0.0,0,0,,,7.111079216003418,5.661159038543701,0.0,58.362632751464844,56.9521598815918,-68.15267944335938,-18.72879981994629
92.0,2025-01-02 13:42:46.189862,0.0,0,0,,,6.63087272644043,5.6555914878845215,0.0,58.1223258972168,56.95615768432617,-63.11428451538086,-13.685190200805664
93.0,2025-01-02 13:42:56.613622,0.0,0,0,,,6.4052348136901855,5.640341758728027,0.0,57.89140319824219,56.95058822631836,-58.00918197631836,-8.58025074005127
94.0,2025-01-02 13:43:07.161585,0.0,0,0,,,6.4052348136901855,5.615245342254639,0.0,57.66998291015625,56.93532943725586,-52.817447662353516,-3.388927459716797
95.0,2025-01-02 13:43:17.934064,0.0,0,1,,,5.983738899230957,5.5800628662109375,0.0,57.458248138427734,56.910221099853516,-47.49946212768555,1.926872730255127
96.0,2025-01-02 13:43:28.388636,0.0,0,1,,,6.277695655822754,5.548152446746826,1.0,57.48085403442383,56.87504196166992,420.3013000488281,0.20241180062294006
97.0,2025-01-02 13:43:38.785918,0.0,0,1,,,6.541732311248779,5.5301737785339355,1.0,57.7468376159668,56.843143463134766,399.7771301269531,-7.324406147003174
98.0,2025-01-02 13:43:48.464196,0.0,0,1,,,6.541732311248779,5.523523330688477,1.0,57.99017333984375,56.825172424316406,383.01458740234375,-13.297237396240234
99.0,2025-01-02 13:43:58.978224,0.0,0,1,,,6.782884120941162,5.525945663452148,1.0,58.21461486816406,56.81852340698242,368.4652099609375,-18.0809326171875
100.0,2025-01-02 13:44:09.198230,0.0,0,0,,,7.0045037269592285,5.535861015319824,1.0,58.42228317260742,56.82094955444336,355.47894287109375,-22.031526565551758
101.0,2025-01-02 13:44:19.516052,0.0,0,0,,,7.208953380584717,5.546623229980469,0.0,58.45622634887695,56.83086395263672,-72.44903564453125,-22.478315353393555
102.0,2025-01-02 13:44:29.772181,0.0,0,0,,,6.95465087890625,5.546623229980469,0.0,58.20669174194336,56.84162521362305,-67.43451690673828,-17.461088180541992
103.0,2025-01-02 13:44:39.543302,0.0,0,0,,,6.709864139556885,5.539510250091553,0.0,57.96647644042969,56.84286880493164,-62.36906433105469,-12.395713806152344
104.0,2025-01-02 13:44:49.863101,0.0,0,0,,,6.249238014221191,5.521416187286377,0.0,57.73569107055664,56.834503173828125,-57.23691177368164,-7.2637739181518555
105.0,2025-01-02 13:45:00.215331,0.0,0,0,,,6.033705234527588,5.493409633636475,0.0,57.514461517333984,56.81639862060547,-52.01030731201172,-2.0377237796783447
106.0,2025-01-02 13:45:10.967763,0.0,0,0,,,6.033705234527588,5.455226898193359,0.0,57.3029899597168,56.78837966918945,-46.644954681396484,3.3252358436584473
107.0,2025-01-02 13:45:21.542143,0.0,0,1,,,5.828347682952881,5.406457901000977,0.0,57.1015625,56.75018310546875,-41.063316345214844,8.90678882598877
108.0,2025-01-02 13:45:31.638355,0.0,0,1,,,5.951146125793457,5.364579200744629,1.0,57.15580368041992,56.70142364501953,440.0453186035156,5.2739715576171875
109.0,2025-01-02 13:45:42.027870,0.0,0,1,,,6.272162914276123,5.365354061126709,1.0,57.45557403564453,56.65958023071289,420.2865295410156,-12.993857383728027
110.0,2025-01-02 13:45:51.891939,0.0,0,1,,,6.272162914276123,5.379388809204102,1.0,57.749122619628906,56.66035842895508,399.5538024902344,-19.98518943786621
111.0,2025-01-02 13:46:01.373871,0.0,0,1,,,6.835022926330566,5.403776168823242,1.0,58.02072525024414,56.674400329589844,382.0832824707031,-25.44392204284668
112.0,2025-01-02 13:46:11.377137,0.0,0,1,,,6.835022926330566,5.403776168823242,1.0,58.272926330566406,56.69879913330078,366.6712951660156,-29.882492065429688
113.0,2025-01-02 13:46:21.819159,0.0,0,0,,,7.084672451019287,5.476390838623047,1.0,58.5077018737793,56.73161315917969,352.7635192871094,-33.57532501220703
114.0,2025-01-02 13:46:32.106218,0.0,0,0,,,7.31637716293335,5.516923904418945,0.0,58.569034576416016,56.77142333984375,-71.38291931152344,-33.9571647644043
115.0,2025-01-02 13:46:42.045511,0.0,0,0,,,6.879499912261963,5.54844856262207,0.0,58.35036087036133,56.81194305419922,-66.63577270507812,-29.207056045532227
116.0,2025-01-02 13:46:52.625357,0.0,0,0,,,6.879499912261963,5.5709309577941895,0.0,58.140499114990234,56.84346008300781,-61.86814880371094,-24.439369201660156
117.0,2025-01-02 13:47:02.822150,0.0,0,0,,,6.674607753753662,5.584320545196533,0.0,57.939491271972656,56.865936279296875,-57.0739860534668,-19.645160675048828
118.0,2025-01-02 13:47:13.083148,0.0,0,0,,,6.478808403015137,5.58854341506958,0.0,57.74738311767578,56.87932205200195,-52.24057388305664,-14.811750411987305
119.0,2025-01-02 13:47:22.959921,0.0,0,0,,,6.292176246643066,5.583488941192627,0.0,57.56426239013672,56.883541107177734,-47.3492317199707,-9.920470237731934
120.0,2025-01-02 13:47:33.030838,0.0,0,1,,,5.9469075202941895,5.568992614746094,0.0,57.39023971557617,56.878482818603516,-42.3709602355957,-4.942435264587402
121.0,2025-01-02 13:47:43.083328,0.0,0,1,,,5.9469075202941895,5.574241638183594,1.0,57.47095489501953,56.86399459838867,427.2378234863281,-12.829142570495605
122.0,2025-01-02 13:47:53.288223,0.0,0,1,,,6.619837284088135,5.595217704772949,1.0,57.790889739990234,56.8692512512207,403.9695129394531,-21.12094497680664
123.0,2025-01-02 13:48:03.432821,0.0,0,1,,,6.619837284088135,5.627990245819092,1.0,58.08696365356445,56.89023971557617,384.8105773925781,-27.341140747070312
124.0,2025-01-02 13:48:13.800221,0.0,0,0,,,7.187493324279785,5.6701459884643555,1.0,58.361900329589844,56.92302703857422,367.9006042480469,-32.288455963134766
125.0,2025-01-02 13:48:24.642129,0.0,0,0,,,6.997818946838379,5.713988304138184,0.0,58.44975662231445,56.96518325805664,-63.0894889831543,-33.17778778076172
126.0,2025-01-02 13:48:34.991316,0.0,0,0,,,6.997818946838379,5.749083518981934,0.0,58.263755798339844,57.00901412963867,-58.48820495605469,-28.565568923950195
127.0,2025-01-02 13:48:44.561035,0.0,0,0,,,6.816891670227051,5.775405406951904,0.0,58.086307525634766,57.044097900390625,-53.86253356933594,-23.939802169799805
128.0,2025-01-02 17:49:29.973372,0.0,0,0,,,6.4813995361328125,5.792910575866699,0.0,57.91744613647461,57.070411682128906,-49.21391296386719,-19.291107177734375
129.0,2025-01-02 17:49:42.854706,0.0,0,0,,,6.4813995361328125,5.801529407501221,0.0,57.75720977783203,57.087913513183594,-44.528560638427734,-14.605714797973633
130.0,2025-01-02 17:49:55.914748,0.0,0,0,,,6.326948642730713,5.801152229309082,0.0,57.605682373046875,57.09653091430664,-39.78522491455078,-9.862399101257324
131.0,2025-01-02 17:50:06.060579,0.0,0,0,,,6.045211315155029,5.79160213470459,0.0,57.46297836303711,57.09614944458008,-34.949031829833984,-5.0263848304748535
132.0,2025-01-02 17:50:17.158443,0.0,0,0,,,6.045211315155029,5.7725830078125,0.0,57.32928466796875,57.08659362792969,-29.95643424987793,-0.03474742919206619
