iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS
0,2024-05-21 16:13:37.341248,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0
1,2024-05-21 16:13:46.294018,3.364747310338268,3.2481728419515297,77.71089056501289,78.09886954336274,54.490973682758714,54.34660723729726,54.34743538299764,213.93606607871055,1.0,286.1669393185446,1.0
2,2024-05-21 16:13:52.298697,3.671706680238054,3.448975230608928,77.72142576920038,78.10417397424146,54.798965764409395,54.54380094307692,54.66112571087362,212.94852887749113,1.0,284.20557790288825,1.0
3,2024-05-21 16:13:57.067261,3.9730355490850666,3.652260528590001,77.73184060322329,78.10954460226385,55.101232666602314,54.74461778998197,54.96803862069711,211.94866761295918,1.0,282.2666260572955,1.0
4,2024-05-21 16:14:03.602439,4.269386479439203,3.8573869850878624,77.74215289002028,78.11496355561667,55.39847476176433,54.94791390819682,55.26932702643835,210.93980951868002,1.0,280.3467656472929,1.0
5,2024-05-21 16:14:08.613068,4.5611953285259075,4.063929165027548,77.75237425762343,78.1204211601105,55.69114737595791,55.15304874088841,55.56564153782059,209.92375565910302,1.0,278.44383185737166,1.0
6,2024-05-21 16:14:14.402931,4.848784209364241,4.271574945075252,77.7625131310376,78.12591115960642,55.97958218154292,55.359597484289786,55.85741698053596,208.90167075295096,1.0,276.55625618642136,1.0
7,2024-05-21 16:14:21.604255,5.13240509219375,4.4800819539734755,77.772575984813,78.13142903903221,56.26403671594629,55.56724840701358,56.144974828241295,207.87439538083257,1.0,274.68283325362637,1.0
8,2024-05-21 16:14:29.077109,5.412262971912664,4.689254453077714,77.78256799949959,78.13697133657037,56.54471948834151,55.77575940217943,56.42856662086847,206.8425740366984,1.0,272.82259858496917,1.0
9,2024-05-21 16:14:37.246731,5.688529467850313,4.898929779961343,77.79249344420339,78.14253528447517,56.82180446771555,55.98493492038162,56.70839704612855,205.80672199767008,1.0,270.9747573918744,1.0
10,2024-05-21 16:14:44.317643,5.961351417859189,5.108969791167946,77.80235591676629,78.14811860129554,57.095440130910205,56.194612440779274,56.98463749421723,204.76726400634968,1.0,269.1386398564531,1.0
11,2024-05-21 16:14:52.706441,6.2308566214479,5.319255150046815,77.812158503309,78.15371936219881,57.36575545809323,56.404653929537254,57.25743462617835,203.72455841293723,1.0,267.3136714290403,1.0
12,2024-05-21 16:15:02.484184,6.497157849317661,5.529681343118187,77.82190388899086,78.15933591324352,57.632864092104725,56.61494013722248,57.5269161013554,202.678913135246,1.0,265.4993522077978,1.0
13,2024-05-21 16:15:12.491558,6.762217511367896,5.743943104133954,77.83600952274622,78.17330159571029,57.8982431987281,56.82538963317302,57.79320819931183,200.078892267482,1.0,262.87327631036874,1.0
14,2024-05-21 16:15:22.524877,7.024285211263324,5.9581177146258515,77.8457261250264,78.17902702701535,58.16109580013357,57.03965086072938,58.058246009276466,199.01297651967386,1.0,261.0643157563563,1.0
15,2024-05-21 16:15:32.728503,7.157910618824492,6.167316763150818,65.41826349966423,77.44585519370999,58.34912315076844,57.25379532210336,58.31958063640694,335.5091392234826,1.0,0.0,0.0
16,2024-05-21 16:15:45.421233,7.2923125465489775,6.374145202207958,65.5053347544895,77.4538496934685,58.48307052342769,57.46298021865685,58.453209231741354,334.02078616598163,1.0,0.0,0.0
17,2024-05-21 16:15:58.975849,7.427472143126306,6.578623135341558,65.59288796649979,77.46183791320311,58.617788086970634,57.669794761545994,58.58761428457295,332.5336022739181,1.0,0.0,0.0
18,2024-05-21 16:16:10.985047,7.5633701929778585,6.780770984448047,65.68091130313952,77.46982008311953,58.753256768507605,57.87425905291976,58.72277694139739,331.04754468939825,1.0,0.0,0.0
19,2024-05-21 16:16:22.793585,7.699987184704232,6.980609501218592,65.76939250997718,77.47779603292746,58.88945711462115,58.07639351330082,58.85867798428128,329.56264511573096,1.0,0.0,0.0
20,2024-05-21 16:16:36.763189,7.837303286926276,7.178159790478663,65.85831914250382,77.48576559624247,59.02636936678207,58.27621889308741,58.99529789937828,328.0789345290557,1.0,0.0,0.0
21,2024-05-21 16:16:51.660253,7.9752983213143205,7.373443336403012,65.9476785501442,77.49372861060002,59.163973435897674,58.47375629590411,59.13261685275768,326.596443175755,1.0,0.0,0.0
22,2024-05-21 16:17:06.955831,8.113951732248058,7.5664820320922646,66.03745785837023,77.50168491746282,59.30224887384373,58.66902720482998,59.27061466341857,325.1152005710408,1.0,0.0,0.0
23,2024-05-21 16:17:26.096452,8.253242552590336,7.757298212963101,66.12764394853968,77.50963436221866,59.44117484138248,58.86205351198991,59.409270772932565,323.63523549940624,1.0,0.0,0.0
24,2024-05-21 16:17:38.149732,8.393149364915773,7.9459146947904005,66.21822343510262,77.51757679416417,59.580730071899595,59.052857551963235,59.54856421119737,322.1565760176187,1.0,0.0,0.0
25,2024-05-21 16:17:52.947316,8.532555141870004,8.13058348904294,66.29130070639515,77.52074450214451,59.72042174280893,59.24145254630348,59.688468893409755,321.5668370720659,1.0,0.0,0.0
26,2024-05-21 16:18:09.865624,8.67251957691812,8.313126523464133,66.38196200335905,77.52860365696418,59.86006744613143,59.426109930496565,59.8278770458726,320.103681470272,1.0,0.0,0.0
27,2024-05-21 16:18:26.212964,8.630016290952488,8.335292905083852,59.86300339336929,59.72536818520322,59.96394305029055,59.60813712889599,59.9674841657634,0.0,0.0,0.0,0.0
28,2024-05-21 16:18:38.519693,8.591027771922011,8.353944520067245,59.835895438254035,59.72081337721093,59.921968130452804,59.63030060823584,59.92498611114557,0.0,0.0,0.0,0.0
29,2024-05-21 16:18:54.456507,8.555492655131387,8.369142733080281,59.810964272617035,59.71627573398006,59.88346068166847,59.648949792139774,59.886002355186825,0.0,0.0,0.0,0.0
30,2024-05-21 16:19:12.436366,8.523343736524858,8.380954748258405,59.788174880034695,59.71176221111192,59.84836012534748,59.664146038644944,59.85047154097509,0.0,0.0,0.0,0.0
31,2024-05-21 16:19:36.480153,8.494506687129302,8.38945489440611,59.76749085893089,59.707284634887216,59.81660011624595,59.675956545470335,59.81832647295775,0.0,0.0,0.0,0.0
32,2024-05-21 16:19:53.743660,8.468898427493558,8.394726250925197,59.748876036722876,59.70286476932902,59.7881072839104,59.68445563623179,59.789492831651884,0.0,0.0,0.0,0.0
33,2024-05-21 16:20:10.164434,8.446425383388982,8.396862392229155,59.73229974258366,59.69854739374721,59.7627996725695,59.68972639016906,59.763887548731944,0.0,0.0,0.0,0.0
34,2024-05-21 16:20:28.077190,8.426983673708232,8.395967199480824,59.71775631340681,59.694442951198795,59.74058522883412,59.69186236441631,59.74141706502705,0.0,0.0,0.0,0.0
35,2024-05-21 16:20:47.444451,8.41048216206618,8.392131808669815,59.705381197304284,59.690969586163504,59.72136355223021,59.69096678784422,59.72197753389162,0.0,0.0,0.0,0.0
36,2024-05-21 16:21:04.899837,8.396479161936272,8.385797906570078,59.69392124881378,59.68544963106525,59.70502462693416,59.68713076635979,59.70547763201537,0.0,0.0,0.0,0.0
37,2024-05-21 16:21:29.332338,8.386550259768878,8.382133900937804,59.68526924802504,59.68042026073246,59.6912371236515,59.68079752834675,59.691476765517635,0.0,0.0,0.0,0.0
38,2024-05-21 16:21:54.433380,8.378561000489817,8.37653025247244,59.67748027494106,59.67498840432259,59.6813884276427,59.67713307019031,59.68154865747061,0.0,0.0,0.0,0.0
39,2024-05-21 16:22:28.414651,8.371518405778607,8.369979939669609,59.67019112985006,59.66839378473868,59.67343287844243,59.67152914324953,59.67355973195469,0.0,0.0,0.0,0.0
40,2024-05-21 16:22:46.332098,8.364712262263991,8.363193175690842,59.66328620706937,59.661618597053504,59.66639813618869,59.66497875515336,59.666517214990584,0.0,0.0,0.0,0.0
41,2024-05-21 16:23:10.144582,8.357915947288484,8.35639658347785,59.65648544113067,59.65482284225681,59.659592314125646,59.6581919879958,59.65971107465867,0.0,0.0,0.0,0.0
42,2024-05-21 16:23:37.855704,8.351119491376377,8.349600132276922,59.649689049376704,59.64802637888837,59.65279599454633,59.651395395828445,59.652914759637554,0.0,0.0,0.0,0.0
43,2024-05-21 16:24:01.080005,8.344323037954949,8.342803678641348,59.64289259489896,59.64122992564788,59.64599953871526,59.64459894462673,59.64611830372625,0.0,0.0,0.0,0.0
44,2024-05-21 16:24:23.214273,8.337526584506744,8.33600722521992,59.6360961415459,59.63443347226013,59.63920308529298,59.63780249099122,59.63932185030481,0.0,0.0,0.0,0.0
45,2024-05-21 16:24:52.578717,8.33073013116562,8.329210771718177,59.62929968823286,59.627637018974674,59.632406631847886,59.63100603756977,59.63252539685664,0.0,0.0,0.0,0.0
46,2024-05-21 16:25:17.933555,8.323933677851258,8.322414318510889,59.62250323497493,59.6208405656959,59.62561017850674,59.62420958406812,59.625728943515526,0.0,0.0,0.0,0.0
47,2024-05-21 16:25:46.365996,8.31713722464397,8.315617865357146,59.615706781818034,59.614044112587344,59.61881372519683,59.61741313086085,59.6189324902012,0.0,0.0,0.0,0.0
48,2024-05-21 16:26:12.833100,8.310340771597291,8.308821412176625,59.60891032875339,59.60724765955716,59.61201727199311,59.6106166777071,59.61213603699397,0.0,0.0,0.0,0.0
49,2024-05-21 16:26:41.743166,8.299137775642642,8.295364745950755,59.59645607885382,59.59220513782495,59.60503808730125,59.60381720400125,59.60533777472307,0.0,0.0,0.0,0.0
50,2024-05-21 16:27:10.835927,8.287063360858332,8.282779498855028,59.58463710153121,59.57983272474444,59.59379004838023,59.590361028499,59.59413433279847,0.0,0.0,0.0,0.0
51,2024-05-21 16:27:43.185012,8.274824955044295,8.270358242968515,59.572421713956516,59.5674871620485,59.58170683636387,59.57777587061423,59.582059830912826,0.0,0.0,0.0,0.0
52,2024-05-21 16:28:18.475192,8.262529649769993,8.25799388685267,59.56013268503284,59.55515112499172,59.56946535461425,59.565354645448295,59.569821394643995,0.0,0.0,0.0,0.0
53,2024-05-21 16:28:49.660021,8.250213081192747,8.2456507943087,59.54781823974793,59.54281887141092,59.55716889675569,59.55299030078206,59.55752607795797,0.0,0.0,0.0,0.0
54,2024-05-21 16:29:34.200304,8.237888368006516,8.23331584659412,59.53549431684922,59.53048810205869,59.54485188637328,59.54064721262054,59.545209505006405,0.0,0.0,0.0,0.0
55,2024-05-21 16:30:11.056167,8.225560527785959,8.220984026255676,59.523166764487875,59.518157903932114,59.532527003338515,59.528312266586525,59.532884790138525,0.0,0.0,0.0,0.0
56,2024-05-21 16:30:35.763929,8.213231470449987,8.208653423276953,59.510837820488824,59.505827931339326,59.52019909702542,59.51598044690241,59.520556949263586,0.0,0.0,0.0,0.0
57,2024-05-21 16:31:22.675770,8.200901940377678,8.196323293312048,59.49850833476287,59.49349804624689,59.507870014021805,59.50364984417795,59.50822789167347,0.0,0.0,0.0,0.0
58,2024-05-21 16:32:02.751686,8.188572226905821,8.183993346915688,59.48617863866265,59.48116819518938,59.49554047399141,59.49131971431172,59.49589836150257,0.0,0.0,0.0,0.0
59,2024-05-21 16:32:41.405004,8.176242442271237,8.17166347195719,59.47384886096186,59.46883835736124,59.483210756657805,59.47898976795377,59.483568647992456,0.0,0.0,0.0,0.0
60,2024-05-21 16:33:14.630838,8.163912630193101,8.159333624764722,59.46151905165624,59.456508524777576,59.47088097053063,59.466659893010196,59.47123886334312,0.0,0.0,0.0,0.0
61,2024-05-21 16:34:06.169154,8.146033292720517,8.138598359491882,59.438229183276135,59.42821346130074,59.45819321795218,59.454324252430055,59.458905507299626,0.0,0.0,0.0,0.0
62,2024-05-21 16:35:03.193625,8.127408587865327,8.118608462015102,59.41956995481726,59.408853269211534,59.440257351978495,59.43358960153536,59.44102561013891,0.0,0.0,0.0,0.0
63,2024-05-21 16:35:43.949716,8.108469457374017,8.098932990549955,59.40057010467314,59.38950991630773,59.42160821258171,59.4135999574739,59.422400663357564,0.0,0.0,0.0,0.0
64,2024-05-21 16:36:24.560881,8.089368543591926,8.079419302796929,59.381427832178815,59.3701801571752,59.40265637366544,59.39392461506255,59.40346140704027,0.0,0.0,0.0,0.0
65,2024-05-21 16:37:15.152874,8.07017898392945,8.059994261352973,59.36221277944876,59.350859331245644,59.38354845761371,59.37441099763786,59.38436042392877,0.0,0.0,0.0,0.0
66,2024-05-21 16:38:06.768329,8.050939466103387,8.040619178532685,59.342958018502806,59.33154401227021,59.364354939517035,59.35498599570884,59.36517082507389,0.0,0.0,0.0,0.0
67,2024-05-21 16:39:08.421648,8.031671381889227,8.021272662487794,59.32368093612096,59.31223199612316,59.345113154294864,59.33561093544456,59.34593128479836,0.0,0.0,0.0,0.0
68,2024-05-21 16:39:45.928052,8.012386810801047,8.001942633737293,59.304391112927,59.29292194687098,59.325843760642876,59.31626443240968,59.32666318761948,0.0,0.0,0.0,0.0
69,2024-05-21 16:40:39.931825,7.993092734031951,7.982622111028555,59.285093934941195,59.273613027550084,59.30655843355989,59.29693441115016,59.307378609046175,0.0,0.0,0.0,0.0
70,2024-05-21 16:42:38.711998,7.973793130361229,7.963307115651021,59.26579252368398,59.25430478433176,59.2872639171635,59.27761389279644,59.28808452792434,0.0,0.0,0.0,0.0
71,2024-05-21 16:43:22.287129,7.954490311220982,7.943995336171644,59.24648865148029,59.234996935504405,59.267964057701,59.25829889995249,59.26878492172103,0.0,0.0,0.0,0.0
72,2024-05-21 16:44:21.712712,7.935185620674795,7.924685428540296,59.227183347704774,59.21568931663353,59.24866108968096,59.23898712194774,59.24948210110673,0.0,0.0,0.0,0.0
73,2024-05-21 18:54:39.124853,7.915101572324434,7.904185562989482,59.20600510910924,59.193660942393656,59.22929333582471,59.21967625230605,59.23017678617131,0.0,0.0,0.0,0.0
