iteration,timestamp,T1
0,2025-12-25 18:41:04.252732,0.0
1,2025-12-25 18:41:08.662093,3.25229337088512
2,2025-12-25 18:41:13.499177,3.452766688343929
3,2025-12-25 18:41:18.560790,3.6524165585764607
4,2025-12-25 18:41:23.622677,3.8512396142947156
5,2025-12-25 18:41:28.197225,4.049232519416629
6,2025-12-25 18:41:32.846151,4.246391969521307
7,2025-12-25 18:41:37.508763,4.442714692309334
8,2025-12-25 18:41:41.670955,4.6381974480684764
9,2025-12-25 18:41:45.711972,4.832837030144499
10,2025-12-25 18:41:50.022796,5.026630265417397
11,2025-12-25 18:41:54.688515,5.219574014782154
12,2025-12-25 18:41:59.465264,5.411665173634799
13,2025-12-25 18:42:04.954013,5.619582696449458
14,2025-12-25 18:42:09.887502,5.826492292998837
15,2025-12-25 18:42:15.229019,6.032391906197586
16,2025-12-25 18:42:20.171765,6.237279500824978
17,2025-12-25 18:42:24.865968,6.441153073676344
18,2025-12-25 18:42:30.446943,6.644010653911782
19,2025-12-25 18:42:34.937342,6.84585030340666
20,2025-12-25 18:42:39.532939,7.043867073888598
21,2025-12-25 18:42:43.941976,7.240476176722617
22,2025-12-25 18:42:48.566760,7.215979329632039
23,2025-12-25 18:42:53.787041,7.190006673906475
24,2025-12-25 18:42:58.364864,7.1626584606102375
25,2025-12-25 18:43:02.795331,7.122500606238087
26,2025-12-25 18:43:07.335902,7.081482147098148
27,2025-12-25 18:43:11.674560,7.039671273475802
28,2025-12-25 18:43:15.707434,6.997131895961489
29,2025-12-25 18:43:20.858934,6.95392377844512
30,2025-12-25 18:43:25.825493,6.910102675389404
31,2025-12-25 18:43:30.593219,6.865720477575324
32,2025-12-25 18:43:35.153113,6.820825367173088
33,2025-12-25 18:43:39.513770,6.775461981345639
34,2025-12-25 18:43:44.313108,6.729671582797267
35,2025-12-25 18:43:49.025811,6.683492235305828
36,2025-12-25 18:43:53.794619,6.636958982159206
37,2025-12-25 18:43:58.205363,6.609060892487365
38,2025-12-25 18:44:02.998782,6.580469699309856
39,2025-12-25 18:44:07.943025,6.551265963398246
40,2025-12-25 18:44:12.911664,6.521522505751776
41,2025-12-25 18:44:17.895566,6.4913048271366485
42,2025-12-25 18:44:22.402049,6.460671564938528
43,2025-12-25 18:44:26.532373,6.429674977622118
44,2025-12-25 18:44:30.498994,6.398361444799798
45,2025-12-25 18:44:35.192882,6.366771970811625
46,2025-12-25 18:44:39.883993,6.3349426809508875
47,2025-12-25 18:44:45.041031,6.302905301285173
48,2025-12-25 18:44:49.597201,6.27068761510252
49,2025-12-25 18:44:54.171011,6.209240666949351
50,2025-12-25 18:44:59.232101,6.147876111640013
51,2025-12-25 18:45:03.645479,6.086586747273638
52,2025-12-25 18:45:07.901621,6.025366014840004
53,2025-12-25 18:45:12.211726,5.96420796505952
54,2025-12-25 18:45:16.946942,5.903107118632154
55,2025-12-25 18:45:21.416229,6.085351125416902
56,2025-12-25 18:45:26.175067,6.266381006734
57,2025-12-25 18:45:31.419164,6.446206118309705
58,2025-12-25 18:45:36.626925,6.62483566723711
59,2025-12-25 18:45:41.234633,6.802278716094197
60,2025-12-25 18:45:45.954994,6.97854418692035
61,2025-12-25 18:45:50.412337,7.123625461592942
62,2025-12-25 18:45:55.433385,7.267728986102215
63,2025-12-25 18:45:59.935595,7.165972297050686
64,2025-12-25 18:46:05.094028,7.064651033669288
65,2025-12-25 18:46:09.512538,6.963736590102166
66,2025-12-25 18:46:14.255126,6.863202436179266
67,2025-12-25 18:46:18.843351,6.763023956408477
68,2025-12-25 18:46:23.860933,6.663178287103698
69,2025-12-25 18:46:28.762133,6.563644170775069
70,2025-12-25 18:46:33.222177,6.464401825464144
71,2025-12-25 18:46:38.260119,6.3654328270940415
72,2025-12-25 18:46:42.441938,6.266720003211255
73,2025-12-25 18:46:47.000944,6.163232289558862
74,2025-12-25 18:46:51.931331,6.059971010725255
75,2025-12-25 18:46:56.518177,5.95692271248037
76,2025-12-25 18:47:00.905666,5.854074786334368
77,2025-12-25 18:47:05.920536,6.002418513444232
78,2025-12-25 18:47:10.565428,6.14974300905254
79,2025-12-25 18:47:14.999964,6.296058292416991
80,2025-12-25 18:47:19.356913,6.441374175480692
81,2025-12-25 18:47:24.262235,6.585700270683207
82,2025-12-25 18:47:28.969725,6.72904599753668
83,2025-12-25 18:47:32.965002,6.8714205888865525
84,2025-12-25 18:47:37.257028,7.012833096877583
85,2025-12-25 18:47:42.412562,7.113380610446852
86,2025-12-25 18:47:46.812797,6.961755651561045
87,2025-12-25 18:47:51.852105,6.810458878046249
88,2025-12-25 18:47:56.353807,6.65947574485122
89,2025-12-25 18:48:01.055906,6.508792350345826
90,2025-12-25 18:48:05.814216,6.358395458322423
91,2025-12-25 18:48:09.868452,6.208272461676292
92,2025-12-25 18:48:14.711552,6.058411348483882
93,2025-12-25 18:48:19.105754,5.908800670279419
94,2025-12-25 18:48:23.756202,5.759429512354698
95,2025-12-25 18:48:28.111563,5.8687895949560565
96,2025-12-25 18:48:32.582147,5.977372262005652
97,2025-12-25 18:48:37.477071,6.083761020168426
98,2025-12-25 18:48:41.932925,6.189402133982798
99,2025-12-25 18:48:46.940101,6.294305239361937
100,2025-12-25 18:48:51.137209,6.398479700204256
101,2025-12-25 18:48:56.031477,6.501934619704326
102,2025-12-25 18:49:01.003051,6.604678851038666
103,2025-12-25 18:49:05.327417,6.706721007444441
104,2025-12-25 18:49:09.405703,6.808069471736242
105,2025-12-25 18:49:14.253450,6.908732405302565
106,2025-12-25 18:49:18.635916,7.008717756620482
107,2025-12-25 18:49:22.876120,7.108033269321804
108,2025-12-25 18:49:27.440450,6.955017693903412
109,2025-12-25 18:49:32.310846,6.839811012003136
110,2025-12-25 18:49:37.026978,6.724941299594022
111,2025-12-25 18:49:42.044643,6.610389464259309
112,2025-12-25 18:49:46.670631,6.4961375848383724
113,2025-12-25 18:49:51.745073,6.382168833702094
114,2025-12-25 18:49:56.307534,6.268467400502369
115,2025-12-25 18:50:00.593512,6.155018422352938
116,2025-12-25 18:50:04.318232,6.041807919765648
117,2025-12-25 18:50:09.537567,5.928822737753629
118,2025-12-25 18:50:14.204375,5.816050491590056
119,2025-12-25 18:50:18.730891,5.956274258233005
120,2025-12-25 18:50:23.765662,6.095527414809034
121,2025-12-25 18:50:28.362936,6.253046923501738
122,2025-12-25 18:50:32.883938,6.409502124123078
123,2025-12-25 18:50:37.463983,6.564902467525782
124,2025-12-25 18:50:41.802216,6.719257225849351
125,2025-12-25 18:50:46.746350,6.872575503160929
126,2025-12-25 18:50:51.483968,7.024866240496543
127,2025-12-25 18:50:55.576755,7.176138220681969
128,2025-12-25 18:50:59.644643,7.081727646189526
129,2025-12-25 18:51:04.090134,6.987805292174934
130,2025-12-25 18:51:08.865556,6.894336140262943
