iteration,timestamp,J1,P1F,V1F,P1
54,2025-11-06 20:59:00.893047,69.61619118589628,191.4213714606037,209.15168808642193,1
55,2025-11-06 20:59:03.688776,57.455736829750016,0.0,-3.3678552290439256,0
56,2025-11-06 20:59:06.569745,57.39812043853896,0.0,-3.594140861196138,0
57,2025-11-06 20:59:09.447004,57.34019467900757,0.0,-3.8035496680777214,0
58,2025-11-06 20:59:12.368936,57.28199425066737,0.0,-3.997194216367461,0
59,2025-12-04 17:26:34.174542,57.223550025301726,0.0,-4.176120434635777,0
60,2025-12-04 17:26:38.545767,69.45763279197533,199.77849232640384,212.40790420279154,1
61,2025-12-04 17:26:42.681339,69.47167639169349,199.0382977688444,211.6147136962354,1
62,2025-12-04 17:26:46.850266,69.48570200355987,198.29905129512957,210.82070035390643,1
63,2025-12-04 17:26:50.772998,69.49970797344719,197.56084008917134,210.02597427354885,1
64,2025-12-04 17:26:54.695775,69.51369293823112,196.82373599702512,209.23064555290694,1
65,2025-12-04 17:26:59.531677,57.34173579621554,0.0,-7.914335783425486,0
66,2025-12-04 17:27:03.523083,57.2484155989584,0.0,-8.017077259978578,0
67,2025-12-04 17:27:07.143566,57.15499927677012,0.0,-8.114180573102203,0
68,2025-12-04 17:27:10.074778,57.06149356800685,0.0,-8.205935453702295,0
69,2025-12-04 17:27:13.260539,56.96790499404763,0.0,-8.29262294075761,0
70,2025-12-04 17:27:17.222201,69.4638662373437,199.44994676621178,212.13762582988238,1
71,2025-12-04 17:27:21.487760,69.47798552596305,198.7057628815688,211.33472354335936,1
72,2025-12-04 17:27:26.823587,69.4736831096009,198.93252989569044,210.75177337138484,1
73,2025-12-04 17:27:31.498863,69.48727669378032,198.21605426057843,209.9764244940161,1
74,2025-12-04 17:27:42.040517,69.5008494037332,197.50067884116584,209.20042661941807,1
75,2025-12-04 17:27:46.366089,57.31696439863073,0.0,-7.977236363103657,0
76,2025-12-04 17:27:49.592847,57.219218514561156,0.0,-8.098532206872733,0
77,2025-12-04 17:27:52.871137,57.12135177689815,0.0,-8.213511916892458,0
78,2025-12-04 17:27:55.888556,57.023372587780585,0.0,-8.32248260792312,0
79,2025-12-04 17:27:58.845490,56.925289109364904,0.0,-8.425745600106893,0
80,2025-12-04 17:28:01.549485,69.44710824133492,200.33320872826096,212.32300145811678,1
81,2025-12-04 17:28:04.559256,69.46080741367163,199.6111678690658,211.54145233936106,1
82,2025-12-04 17:28:07.560224,69.47448499097665,198.89026521697116,210.75934114264783,1
83,2025-12-04 17:28:10.629677,69.48813953230359,198.1705767197913,209.9767953495757,1
84,2025-12-04 17:28:13.581597,69.34762008955654,205.57692045216623,210.119441463803,1
85,2025-12-04 17:28:16.651487,56.648663226422784,0.0,-14.009173066824587,0
86,2025-12-04 17:28:19.453891,56.505242538200406,0.0,-14.040658124372385,0
87,2025-12-04 17:28:22.491195,56.36179891984897,0.0,-14.07089154440655,0
88,2025-12-04 17:28:25.053775,56.21833425946696,0.0,-14.099916786562972,0
89,2025-12-04 17:28:28.091045,56.07484991791067,0.0,-14.127765721241303,0
90,2025-12-04 17:28:30.904728,69.25746588349843,210.32866886457367,215.4238522734886,1
91,2025-12-04 17:28:33.883251,69.26696270413333,209.82812092179952,214.86928993567744,1
