iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS
0,2025-11-06 20:27:29.274891,3.0509999999999993,3.0509999999999993,69.19931839717133,69.68925869615624,55.463387786006976,54.346450048598385,55.41070702498121,4.115706632533567,69.19931769948928,54.34644958062686,,187.57020975604098,1.0,,213.39344241116004,1.0
1,2025-11-06 20:27:31.389726,3.191578061938476,3.2186313630937082,69.21785400515299,69.7053827446028,55.59668190519423,54.51407420451124,55.54426850300372,4.24926811195471,69.21785331062435,54.51407374060322,186.72036120257368,1.0,212.41648803874583,1.0,130.7858810844209,1.0,232.2842845694595,1.0,155.15348742439983,1.0
2,2025-11-06 20:27:34.217838,3.3316551302543784,3.384807142011733,67.01101033654372,61.54074512306876,55.50686812377183,54.6800047256958,55.4629970348608,4.167996690376629,67.01100970255897,54.68000442573254,0.0,0.0,328.73236898596224,1.0,115.21232337486254,1.0,212.03544932859586,1.0,100.32235676476375,1.0
3,2025-11-06 20:27:37.178630,3.4550522688076577,3.4922565200484814,67.0344211337199,61.59859887695743,55.617355169834305,54.787452987550196,55.573970611669985,4.278970269958408,67.0344205023308,54.787452688503755,0.0,0.0,327.4984585210045,1.0,114.28503381580413,1.0,211.16734020438344,1.0,100.01572875239617,1.0
4,2025-11-06 20:27:40.171448,3.5774562486737036,3.599377488452272,67.05776264141879,61.65628591289595,55.72710010888512,54.89457281302953,55.68419342573545,4.389193086761083,67.05776201261426,54.894572514924334,0.0,0.0,326.26820008935783,1.0,113.36957686694404,1.0,210.30293384114884,1.0,99.7009274311722,1.0
5,2025-11-06 20:27:43.158011,3.69887973569947,3.706161288458307,67.08103441002838,61.713802385962005,55.83610802399431,55.00135544492004,55.79367081947656,4.498670483204991,67.0810337837975,55.00135514777949,0.0,0.0,325.0416173886758,1.0,112.46562802966764,1.0,209.44218388194713,1.0,99.37830337548803,1.0
6,2025-11-06 20:27:46.197460,3.819335055158373,3.812599549519815,67.1042358104584,61.77114450107514,55.94438384790507,55.107792513995,55.90240797199535,4.607407638393112,67.10423518679018,55.10779221784154,0.0,0.0,323.8187435763551,1.0,111.57287439459651,1.0,208.58510191601454,1.0,99.04817528934018,1.0
7,2025-11-06 20:27:49.306121,3.938834194102618,3.9186842231639654,67.12736690208523,61.828308998107616,56.051932813624504,55.21387597320303,56.010410353326314,4.715410022360808,67.1273662809688,55.213875678058145,0.0,0.0,322.5995755228528,1.0,110.69102333351566,1.0,207.73165897026047,1.0,98.71085897941612,1.0
8,2025-11-06 20:27:52.438103,4.057388841315589,4.024407615221084,67.15042704595434,61.88529234714397,56.158759837414614,55.319598129632396,56.117683105510764,4.822682777150191,67.15042642737889,55.31959783551672,0.0,0.0,321.3841469054754,1.0,109.81980539668257,1.0,206.88183186621245,1.0,98.36664127931272,1.0
9,2025-11-06 20:27:55.158679,4.175010374185846,4.1297623395414655,69.33768234351125,69.80065935091467,56.47932998917686,55.425180600049245,56.43063532010892,5.135634948865751,69.33768167026258,55.42518015023451,181.69862696989435,1.0,206.10070820493362,1.0,124.16183871209796,1.0,225.16721870374568,1.0,150.44000597583818,1.0
10,2025-11-06 20:27:58.031456,4.307992814231193,4.290889780976321,69.35579486481392,69.81653540604215,56.60601555163119,55.58630103015091,56.55755449756777,5.262554127591686,69.35579419464078,55.586300584425466,180.86184937464014,1.0,205.1460534183423,1.0,123.73806380253427,1.0,224.13861604150043,1.0,149.07235151554232,1.0
11,2025-11-06 20:28:01.155650,4.440521377551061,4.450552409585556,69.3738754846949,69.83235606524131,56.7321685260247,55.74595675842994,56.683944169709015,5.388943801019586,69.37387481759508,55.74595631676045,180.02799152684938,1.0,204.19308005668367,1.0,123.30774387180554,1.0,223.11074929575625,1.0,147.71584010588867,1.0
12,2025-11-06 20:28:03.816998,4.572589049567835,4.60876215634673,69.4772295467216,69.92961235419067,57.10522569134757,55.90422409360539,57.05538283656729,5.760382420239216,69.47722888734458,55.90422361899572,174.9019143661919,1.0,198.74560820124233,1.0,139.2404317311957,1.0,220.52786780477618,1.0,158.73264340314108,1.0
13,2025-11-06 20:28:06.775704,4.721721288739996,4.7787713594043355,69.49720582312092,69.94679145520436,57.2440495062855,56.074226174200895,57.19455832632121,5.899557911881277,69.49720516717167,56.07422570355854,173.9964572662111,1.0,197.692720667575,1.0,138.6089458378592,1.0,219.38144896694212,1.0,157.4057801570916,1.0
14,2025-11-06 20:28:09.794707,4.870177170313669,4.9473594341874,69.5171442136874,69.96392145984916,57.38216670749447,56.2428072246772,57.33302844862208,6.038028036083099,69.51714356116182,56.24280675797559,173.09358788346702,1.0,196.64182997857924,1.0,137.97317482442395,1.0,218.2364092482203,1.0,156.08780295792712,1.0
15,2025-11-06 20:28:12.866666,5.0179521226288255,5.11453590394636,69.53704389744479,69.98100233300895,57.51957449815143,56.40997676717373,57.47079034596608,6.175789935340759,69.53704324833865,56.409976304386355,172.19330806882076,1.0,195.5929794053673,1.0,137.33315345859864,1.0,217.09278341631943,1.0,154.7786915244842,1.0
16,2025-11-06 20:28:15.881848,5.165041589515071,5.280310259295819,67.51556598945189,62.85838993260996,57.43381382288832,56.575522370064675,57.393046700939344,6.09804633549833,67.51556539907487,56.57552205837927,0.0,0.0,302.13880638354374,1.0,122.22131671535408,1.0,197.45089386105974,1.0,104.24281575069472,1.0
17,2025-11-06 20:28:18.887790,5.295945653985377,5.391958606975778,67.54119563669666,62.91857743283667,57.54961345971273,56.68716952979399,57.509371139502704,6.214370777156316,67.54119504917664,56.687169219053004,0.0,0.0,300.7879472175571,1.0,121.18632258932394,1.0,196.4953787171453,1.0,103.92695691166409,1.0
18,2025-11-06 20:28:21.725879,5.425741195303332,5.503268655217169,67.56675498918945,62.978594346342206,57.6646025611654,56.79847835795164,57.62487532847241,6.3298749691814775,67.56675440451477,56.79847804818317,0.0,0.0,299.4407930697896,1.0,120.16443009486011,1.0,195.54375755660658,1.0,103.60169630473592,1.0
19,2025-11-06 20:28:24.679791,5.554442246594036,5.614230339722471,67.5922434399587,63.038436286493614,57.77878613333476,56.90943879197263,57.73956456554181,6.444564209268227,67.5922428581176,56.90943848320362,0.0,0.0,298.0973759318318,1.0,119.15527996563924,1.0,194.59606514715233,1.0,103.26743086125134,1.0
