iteration,timestamp,T2,V4F,J4,V4
0,2025-11-06 20:27:29.360802,0.0,0.0,0.0,1
1,2025-11-06 20:27:32.143297,3.2186313630937082,155.15348742439983,54.51407420451124,1
2,2025-11-06 20:27:34.944627,3.384807142011733,100.32235676476375,54.6800047256958,1
3,2025-11-06 20:27:37.949246,3.4922565200484814,100.01572875239617,54.787452987550196,1
4,2025-11-06 20:27:40.922165,3.599377488452272,99.7009274311722,54.89457281302953,1
5,2025-11-06 20:27:43.926798,3.706161288458307,99.37830337548803,55.00135544492004,1
6,2025-11-06 20:27:46.878769,3.812599549519815,99.04817528934018,55.107792513995,1
7,2025-11-06 20:27:50.084949,3.9186842231639654,98.71085897941612,55.21387597320303,1
8,2025-11-06 20:27:53.176808,4.024407615221084,98.36664127931272,55.319598129632396,1
9,2025-11-06 20:27:55.809553,4.1297623395414655,150.44000597583818,55.425180600049245,1
10,2025-11-06 20:27:58.787166,4.290889780976321,149.07235151554232,55.58630103015091,1
11,2025-11-06 20:28:01.898537,4.450552409585556,147.71584010588867,55.74595675842994,1
12,2025-11-06 20:28:04.515841,4.60876215634673,158.73264340314108,55.90422409360539,1
13,2025-11-06 20:28:07.532326,4.7787713594043355,157.4057801570916,56.074226174200895,1
14,2025-11-06 20:28:10.541115,4.9473594341874,156.08780295792712,56.2428072246772,1
15,2025-11-06 20:28:13.629382,5.11453590394636,154.7786915244842,56.40997676717373,1
16,2025-11-06 20:28:16.620208,5.280310259295819,104.24281575069472,56.575522370064675,1
17,2025-11-06 20:28:19.516426,5.391958606975778,103.92695691166409,56.68716952979399,1
18,2025-11-06 20:28:22.393444,5.503268655217169,103.60169630473592,56.79847835795164,1
19,2025-11-06 20:28:25.383469,5.614230339722471,103.26743086125134,56.90943879197263,1
