iteration,timestamp,error_flag,P2,T1,V5F,J5,V5,T2,V4F,J4,V4,J1,P1F,V1F,P1
0.0,2025-11-06 20:56:28.800324,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,2025-11-06 20:56:31.854506,False,1.0,3.1915781497955322,130.785888671875,55.54426956176758,1.0,3.2186312675476074,155.1534881591797,54.51407241821289,1.0,69.21785736083984,212.41648864746094,232.28428649902344,1.0
2.0,2025-11-06 20:56:34.527378,False,1.0,3.3316550254821777,130.31216430664062,55.67726135253906,1.0,3.3848071098327637,153.80491638183594,54.68024444580078,1.0,69.23635864257812,211.44125366210938,231.2305145263672,1.0
3.0,2025-11-06 20:56:37.342224,False,1.0,3.471224784851074,129.8325653076172,55.8096809387207,1.0,3.5495386123657227,152.466796875,54.844966888427734,1.0,69.25482940673828,210.4677734375,230.1776580810547,1.0
4.0,2025-11-06 20:56:40.373153,False,1.0,3.610280752182007,129.34710693359375,55.941524505615234,1.0,3.712836742401123,151.13912963867188,55.00825881958008,1.0,69.27326202392578,209.49607849121094,229.12579345703125,1.0
5.0,2025-11-06 20:56:43.136273,False,0.0,3.748816967010498,-53.798213958740234,54.83970260620117,1.0,3.8747129440307617,-59.39961242675781,55.169639587402344,1.0,54.82794952392578,0.0,-5.015650272369385,0.0
6.0,2025-11-06 20:56:45.869297,False,0.0,3.691196918487549,-54.02840042114258,54.78046417236328,1.0,3.81109356880188,-59.169429779052734,55.10601806640625,1.0,54.768272399902344,0.0,-5.115787506103516,0.0
7.0,2025-11-06 20:56:48.903054,False,0.0,3.6333301067352295,-54.24028015136719,54.721099853515625,1.0,3.747720718383789,-58.95754623413086,55.04264831542969,1.0,54.70850372314453,0.0,-5.207895755767822,0.0
8.0,2025-11-06 20:56:51.824291,False,0.0,3.5752365589141846,-54.43521499633789,54.661624908447266,1.0,3.684574604034424,-58.762603759765625,54.97949981689453,1.0,54.648651123046875,0.0,-5.292586803436279,0.0
9.0,2025-11-06 20:56:54.771506,False,0.0,3.5169341564178467,-54.61448669433594,54.60205078125,1.0,3.6216375827789307,-58.58332824707031,54.91656494140625,1.0,54.588722229003906,0.0,-5.3704142570495605,0.0
