iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,plc4AttackerUnit
0,2024-06-17 19:06:01.253686,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,0
1,2024-06-17 19:06:15.404354,3.364747310338268,3.2481728419515297,77.71089056501289,78.09886954336274,54.490973682758714,54.34660723729726,54.34743538299764,213.93606607871055,1.0,286.1669393185446,1.0,0
2,2024-06-17 19:06:26.899540,3.671706680238054,3.448975230608928,77.72142576920038,78.10417397424146,54.798965764409395,54.54380094307692,54.66112571087362,212.94852887749113,1.0,284.20557790288825,1.0,0
3,2024-06-17 19:06:37.372002,3.9730355490850666,3.652260528590001,77.73184060322329,78.10954460226385,55.101232666602314,54.74461778998197,54.96803862069711,211.94866761295918,1.0,282.2666260572955,1.0,0
4,2024-06-17 19:06:49.248050,4.269386479439203,3.8573869850878624,77.74215289002028,78.11496355561667,55.39847476176433,54.94791390819682,55.26932702643835,210.93980951868002,1.0,280.3467656472929,1.0,0
5,2024-06-17 19:07:00.762297,4.5611953285259075,4.063929165027548,77.75237425762343,78.1204211601105,55.69114737595791,55.15304874088841,55.56564153782059,209.92375565910302,1.0,278.44383185737166,1.0,0
6,2024-06-17 19:07:11.166911,4.848784209364241,4.271574945075252,77.7625131310376,78.12591115960642,55.97958218154292,55.359597484289786,55.85741698053596,208.90167075295096,1.0,276.55625618642136,1.0,1
7,2024-06-17 19:07:22.547399,5.13240509219375,4.4800819539734755,77.772575984813,78.13142903903221,56.26403671594629,55.56724840701358,56.144974828241295,207.87439538083257,1.0,274.68283325362637,1.0,1
8,2024-06-17 19:07:33.736973,5.412262971912664,4.689254453077714,77.78256799949959,78.13697133657037,56.54471948834151,55.77575940217943,56.42856662086847,206.8425740366984,1.0,272.82259858496917,1.0,1
9,2024-06-17 19:07:42.846815,5.688529467850313,4.898929779961343,77.79249344420339,78.14253528447517,56.82180446771555,55.98493492038162,56.70839704612855,205.80672199767008,1.0,270.9747573918744,1.0,1
10,2024-06-17 19:07:54.330681,5.961351417859189,5.108969791167946,77.80235591676629,78.14811860129554,57.095440130910205,56.194612440779274,56.98463749421723,204.76726400634968,1.0,269.1386398564531,1.0,1
11,2024-06-17 19:08:03.219256,6.2308566214479,5.319255150046815,77.812158503309,78.15371936219881,57.36575545809323,56.404653929537254,57.25743462617835,203.72455841293723,1.0,267.3136714290403,1.0,1
12,2024-06-17 19:08:13.903451,6.497157849317661,5.529681343118187,77.82190388899086,78.15933591324352,57.632864092104725,56.61494013722248,57.5269161013554,202.678913135246,1.0,265.4993522077978,1.0,1
13,2024-06-17 19:08:23.919036,6.762217511367896,5.743943104133954,77.83600952274622,78.17330159571029,57.8982431987281,56.82538963317302,57.79320819931183,200.078892267482,1.0,262.87327631036874,1.0,1
14,2024-06-17 19:08:34.732145,7.024285211263324,5.9581177146258515,77.8457261250264,78.17902702701535,58.16109580013357,57.03965086072938,58.058246009276466,199.01297651967386,1.0,261.0643157563563,1.0,1
15,2024-06-17 19:08:45.237038,7.283440349705665,6.172133306660575,77.85539318127113,78.18476422686724,58.421035531526215,57.25382449832419,58.32029264017682,197.94486979643185,1.0,259.2645792933544,1.0,1
16,2024-06-17 19:08:55.045331,7.41502965805982,6.381161243453186,65.58456354579012,77.45692455149943,58.60744174356714,57.46780988804231,58.578727492219166,333.44833329339417,1.0,0.0,0.0,1
17,2024-06-17 19:09:05.487819,7.547410230001209,6.587806409195254,65.67035433529439,77.46490610315226,58.73935489286378,57.67682361058624,58.71032000691926,331.9623908123197,1.0,0.0,0.0,1
18,2024-06-17 19:09:15.084244,7.680563285024556,6.792088817242008,65.75663649689955,77.4728814719734,58.87205317058961,57.88345481868945,58.84270372446248,330.4775994022024,1.0,0.0,0.0,1
19,2024-06-17 19:09:26.914189,7.8144696911315465,6.994028788530683,65.84339824126127,77.48085087818917,59.005517579088476,58.08772352424858,58.975859862193495,328.99391806303055,1.0,0.0,0.0,1
20,2024-06-17 19:09:37.238951,7.949110033478701,7.193646961973272,65.93062736725206,77.48881414559808,59.139728753357915,58.28965004675937,59.10976928580705,327.51137959861535,1.0,0.0,0.0,1
21,2024-06-17 19:09:48.104433,8.084464591697568,7.390964316347294,66.01831149233307,77.49677110198337,59.274667037030376,58.48925502376673,59.244412578068335,326.0300160709208,1.0,0.0,0.0,1
22,2024-06-17 19:09:58.936597,8.220513314571706,7.586002194816552,66.10643803756606,77.50472157913441,59.41031245851038,58.68655943276555,59.37977001612147,324.54985879606807,1.0,0.0,0.0,1
23,2024-06-17 19:10:08.348718,8.357235791664628,7.778782332503026,66.19499421084635,77.51266541286022,59.54664470428608,58.88158461573326,59.51582154615305,323.0709383418528,1.0,0.0,0.0,1
24,2024-06-17 19:10:17.063616,8.494611221376463,7.969326887635581,66.28396698807832,77.52060244299409,59.68364308897108,59.07435230671556,59.65254675500431,321.59328452684963,1.0,0.0,0.0,1
25,2024-06-17 19:10:26.728169,8.631522179734638,8.155888129457306,66.35550553250128,77.523765445469,59.820822139486225,59.26487499152688,59.78992024036765,321.0044216152682,1.0,0.0,0.0,1
26,2024-06-17 19:10:37.560377,8.769031468812305,8.340284952801241,66.44460652873724,77.53161951508432,59.9579861781125,59.45142451488457,59.926833704471036,319.5422127368064,1.0,0.0,0.0,1
