iteration,timestamp,V13F
0,2025-07-10 18:37:23.538904,0.0
1,2025-07-10 18:37:35.163804,233.7259334058217
2,2025-07-10 18:37:46.140041,232.6690124448305
3,2025-07-10 18:37:59.379035,231.6129838550296
4,2025-07-10 18:38:11.380695,230.55793455569074
5,2025-07-10 18:38:22.864840,229.5038877252864
6,2025-07-10 18:38:35.136867,228.45088392614343
7,2025-07-10 18:38:46.290068,227.39898689906113
8,2025-07-10 18:38:57.397189,226.34824879560256
9,2025-07-10 18:39:09.423761,225.29867541038584
10,2025-07-10 18:39:21.082399,224.25034786806464
11,2025-07-10 18:39:33.460336,223.20330673096578
12,2025-07-10 18:39:46.228366,220.60575906152735
13,2025-07-10 18:39:58.518287,219.44414673498613
14,2025-07-10 18:40:10.345556,218.28431915082547
15,2025-07-10 18:40:21.545280,217.12628210366347
16,2025-07-10 18:40:32.238070,215.97004718273638
17,2025-07-10 18:40:43.234524,214.81568392346162
18,2025-07-10 18:40:54.020088,213.66320970969355
19,2025-07-10 18:41:05.593184,212.51264192528652
20,2025-07-10 18:41:17.337341,211.3640327218036
21,2025-07-10 18:41:28.189554,210.21741107233538
22,2025-07-10 18:41:38.827441,209.07280015535434
23,2025-07-10 18:41:50.667672,207.93025212242355
24,2025-07-10 18:42:02.187285,207.50293959849841
25,2025-07-10 18:42:13.770498,206.4209685033802
26,2025-07-10 18:42:24.614010,205.3410429084579
27,2025-07-10 18:42:36.512457,204.26321496529454
28,2025-07-10 18:42:48.256649,184.8210543073492
29,2025-07-10 18:42:59.833256,183.94365061567441
30,2025-07-10 18:43:12.065914,183.07061606606112
31,2025-07-10 18:43:23.755229,0.4169198763293025
32,2025-07-10 18:43:35.752912,-0.060591424357880896
33,2025-07-10 18:43:48.067939,-0.5042766417773237
34,2025-07-10 18:43:59.112780,-0.912875446488215
35,2025-07-10 18:44:11.266129,-1.2888708323544051
36,2025-07-10 18:44:23.276155,1.7066193390746776
37,2025-07-10 18:44:35.248371,1.1428116880551897
38,2025-07-10 18:44:47.268036,0.6213366197016512
39,2025-07-10 18:45:00.132206,0.14100044268161582
40,2025-07-10 18:45:11.662313,-0.2972204498519204
41,2025-07-10 18:45:23.058848,-0.6872735792740059
42,2025-07-10 18:45:34.257153,-1.0333223787029056
43,2025-07-10 18:45:46.243924,-1.339527383947825
44,2025-07-10 18:45:57.903471,-1.6097101456580276
45,2025-07-10 18:46:10.551808,-1.847443045903674
46,2025-07-10 18:46:23.108074,-2.056086963193593
47,2025-07-10 18:46:34.813176,-2.2387478128393923
48,2025-07-10 18:46:46.240431,-6.202443341862818
49,2025-07-10 18:46:57.489015,-6.203587778941255
50,2025-07-10 18:47:08.930072,-6.204639502129794
51,2025-07-10 18:47:19.615035,-6.205595614119375
52,2025-07-10 18:47:30.283318,-6.206473498764353
53,2025-07-10 18:47:40.666586,-6.2072789506828485
54,2025-07-10 18:47:52.538661,-6.20801196987486
55,2025-07-10 18:48:04.316318,-6.208684145576626
56,2025-07-10 18:48:13.492458,-6.209304169715324
57,2025-07-10 18:48:22.033583,-6.209860453054716
58,2025-07-10 18:48:30.790613,-6.210373276758219
59,2025-07-10 18:48:40.143520,-6.210839743516772
60,2025-07-10 18:48:49.882140,-10.554334825201295
61,2025-07-10 18:48:59.063400,194.65417937226448
62,2025-07-10 18:49:10.311578,194.067520644694
63,2025-07-10 18:49:22.381936,193.4845125265383
64,2025-07-10 18:49:34.948480,192.90509707161618
65,2025-07-10 18:49:46.339038,192.32923951221892
66,2025-07-10 18:49:57.707123,191.75689349140157
67,2025-07-10 18:50:09.678140,191.1880126522192
68,2025-07-10 18:50:21.073960,190.62255643234494
69,2025-07-10 18:50:33.579567,190.060484269452
70,2025-07-10 18:50:45.835021,189.5017498065954
71,2025-07-10 18:50:56.270550,188.94632407068457
72,2025-07-10 18:51:07.743010,188.49283146209928
73,2025-07-10 18:51:18.328420,187.97763775978638
74,2025-07-10 18:51:30.498244,187.46548043736766
75,2025-07-10 18:51:42.212106,186.95633631637065
76,2025-07-10 18:51:53.668811,186.4501590398504
77,2025-07-10 18:52:05.355226,185.9469138400982
78,2025-07-10 18:52:16.759924,185.44656594940534
79,2025-07-10 18:52:29.830718,-12.36602218000371
80,2025-07-10 18:52:42.409574,-12.242098476917818
81,2025-07-10 18:52:54.062218,-12.125615063496298
82,2025-07-10 18:53:05.581844,-12.016114164907776
83,2025-07-10 18:53:17.375985,-11.913140903629937
84,2025-07-10 18:53:28.910651,-17.050669608806857
85,2025-07-10 18:53:40.829942,-16.955765353259267
86,2025-07-10 18:53:52.000856,-16.86494050886722
87,2025-07-10 18:54:04.184641,-16.778029929014338
88,2025-07-10 18:54:16.417664,-16.6948423913027
89,2025-07-10 18:54:28.383033,195.1797802087185
90,2025-07-10 18:54:39.930947,194.93110996677387
91,2025-07-10 18:54:51.397827,194.684821312876
92,2025-07-10 18:55:02.321527,194.4408157385169
93,2025-07-10 18:55:14.304663,194.19899473518853
94,2025-07-10 18:55:25.992573,193.959265589001
95,2025-07-10 18:55:38.498304,193.72157035377313
96,2025-07-10 18:55:50.891633,193.4670996990917
97,2025-07-10 18:56:02.460965,193.244696461079
98,2025-07-10 18:56:13.498194,193.0240026354113
99,2025-07-10 18:56:24.575296,192.80496027590743
100,2025-07-10 18:56:36.153538,192.58750564176808
101,2025-07-10 18:56:48.449088,192.37160975990264
102,2025-07-10 18:57:00.978400,192.15722047874806
103,2025-07-10 18:57:12.338178,191.94429144135938
104,2025-07-10 18:57:24.559711,191.7327878800279
105,2025-07-10 18:57:35.737784,191.52268661628113
106,2025-07-10 18:57:46.651388,191.31394129317414
107,2025-07-10 18:57:57.714273,191.10654032147067
108,2025-07-10 18:58:10.051789,190.89968404387037
109,2025-07-10 18:58:22.351526,190.43289858132084
110,2025-07-10 18:58:34.028819,189.96922482870104
111,2025-07-10 18:58:45.696914,189.50862801830226
112,2025-07-10 18:58:57.636156,189.0510444093252
113,2025-07-10 18:59:09.150157,188.59644502867923
114,2025-07-10 18:59:21.549935,188.14476034094696
115,2025-07-10 18:59:33.053543,187.6959613730378
116,2025-07-10 18:59:45.119467,187.24999017877053
117,2025-07-10 18:59:57.815031,186.8068235796727
118,2025-07-10 19:00:10.710526,186.36640362956314
119,2025-07-10 19:00:23.199069,185.92870135535122
120,2025-07-10 19:00:35.696284,185.10049397150397
121,2025-07-10 19:00:47.091677,-10.742787395656705
122,2025-07-10 19:00:58.816080,-10.626654556631365
123,2025-07-10 19:01:10.461595,-10.518315478975637
124,2025-07-10 19:01:22.145061,-10.417228365895426
