iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
10,2025-07-10 10:21:25.899716,4.433482995852692,4.6631545539216965,69.38312967731427,69.84809997009776,56.77007076608795,55.95853726451355,56.72018136956371,5.4251809918839164,69.38312901103114,55.958536835773984,179.1981791622606,1.0,203.7053202836255,1.0,126.31456252165663,1.0,222.83760258687835,1.0,143.39144118821423,1.0,0
11,2025-07-10 10:21:28.345636,4.568771097066004,4.816732695885316,69.40131063423719,69.86369026748886,56.897448016967466,56.11210922890251,56.847851149261686,5.552850773151284,69.40130997107494,56.11210880391566,178.37646297045742,1.0,202.7470584678768,1.0,125.78968021784931,1.0,221.79383540901654,1.0,142.13635008218262,1.0,0
12,2025-07-10 10:21:31.110914,4.703497027832418,4.9689665819627695,69.50458691541547,69.96059838828957,57.26948569036992,56.26440141284254,57.21850643207735,5.923506009689849,69.50458625998826,56.26440095348682,173.26873667239252,1.0,197.30368619956687,1.0,141.2670009096928,1.0,219.20685712302657,1.0,153.63097758950062,1.0,0
13,2025-07-10 10:21:33.972490,4.854799803380278,5.133511684357111,69.52463237065476,69.9775753384916,57.40904088608018,56.428940039236316,57.35846166607581,6.063461245814255,69.52463171869223,56.42893958358913,172.37393431433057,1.0,196.247152463938,1.0,140.55598098536848,1.0,218.04809574859974,1.0,152.3906627596716,1.0,0
14,2025-07-10 10:21:36.934601,5.005341052458535,5.296728356939916,69.5446349463425,69.99450494126904,57.54783142720664,56.592150321740995,57.49765260285639,6.202652184730423,69.54463429783931,56.59214986977851,171.48162749207708,1.0,195.1928787763957,1.0,139.84173635606112,1.0,216.89112491117157,1.0,151.15831842706484,1.0,0
15,2025-07-10 10:21:40.663937,5.155117305825526,5.458625141758665,69.5645946744581,70.01138745955231,57.68585608392695,56.75404080133969,57.63607796192244,6.341077545941541,69.56459402940885,56.75404035303822,170.59180234738852,1.0,194.14086345140512,1.0,139.1243191733338,1.0,215.73596199459644,1.0,149.93389823473535,1.0,0
16,2025-07-10 10:21:43.735305,5.304125180402441,5.619210523315692,69.5845108409597,70.02822273872235,57.823112832201204,56.914619961589516,57.77373566359598,6.478735249769479,69.58451019935886,56.91461951692544,169.70446702975494,1.0,193.09114412390056,1.0,138.4037844860586,1.0,214.58264176658304,1.0,148.71737320959255,1.0,0
17,2025-07-10 10:21:47.211362,5.4523613345766835,5.778492954534765,69.60438293025096,70.04501069602688,57.95960002415896,57.07389625454064,57.91062400809183,6.615623596428859,69.60438229209295,57.07389581349044,168.8196259007905,1.0,192.04374796935818,1.0,137.68019313772584,1.0,213.43119320022197,1.0,147.50872017316397,1.0,0
18,2025-07-10 10:21:50.427614,5.599822491826193,5.936480870213153,69.624210693584,70.06175134714678,58.09531616117058,57.23187811399307,58.04674144457108,6.751741035080589,69.6242100588631,57.231877676533294,167.93727813400372,1.0,190.99868809851145,1.0,136.95361176644383,1.0,212.28165685784006,1.0,146.30790435774088,1.0,0
19,2025-07-10 10:21:53.908239,5.746505447381938,6.093182659312916,69.64399349645285,70.07844456484261,58.23025959002967,57.38857392800285,58.182086266329094,6.887085859019892,69.64399286516326,57.388573494110176,167.05743043579443,1.0,189.95599795420063,1.0,136.22408093453942,1.0,211.1340617125279,1.0,145.1148909956146,1.0,0
