iteration,timestamp,error_flag,P2,T1,V5F,J5,V5,T2,V4F,J4,V4,J1,P1F,V1F,P1
264.0,2025-07-09 11:00:46.920590,False,0.0,4.4513750076293945,-76.7284164428711,55.35243606567383,1.0,4.521612644195557,-75.2845230102539,55.816497802734375,1.0,55.320133209228516,0.0,-8.675424575805664,0.0
265.0,2025-07-09 11:00:49.957089,False,0.0,4.369195938110352,-76.68017578125,55.27071762084961,1.0,4.440979957580566,-75.332763671875,55.735862731933594,1.0,55.238555908203125,0.0,-8.654667854309082,0.0
266.0,2025-07-09 11:00:52.785226,False,0.0,4.287067890167236,-76.63519287109375,55.18901824951172,1.0,4.360295295715332,-75.37773132324219,55.65517807006836,1.0,55.156986236572266,0.0,-8.635311126708984,0.0
267.0,2025-07-09 11:00:55.474857,False,0.0,4.204988479614258,-76.5932388305664,55.10733413696289,1.0,4.279562950134277,-75.41968536376953,55.57444763183594,1.0,55.0754280090332,0.0,-8.617255210876465,0.0
268.0,2025-07-09 11:00:58.470299,False,0.0,4.12295389175415,-76.55409240722656,55.025672912597656,1.0,4.198785305023193,-75.45883178710938,55.49366760253906,1.0,54.99388122558594,0.0,-8.600409507751465,0.0
269.0,2025-07-09 11:01:01.371192,False,0.0,4.040961742401123,-76.51758575439453,54.944026947021484,1.0,4.1179656982421875,-75.49534606933594,55.41284942626953,1.0,54.9123420715332,0.0,-8.584689140319824,0.0
270.0,2025-07-09 11:01:04.422131,False,0.0,3.959007978439331,-76.48351287841797,54.862396240234375,1.0,4.037106990814209,-75.52941131591797,55.33198928833008,1.0,54.830810546875,0.0,-8.570028305053711,0.0
271.0,2025-07-09 11:01:07.565551,False,0.0,3.8770911693573,-76.45172882080078,54.78078079223633,1.0,3.956211805343628,-75.56119537353516,55.251094818115234,1.0,54.74928665161133,0.0,-8.556342124938965,0.0
272.0,2025-07-09 11:01:10.358108,False,0.0,3.795208215713501,-76.42207336425781,54.699180603027344,1.0,3.8752827644348145,-75.59085083007812,55.170166015625,1.0,54.66777038574219,0.0,-8.543570518493652,0.0
273.0,2025-07-09 11:01:13.136879,False,0.0,3.7133569717407227,-76.39439392089844,54.617591857910156,1.0,3.7943217754364014,-75.61852264404297,55.089202880859375,1.0,54.58626174926758,0.0,-8.53165054321289,0.0
274.0,2025-07-09 11:01:16.108203,False,0.0,3.631535291671753,-76.36856842041016,54.536014556884766,1.0,3.7133312225341797,-75.64434051513672,55.00821304321289,1.0,54.5047607421875,0.0,-8.520536422729492,0.0
275.0,2025-07-09 11:01:19.444894,False,0.0,3.549741506576538,-76.34446716308594,54.45444869995117,1.0,3.6323130130767822,-75.6684341430664,54.92719650268555,1.0,54.42326354980469,0.0,-8.51015567779541,0.0
276.0,2025-07-09 11:01:22.056417,False,0.0,3.467973470687866,-77.0361099243164,54.36610412597656,1.0,3.551269054412842,-76.31541442871094,54.84614944458008,1.0,54.334354400634766,0.0,-8.593427658081055,0.0
277.0,2025-07-09 11:01:25.232455,False,0.0,3.385464668273926,-77.0123062133789,54.2838249206543,1.0,3.469532012939453,-76.33921813964844,54.76441192626953,1.0,54.25214385986328,0.0,-8.583176612854004,0.0
278.0,2025-07-09 11:01:28.546182,False,0.0,3.30298113822937,-76.99008178710938,54.20155334472656,1.0,3.3877696990966797,-76.36144256591797,54.68265151977539,1.0,54.16993713378906,0.0,-8.573600769042969,0.0
