iteration,timestamp,T2,P2
0,2025-06-25 20:15:32.460291,0.0,1
1,2025-06-25 20:15:34.856155,3.2186312675476074,1
2,2025-06-25 20:15:37.488731,3.3848071098327637,1
3,2025-06-25 20:15:39.853740,3.5495386123657227,1
4,2025-06-25 20:15:42.475856,3.712836742401123,1
5,2025-06-25 20:15:44.705543,3.8747129440307617,1
6,2025-06-25 20:15:47.738983,4.035178184509277,1
7,2025-06-25 20:15:50.091365,4.194244384765625,1
8,2025-06-25 20:15:53.256890,4.351921558380127,1
9,2025-06-25 20:15:55.820226,4.50822114944458,1
10,2025-06-25 20:15:58.888853,4.663154602050781,1
11,2025-06-25 20:16:01.974790,4.816732883453369,1
12,2025-06-25 20:16:05.011944,4.968966484069824,1
13,2025-06-25 20:16:07.172981,5.133511543273926,1
14,2025-06-25 20:16:09.936572,5.296728134155273,1
15,2025-06-25 20:16:12.563521,5.458625316619873,1
16,2025-06-25 20:16:15.465312,5.619210720062256,1
17,2025-06-25 20:16:18.124909,5.7784929275512695,1
18,2025-06-25 20:16:21.860350,5.93648099899292,1
19,2025-06-25 20:16:24.899366,6.093182563781738,1
20,2025-06-25 20:16:27.934123,6.2486066818237305,1
21,2025-06-25 20:16:31.510711,6.402761459350586,1
22,2025-06-25 20:16:34.465357,6.555654525756836,1
23,2025-06-25 20:16:37.502459,6.707294940948486,1
24,2025-06-25 20:16:40.357217,6.857690811157227,1
25,2025-06-25 20:16:43.255766,7.000319957733154,1
26,2025-06-25 20:16:45.785117,7.1417317390441895,0
27,2025-06-25 20:16:48.596450,7.22980260848999,0
28,2025-06-25 20:16:51.307598,7.317915439605713,0
29,2025-06-25 20:16:54.737123,7.406040668487549,0
30,2025-06-25 20:16:57.050080,7.494149684906006,0
31,2025-06-25 20:16:59.688849,7.4324164390563965,0
32,2025-06-25 20:17:02.759033,7.371706485748291,0
33,2025-06-25 20:17:06.007568,7.311942100524902,0
34,2025-06-25 20:17:07.978661,7.253048896789551,0
35,2025-06-25 20:17:10.648648,7.1949591636657715,0
36,2025-06-25 20:17:13.300723,7.137608051300049,0
37,2025-06-25 20:17:15.810249,7.0939764976501465,0
38,2025-06-25 20:17:18.550763,7.051540851593018,0
39,2025-06-25 20:17:21.036926,7.010191917419434,0
40,2025-06-25 20:17:24.374286,6.969819068908691,0
41,2025-06-25 20:17:27.100867,6.930315971374512,0
42,2025-06-25 20:17:29.566252,6.891587257385254,0
43,2025-06-25 20:17:32.016582,6.853544235229492,0
44,2025-06-25 20:17:34.081646,6.816106796264648,0
45,2025-06-25 20:17:36.515639,6.779203414916992,0
46,2025-06-25 20:17:39.780821,6.742769241333008,0
47,2025-06-25 20:17:42.595690,6.706745624542236,0
48,2025-06-25 20:17:44.946436,6.671081066131592,0
49,2025-06-25 20:17:48.053821,6.6108903884887695,0
50,2025-06-25 20:17:49.919451,6.550673484802246,0
51,2025-06-25 20:17:52.999740,6.490433216094971,0
52,2025-06-25 20:17:56.129870,6.430171012878418,0
53,2025-06-25 20:17:59.056068,6.369888782501221,0
54,2025-06-25 20:18:01.789497,6.309588432312012,0
55,2025-06-25 20:18:04.658971,6.249271869659424,0
56,2025-06-25 20:18:07.584795,6.188940048217773,0
57,2025-06-25 20:18:10.376429,6.128594398498535,0
58,2025-06-25 20:18:12.464865,6.068235874176025,0
59,2025-06-25 20:18:14.758667,6.007865905761719,0
60,2025-06-25 20:18:18.120323,5.947485446929932,0
61,2025-06-25 20:18:21.354575,6.014109134674072,0
62,2025-06-25 20:18:24.466987,6.0805840492248535,0
63,2025-06-25 20:18:26.683590,6.146896839141846,0
64,2025-06-25 20:18:30.084612,6.213035583496094,0
65,2025-06-25 20:18:32.770534,6.278988838195801,0
66,2025-06-25 20:18:36.097427,6.34474515914917,0
67,2025-06-25 20:18:38.782403,6.410295486450195,0
68,2025-06-25 20:18:41.426373,6.4756293296813965,0
69,2025-06-25 20:18:44.995246,6.540738105773926,0
70,2025-06-25 20:18:47.494416,6.605613708496094,0
71,2025-06-25 20:18:50.099419,6.670248031616211,0
72,2025-06-25 20:18:52.963004,6.7346343994140625,0
73,2025-06-25 20:18:56.377929,6.795063018798828,0
74,2025-06-25 20:18:58.301411,6.855235576629639,0
75,2025-06-25 20:19:01.111491,6.91514778137207,0
76,2025-06-25 20:19:04.013272,6.974793434143066,0
77,2025-06-25 20:19:07.110389,7.034168243408203,0
