iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
0.0,2025-01-20 19:43:55.781423,1.0,3.0510001182556152,0.0,0.0,1.0,3.0510001182556152,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,2025-01-20 19:44:00.481339,1.0,3.191577911376953,-131.25343322753906,55.41070556640625,1.0,3.2186312675476074,156.5123748779297,54.34645080566406,1.0,69.1993179321289,213.3935089111328,233.33895874023438,1.0
2.0,2025-01-20 19:44:05.426121,1.0,3.3316547870635986,-130.78567504882812,55.54426574707031,1.0,3.3848068714141846,155.15333557128906,54.51407241821289,1.0,69.21784973144531,212.4165496826172,232.2843017578125,1.0
3.0,2025-01-20 19:44:10.217198,1.0,3.471224069595337,-130.3119659423828,55.6772575378418,1.0,3.5495381355285645,153.80474853515625,54.68024444580078,1.0,69.23635864257812,211.44131469726562,231.23052978515625,1.0
4.0,2025-01-20 19:44:15.012663,1.0,3.6102800369262695,-129.8323516845703,55.80967712402344,1.0,3.7128360271453857,152.46664428710938,54.844966888427734,1.0,69.25482177734375,210.46783447265625,230.17770385742188,1.0
5.0,2025-01-20 19:44:19.936315,1.0,3.7488157749176025,-129.34690856933594,55.94152069091797,1.0,3.8747122287750244,151.13897705078125,55.00825881958008,1.0,69.27326202392578,209.4961395263672,229.12582397460938,1.0
6.0,2025-01-20 19:44:24.800507,1.0,3.8868255615234375,-128.8556671142578,56.072776794433594,1.0,4.035177230834961,149.8217315673828,55.170127868652344,1.0,69.29166412353516,208.52627563476562,228.07498168945312,1.0
7.0,2025-01-20 19:44:29.889497,1.0,4.024302959442139,-128.35867309570312,56.20344924926758,1.0,4.19424295425415,148.514892578125,55.33058547973633,1.0,69.31002807617188,207.55825805664062,227.0251922607422,1.0
8.0,2025-01-20 19:44:34.848370,1.0,4.1612420082092285,-127.85599517822266,56.33353042602539,1.0,4.351920127868652,147.2184600830078,55.48964309692383,1.0,69.32836151123047,206.59213256835938,225.9765167236328,1.0
9.0,2025-01-20 19:44:39.690489,1.0,4.29763650894165,-127.3476791381836,56.4630126953125,1.0,4.5082197189331055,145.93238830566406,55.647315979003906,1.0,69.34664916992188,205.62791442871094,224.9290008544922,1.0
10.0,2025-01-20 19:44:44.365317,1.0,4.433480739593506,-126.83378601074219,56.591896057128906,1.0,4.663152694702148,144.65667724609375,55.80360794067383,1.0,69.36490631103516,204.66566467285156,223.8826904296875,1.0
