iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,ScadaCommand_V13,ScadaCommand_V24,T1,T2,P1,J1,J2,V13F,V24F
0,2025-08-02 13:19:50.124299,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,2025-08-02 13:20:03.149939,,1.0,,,,,2.9941153526306152,3.011420488357544,1.0,69.19306182861328,69.68478393554688,233.72593688964844,144.67156982421875
2.0,2025-08-02 13:20:15.868440,,1.0,,,,,3.1352698802948,3.1790809631347656,1.0,69.21162414550781,69.70091247558594,232.66900634765625,143.90008544921875
3.0,2025-08-02 13:20:29.102022,,1.0,,,,,3.2759158611297607,3.34529185295105,1.0,69.23015594482422,69.71698760986328,231.6129913330078,143.13221740722656
4.0,2025-08-02 13:20:41.836651,,1.0,,,,,3.4160468578338623,3.510064125061035,1.0,69.2486572265625,69.73300170898438,230.5579376220703,142.3679656982422
5.0,2025-08-02 13:20:55.177909,,1.0,,,,,3.5556564331054688,3.6734089851379395,1.0,69.26712036132812,69.74897003173828,229.50389099121094,141.60731506347656
6.0,2025-08-02 13:21:08.712257,,1.0,,,,,3.6947388648986816,3.8353376388549805,1.0,69.28555297851562,69.76488494873047,228.4508819580078,140.85023498535156
7.0,2025-08-02 13:21:21.381791,,1.0,,,,,3.8332879543304443,3.995861291885376,1.0,69.30393981933594,69.78074645996094,227.39898681640625,140.0967559814453
8.0,2025-08-02 13:21:34.673991,,1.0,,,,,3.971297264099121,4.1549906730651855,1.0,69.32230377197266,69.79654693603516,226.34825134277344,139.34681701660156
9.0,2025-08-02 13:21:47.250371,,1.0,,,,,4.108761310577393,4.312736988067627,1.0,69.34062194824219,69.81230163574219,225.29867553710938,138.60043334960938
10.0,2025-08-02 13:21:59.765551,,1.0,,,,,4.245673656463623,4.469111442565918,1.0,69.35890197753906,69.8280029296875,224.25035095214844,137.85760498046875
11.0,2025-08-02 13:22:11.893342,,1.0,,,,,4.382028579711914,4.624124526977539,1.0,69.37715148925781,69.8436508178711,223.20330810546875,137.1182861328125
