,J1,J2,J3,J4,J5,J1S,J2S
54,-0.0001249555874259878,-0.00012498021514716683,-0.000125011206536072,-0.0001259420359164265,-0.00012501375133542326,0,0
55,-0.00012475328252949114,-0.0001247779001921412,-0.00012480891275064242,-0.00012573964986981157,-0.00012481145796874537,0,0
56,-0.00012455097601740515,-0.00012457558434868286,-0.00012460661652626714,-0.0001255372694140977,-0.00012460916213482775,0,0
57,-0.0001243486686550835,-0.00012437326855332443,-0.0001244043184005328,-0.00012533489405130993,-0.00012440686436559822,0,0
58,-0.00012414636000962736,-0.00012417095216096186,-0.00012420201828289846,-0.00012513252337401415,-0.00012420456457051587,0,0
59,-0.00012394405045310336,-0.00012396863555073524,-0.0001239997164732809,-0.00012493015696628807,-0.00012400226306081508,0,0
60,-0.0001226081571647575,-0.0001226476611079841,-0.0001227567744688507,-0.0001247275204637155,-0.00012276341070998064,0,0
61,-0.00015834413123187507,-0.00014172091628490146,-0.000125504983250595,-0.00012441831479130582,-0.00012539329566458202,0,0
62,-0.0001583968087782017,-0.00014184699890481766,-0.00012574072177230498,-0.0001246414021168085,-0.000125630117462987,0,0
63,-0.00015844926922723657,-0.00014197278124015333,-0.00012597463945976495,-0.00012486402187208534,-0.00012586508860523037,0,0
64,-0.00015850151087850816,-0.00014209823909385076,-0.00012620675739203002,-0.00012508612819816633,-0.0001260982317265391,0,0
65,-0.00015855353297090702,-0.00014222335649958674,-0.00012643709660288492,-0.00012530767816734345,-0.0001263295693376465,0,0
66,-0.00015860533454526538,-0.0001423481149445749,-0.00012666567800162065,-0.00012552863165301797,-0.00012655912365502786,0,0
67,-0.00015865691542616022,-0.00014247249747220082,-0.00012689252234474035,-0.00012574895104676021,-0.0001267869167027591,0,0
68,-0.00015870827442241274,-0.00014259648844718143,-0.00012711765007751284,-0.00012596860111118046,-0.00012701297008616442,0,0
69,-0.00015875941168398133,-0.00014272007358385907,-0.00012734108144148992,-0.0001261875487988473,-0.00012723730513894527,0,0
