iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,ScadaCommand_V13,ScadaCommand_V24,T1,T2,P1,J1,J2,V13F,V24F
19.0,2025-07-10 18:41:02.501314,False,1.0,1,1,,,5.568361282348633,5.911693096160889,1.0,69.62041473388672,70.05886840820312,212.5126495361328,131.311279296875
20.0,2025-07-10 18:41:13.532543,False,1.0,1,1,,,5.71533727645874,6.068478107452393,1.0,69.64021301269531,70.07556915283203,211.36402893066406,130.53651428222656
21.0,2025-07-10 18:41:25.147320,False,1.0,1,1,,,5.861529350280762,6.223988056182861,1.0,69.65996551513672,70.09221649169922,210.2174072265625,129.76463317871094
22.0,2025-07-10 18:41:35.767698,False,1.0,1,1,,,6.006933212280273,6.378231048583984,1.0,69.67967224121094,70.10881805419922,209.0727996826172,128.9956512451172
23.0,2025-07-10 18:41:47.705093,False,1.0,1,1,,,6.151546001434326,6.531215190887451,1.0,69.69932556152344,70.1253662109375,207.9302520751953,128.2295684814453
24.0,2025-07-10 18:41:59.107538,False,1.0,1,1,,,6.295365810394287,6.682949066162109,1.0,69.67942810058594,70.10411834716797,207.50294494628906,127.25273132324219
25.0,2025-07-10 18:42:10.665073,False,1.0,1,1,,,6.4305419921875,6.826920986175537,1.0,69.69805908203125,70.11983489990234,206.4209747314453,126.52424621582031
26.0,2025-07-10 18:42:21.378153,False,1.0,1,1,,,6.565001964569092,6.969670295715332,1.0,69.71664428710938,70.13550567626953,205.34104919433594,125.79888153076172
27.0,2025-07-10 18:42:32.941813,False,1.0,0,1,,,6.698742866516113,7.111205577850342,1.0,69.73517608642578,70.151123046875,204.26321411132812,125.07661437988281
28.0,2025-07-10 18:42:44.280279,False,0.0,0,1,,,6.831759929656982,7.251535892486572,1.0,67.8515396118164,63.74811553955078,184.82106018066406,80.57233428955078
29.0,2025-07-10 18:42:56.218506,False,0.0,0,1,,,6.949524879455566,7.338629722595215,1.0,67.87423706054688,63.79713439941406,183.9436492919922,80.2532958984375
30.0,2025-07-10 18:43:08.639306,False,0.0,0,0,,,7.065941333770752,7.425790309906006,1.0,67.89688873291016,63.846153259277344,183.07061767578125,79.93265533447266
31.0,2025-07-10 18:43:20.450381,False,0.0,0,0,,,7.181044101715088,7.512986183166504,0.0,58.38880920410156,58.433692932128906,0.41691988706588745,-19.454303741455078
32.0,2025-07-10 18:43:31.864283,False,0.0,0,0,,,7.1446099281311035,7.449641704559326,0.0,58.34711456298828,58.387184143066406,-0.060591425746679306,-18.976795196533203
33.0,2025-07-10 18:43:44.455660,False,0.0,0,0,,,7.107036113739014,7.387437343597412,0.0,58.304481506347656,58.340301513671875,-0.5042766332626343,-18.533109664916992
34.0,2025-07-10 18:43:55.960273,False,0.0,0,0,,,7.0684027671813965,7.326292037963867,0.0,58.26089096069336,58.29299545288086,-0.9128754734992981,-18.12451171875
35.0,2025-07-10 18:44:07.658208,False,0.0,0,0,,,7.028791427612305,7.266125202178955,0.0,58.21648025512695,58.245330810546875,-1.2888708114624023,-17.748510360717773
36.0,2025-07-10 18:44:19.725262,False,0.0,0,0,,,6.988276481628418,7.20686149597168,0.0,58.253658294677734,58.286598205566406,1.706619381904602,-14.431018829345703
37.0,2025-07-10 18:44:31.422674,False,0.0,0,0,,,6.96739387512207,7.1610541343688965,0.0,58.22804641723633,58.256107330322266,1.14281165599823,-13.867204666137695
38.0,2025-07-10 18:44:43.695008,False,0.0,0,0,,,6.945131778717041,7.116626262664795,0.0,58.20151138305664,58.225379943847656,0.6213366389274597,-13.345735549926758
39.0,2025-07-10 18:44:56.356943,False,0.0,0,0,,,6.921604633331299,7.073462963104248,0.0,58.174156188964844,58.19443893432617,0.14100044965744019,-12.865402221679688
40.0,2025-07-10 18:45:08.307254,False,0.0,0,0,,,6.896923542022705,7.031454086303711,0.0,58.145999908447266,58.16324996948242,-0.2972204387187958,-12.427181243896484
41.0,2025-07-10 18:45:19.510145,False,0.0,0,0,,,6.87119722366333,6.990489959716797,0.0,58.11690139770508,58.13164520263672,-0.6872735619544983,-12.03711986541748
42.0,2025-07-10 18:45:31.039553,False,0.0,0,0,,,6.844536781311035,6.950460433959961,0.0,58.0870361328125,58.09970474243164,-1.0333223342895508,-11.691070556640625
43.0,2025-07-10 18:45:42.793637,False,0.0,0,0,,,6.817044258117676,6.911263465881348,0.0,58.05654525756836,58.06749725341797,-1.3395273685455322,-11.384865760803223
44.0,2025-07-10 18:45:54.745344,False,0.0,0,0,,,6.788811683654785,6.872805595397949,0.0,58.02553939819336,58.03507614135742,-1.6097100973129272,-11.114688873291016
45.0,2025-07-10 18:46:06.879838,False,0.0,0,0,,,6.75992488861084,6.8350019454956055,0.0,57.994117736816406,58.00248336791992,-1.8474431037902832,-10.876947402954102
46.0,2025-07-10 18:46:19.550208,False,0.0,0,0,,,6.7304606437683105,6.797776222229004,0.0,57.96235275268555,57.969749450683594,-2.056087017059326,-10.668303489685059
47.0,2025-07-10 18:46:31.623431,False,0.0,0,0,,,6.700488090515137,6.761058807373047,0.0,57.93031311035156,57.93690490722656,-2.2387478351593018,-10.485642433166504
48.0,2025-07-10 18:46:42.919879,False,0.0,0,0,,,6.670069217681885,6.724787712097168,0.0,57.724571228027344,57.73196029663086,-6.2024431228637695,-16.881437301635742
49.0,2025-07-10 18:46:54.422434,False,0.0,0,0,,,6.609609127044678,6.664260387420654,0.0,57.664085388183594,57.67146682739258,-6.203588008880615,-16.880285263061523
50.0,2025-07-10 18:47:05.342043,False,0.0,0,0,,,6.549145698547363,6.60373592376709,0.0,57.603599548339844,57.61097717285156,-6.204639434814453,-16.87923812866211
51.0,2025-07-10 18:47:16.621716,False,0.0,0,0,,,6.488679885864258,6.543214321136475,0.0,57.54310989379883,57.55048751831055,-6.20559549331665,-16.878280639648438
52.0,2025-07-10 18:47:27.053243,False,0.0,0,0,,,6.428211688995361,6.48269510269165,0.0,57.48262405395508,57.489994049072266,-6.206473350524902,-16.877395629882812
53.0,2025-07-10 18:47:38.032177,False,0.0,0,0,,,6.367741584777832,6.422177791595459,0.0,57.42213439941406,57.42950439453125,-6.207278728485107,-16.876596450805664
54.0,2025-07-10 18:47:49.034753,False,0.0,0,0,,,6.307269096374512,6.361662864685059,0.0,57.36164855957031,57.36901092529297,-6.208012104034424,-16.875864028930664
55.0,2025-07-10 18:48:00.654248,False,0.0,0,0,,,6.246794700622559,6.301149368286133,0.0,57.3011589050293,57.30851745605469,-6.208683967590332,-16.87519073486328
56.0,2025-07-10 18:48:10.951169,False,0.0,0,0,,,6.186318874359131,6.24063777923584,0.0,57.24066925048828,57.24802780151367,-6.209304332733154,-16.874574661254883
57.0,2025-07-10 18:48:19.547190,False,0.0,0,0,,,6.1258416175842285,6.1801276206970215,0.0,57.180179595947266,57.18753433227539,-6.209860324859619,-16.874008178710938
58.0,2025-07-10 18:48:28.363151,False,0.0,0,0,,,6.065362930297852,6.119618892669678,0.0,57.11968994140625,57.12704086303711,-6.210373401641846,-16.873498916625977
59.0,2025-07-10 18:48:37.507711,False,0.0,0,0,,,6.0048828125,6.059111595153809,0.0,57.05919647216797,57.06654739379883,-6.210839748382568,-16.87303352355957
60.0,2025-07-10 18:48:46.986076,False,0.0,0,1,,,5.944401741027832,5.998605251312256,0.0,56.659767150878906,56.67157745361328,-10.55433464050293,-25.59286880493164
61.0,2025-07-10 18:48:56.148387,False,0.0,0,1,,,5.847628593444824,5.905921459197998,1.0,67.34480285644531,62.37446975708008,194.6541748046875,80.3380126953125
62.0,2025-07-10 18:49:06.940377,False,0.0,0,1,,,5.92471170425415,5.972624778747559,1.0,67.36054992675781,62.41217041015625,194.06752014160156,80.0945053100586
