iteration,timestamp,P79,T41,V1F,J21,V1,T42,J2,P1F,P1
0.0,2025-01-14 15:43:27.896035,1.0,3.0510001182556152,0.0,0.0,1.0,3.0510001182556152,0.0,0.0,1.0
1.0,2025-01-14 15:43:32.125780,1.0,3.2052395343780518,-176.32901000976562,54.34638595581055,1.0,3.1514227390289307,64.2179946899414,175.35145568847656,1.0
2.0,2025-01-14 15:43:36.432052,1.0,3.3511013984680176,-168.5069122314453,54.500587463378906,1.0,3.258204936981201,64.2435073852539,174.24139404296875,1.0
3.0,2025-01-14 15:43:40.889761,1.0,3.4930617809295654,-164.86407470703125,54.64643096923828,1.0,3.366905450820923,64.26813507080078,173.16983032226562,1.0
4.0,2025-01-14 15:43:45.183127,1.0,3.631892442703247,-161.94232177734375,54.78837966918945,1.0,3.476769208908081,64.29236602783203,172.11563110351562,1.0
5.0,2025-01-14 15:43:49.722226,1.0,3.7680163383483887,-159.4147186279297,54.92719650268555,1.0,3.5873889923095703,64.31627655029297,171.07522583007812,1.0
6.0,2025-01-14 15:43:54.249966,1.0,3.9017114639282227,-157.14727783203125,55.06331253051758,1.0,3.6984994411468506,64.33991241455078,170.0466766357422,1.0
7.0,2025-01-14 15:43:58.757215,1.0,4.033182144165039,-155.0703887939453,55.196998596191406,1.0,3.8099091053009033,64.36331176757812,169.0287322998047,1.0
8.0,2025-01-14 15:44:03.054212,1.0,4.1625871658325195,-153.14154052734375,55.328460693359375,1.0,3.9214706420898438,64.38648223876953,168.0204620361328,1.0
9.0,2025-01-14 15:44:07.757500,1.0,4.2900543212890625,-151.33238220214844,55.45785903930664,1.0,4.033067226409912,64.4094467163086,167.02117919921875,1.0
10.0,2025-01-14 15:44:12.312657,1.0,4.4156904220581055,-149.6228485107422,55.58531951904297,1.0,4.144603252410889,64.43222045898438,166.03033447265625,1.0
11.0,2025-01-14 15:44:16.604124,1.0,4.539586544036865,-147.9980926513672,55.7109489440918,1.0,4.255997180938721,64.4548110961914,165.0474395751953,1.0
12.0,2025-01-14 15:44:21.095301,1.0,4.661820888519287,-146.44667053222656,55.8348388671875,1.0,4.367181301116943,64.47722625732422,164.0721435546875,1.0
13.0,2025-01-14 15:44:25.566208,1.0,4.80118465423584,-151.72589111328125,55.9571418762207,1.0,4.4868245124816895,64.555419921875,160.66952514648438,1.0
14.0,2025-01-14 15:44:30.170067,1.0,4.938501358032227,-149.8144989013672,56.09649658203125,1.0,4.606429576873779,64.58061218261719,159.5734405517578,1.0
15.0,2025-01-14 15:44:34.377971,1.0,5.073867321014404,-147.9931182861328,56.233802795410156,1.0,4.725911617279053,64.60560607910156,158.48593139648438,1.0
16.0,2025-01-14 15:44:38.830940,1.0,5.207365989685059,-146.25,56.369163513183594,1.0,4.845196723937988,64.63041687011719,157.4066162109375,1.0
17.0,2025-01-14 15:44:43.211072,1.0,5.339071750640869,-144.5758819580078,56.502655029296875,1.0,4.964221477508545,64.65503692626953,156.33511352539062,1.0
18.0,2025-01-14 15:44:47.593109,1.0,5.469050407409668,-142.96319580078125,56.63435363769531,1.0,5.082929611206055,64.67948913574219,155.27113342285156,1.0
19.0,2025-01-14 15:44:51.785205,1.0,5.597361087799072,-141.40573120117188,56.76432418823242,1.0,5.201272010803223,64.70378112792969,154.2144012451172,1.0
20.0,2025-01-14 15:44:56.136830,1.0,5.724056720733643,-139.89828491210938,56.89262771606445,1.0,5.319204807281494,64.7279052734375,153.16468811035156,1.0
21.0,2025-01-14 15:45:00.382829,1.0,5.84918737411499,-138.4364013671875,57.019317626953125,1.0,5.436688423156738,64.75186920166016,152.1217803955078,1.0
22.0,2025-01-14 15:45:04.733276,1.0,5.972796440124512,-137.01634216308594,57.14444351196289,1.0,5.55368709564209,64.77568817138672,151.08547973632812,1.0
23.0,2025-01-14 15:45:09.283009,1.0,6.094925880432129,-135.634765625,57.26804733276367,1.0,5.670169353485107,64.79935455322266,150.05560302734375,1.0
24.0,2025-01-14 15:45:13.525042,1.0,6.215613842010498,-134.28880310058594,57.39017105102539,1.0,5.786105155944824,64.82288360595703,149.0320281982422,1.0
25.0,2025-01-14 15:45:18.005651,1.0,6.3261494636535645,-129.80255126953125,57.51082229614258,1.0,5.897390365600586,64.82036590576172,149.14144897460938,1.0
26.0,2025-01-14 15:45:22.481898,1.0,6.435536861419678,-128.73040771484375,57.62135314941406,1.0,6.007969379425049,64.84208679199219,148.1962432861328,1.0
27.0,2025-01-14 15:45:26.893960,1.0,6.543795585632324,-127.67652893066406,57.730735778808594,1.0,6.117830276489258,64.86369323730469,147.25611877441406,1.0
28.0,2025-01-14 15:45:31.427474,1.0,6.650944232940674,-126.6400375366211,57.838993072509766,1.0,6.226963043212891,64.88518524169922,146.32098388671875,1.0
29.0,2025-01-14 15:45:35.839937,1.0,6.75700044631958,-125.6200942993164,57.946136474609375,1.0,6.335357666015625,64.90656280517578,145.3908233642578,1.0
30.0,2025-01-14 15:45:40.105336,1.0,6.86198091506958,-124.6159439086914,58.052188873291016,1.0,6.4430060386657715,64.9278335571289,144.46554565429688,1.0
31.0,2025-01-14 15:45:44.628137,1.0,6.965902328491211,-123.62686157226562,58.15716552734375,1.0,6.549899578094482,64.94898223876953,143.5451202392578,1.0
32.0,2025-01-14 15:45:48.937927,1.0,7.068779468536377,-122.6521987915039,58.261085510253906,1.0,6.656030654907227,64.97002410888672,142.62950134277344,1.0
33.0,2025-01-14 15:45:53.231140,1.0,7.088842391967773,-45.33051681518555,58.36378860473633,1.0,6.751138210296631,60.30218505859375,0.0,0.0
34.0,2025-01-14 15:45:58.027587,1.0,7.111118793487549,-47.39769744873047,58.383853912353516,1.0,6.843320369720459,60.32052230834961,0.0,0.0
35.0,2025-01-14 15:46:02.385887,1.0,7.135654926300049,-49.50693893432617,58.406131744384766,1.0,6.932532787322998,60.34027099609375,0.0,0.0
36.0,2025-01-14 15:46:06.945088,1.0,7.162520885467529,-51.68253707885742,58.43067169189453,1.0,7.018704891204834,60.361454010009766,0.0,0.0
37.0,2025-01-14 15:46:11.332768,1.0,7.208634853363037,-60.833152770996094,58.45756149291992,1.0,7.1091132164001465,60.46521759033203,0.0,0.0
38.0,2025-01-14 15:46:15.660594,1.0,7.256748199462891,-62.69971466064453,58.50368118286133,1.0,7.196666240692139,60.50121307373047,0.0,0.0
39.0,2025-01-14 15:46:19.980056,1.0,7.307034492492676,-64.72858428955078,58.551795959472656,1.0,7.281192302703857,60.53845977783203,0.0,0.0
40.0,2025-01-14 15:46:24.146144,1.0,7.35988187789917,-67.11976623535156,58.602088928222656,1.0,7.362305164337158,60.57706832885742,0.0,0.0
41.0,2025-01-14 15:46:28.558749,1.0,7.418724536895752,-72.71733856201172,58.654945373535156,1.0,7.436573505401611,60.61729431152344,0.0,0.0
42.0,2025-01-14 15:46:32.916955,1.0,7.479857921600342,-74.85601806640625,58.71379470825195,1.0,7.507704734802246,60.66130447387695,0.0,0.0
43.0,2025-01-14 15:46:37.157211,1.0,7.54170560836792,-75.52330017089844,58.77492904663086,1.0,7.577277183532715,60.70674514770508,0.0,0.0
44.0,2025-01-14 15:46:41.685208,1.0,7.603888511657715,-75.83592224121094,58.83677673339844,1.0,7.6456732749938965,60.752620697021484,0.0,0.0
45.0,2025-01-14 15:46:46.138812,1.0,7.6662092208862305,-75.9648208618164,58.89896011352539,1.0,7.713093280792236,60.79868698120117,0.0,0.0
46.0,2025-01-14 15:46:50.526203,1.0,7.728543281555176,-75.97700500488281,58.961280822753906,1.0,7.779664993286133,60.84482192993164,0.0,0.0
47.0,2025-01-14 15:46:55.002807,1.0,7.7908034324646,-75.90830993652344,59.02361297607422,1.0,7.84547758102417,60.89094161987305,0.0,0.0
48.0,2025-01-14 15:46:59.320225,1.0,7.852926731109619,-75.78047180175781,59.08587646484375,1.0,7.910597324371338,60.93699264526367,0.0,0.0
49.0,2025-01-14 15:47:03.654906,1.0,7.887259006500244,-64.30753326416016,59.14794921875,1.0,7.962897777557373,60.85466384887695,0.0,0.0
50.0,2025-01-14 15:47:07.916488,1.0,7.922585487365723,-65.23600769042969,59.18228530883789,1.0,8.013635635375977,60.881107330322266,0.0,0.0
51.0,2025-01-14 15:47:12.361119,0.0,7.8677077293396,18.98529815673828,59.217529296875,1.0,7.9672651290893555,59.18025207519531,0.0,0.0
52.0,2025-01-14 15:47:17.041865,0.0,7.813581943511963,18.28290367126465,59.16265106201172,1.0,7.920142650604248,59.1271858215332,0.0,0.0
53.0,2025-01-14 15:47:21.278770,0.0,7.760062217712402,17.7174072265625,59.10852813720703,1.0,7.8724141120910645,59.074520111083984,0.0,0.0
54.0,2025-01-14 15:47:25.590380,0.0,7.707034587860107,17.257484436035156,59.05500793457031,1.0,7.824193477630615,59.02219009399414,0.0,0.0
55.0,2025-01-14 15:47:29.892222,0.0,7.6544108390808105,16.880695343017578,59.001983642578125,1.0,7.775568962097168,58.97013473510742,0.0,0.0
56.0,2025-01-14 15:47:34.296100,0.0,7.602119445800781,16.570335388183594,58.94935989379883,1.0,7.726612091064453,58.918312072753906,0.0,0.0
57.0,2025-01-14 15:47:38.682153,0.0,7.550103187561035,16.313655853271484,58.89706802368164,1.0,7.677380561828613,58.86668395996094,0.0,0.0
58.0,2025-01-14 15:47:43.112155,0.0,7.49831485748291,16.10067367553711,58.84505081176758,1.0,7.627920627593994,58.815216064453125,0.0,0.0
59.0,2025-01-14 15:47:47.524367,0.0,7.44671630859375,15.923518180847168,58.79326248168945,1.0,7.578271389007568,58.76388168334961,0.0,0.0
60.0,2025-01-14 15:47:51.969397,0.0,7.395275592803955,15.77586841583252,58.74166488647461,1.0,7.528463840484619,58.71266174316406,0.0,0.0
61.0,2025-01-14 15:47:56.357794,0.0,7.304411888122559,34.33208465576172,58.69013214111328,1.0,7.460781574249268,58.587669372558594,0.0,0.0
62.0,2025-01-14 15:48:00.731530,0.0,7.21513032913208,32.85430145263672,58.59926986694336,1.0,7.391516208648682,58.50212860107422,0.0,0.0
63.0,2025-01-14 15:48:05.115885,0.0,7.127158164978027,31.631919860839844,58.50999450683594,1.0,7.320941925048828,58.4173469543457,0.0,0.0
64.0,2025-01-14 15:48:09.388521,0.0,7.040287971496582,30.602916717529297,58.42202377319336,1.0,7.249265670776367,58.33320999145508,0.0,0.0
65.0,2025-01-14 15:48:13.821186,0.0,6.954357147216797,29.726335525512695,58.33515930175781,1.0,7.176650524139404,58.2496337890625,0.0,0.0
66.0,2025-01-14 15:48:18.367417,0.0,6.869232654571533,28.973134994506836,58.249229431152344,1.0,7.103228569030762,58.16654586791992,0.0,0.0
67.0,2025-01-14 15:48:22.712108,0.0,6.784805774688721,28.32173728942871,58.16410446166992,1.0,7.029109001159668,58.083885192871094,0.0,0.0
