iteration,timestamp,V13F
0,2025-07-28 22:36:23.774540,0.0
1,2025-07-28 22:36:35.706082,233.7259334058217
2,2025-07-28 22:36:48.770046,232.6690124448305
3,2025-07-28 22:37:02.046474,231.6129838550296
4,2025-07-28 22:37:14.213927,230.55793455569074
5,2025-07-28 22:37:26.698060,229.5038877252864
6,2025-07-28 22:37:40.586678,228.45088392614343
7,2025-07-28 22:37:53.337338,227.39898689906113
8,2025-07-28 22:38:06.887772,226.34824879560256
9,2025-07-28 22:38:18.593615,225.29867541038584
10,2025-07-28 22:38:30.271749,224.25034786806464
11,2025-07-28 22:38:43.549873,223.20330673096578
12,2025-07-28 22:38:56.219430,220.60575906152735
13,2025-07-28 22:39:07.142980,219.44414673498613
14,2025-07-28 22:39:19.981755,218.28431915082547
15,2025-07-28 22:39:31.352077,217.12628210366347
16,2025-07-28 22:39:43.137629,215.97004718273638
17,2025-07-28 22:39:55.219841,214.81568392346162
18,2025-07-28 22:40:06.974985,213.66320970969355
19,2025-07-28 22:40:19.450075,212.51264192528652
20,2025-07-28 22:40:30.055078,211.3640327218036
21,2025-07-28 22:40:42.087656,210.21741107233538
22,2025-07-28 22:40:53.228851,209.07280015535434
23,2025-07-28 22:41:04.665524,207.93025212242355
24,2025-07-28 22:41:15.966435,207.50293959849841
25,2025-07-28 22:41:28.911621,206.4209685033802
26,2025-07-28 22:41:41.759381,205.3410429084579
27,2025-07-28 22:41:53.223148,204.26321496529454
28,2025-07-28 22:42:05.186791,184.8210543073492
29,2025-07-28 22:42:16.427382,183.94365061567441
30,2025-07-28 22:42:27.270494,183.07061606606112
31,2025-07-28 22:42:38.888189,0.4169198763293025
32,2025-07-28 22:42:51.223080,-0.060591424357880896
33,2025-07-28 22:43:02.276082,-0.5042766417773237
34,2025-07-28 22:43:13.427137,-0.912875446488215
35,2025-07-28 22:43:24.845596,-1.2888708323544051
36,2025-07-28 22:43:35.652719,1.7066193390746776
37,2025-07-28 22:43:47.187371,1.1428116880551897
38,2025-07-28 22:43:58.846550,0.6213366197016512
39,2025-07-28 22:44:09.600269,0.14100044268161582
40,2025-07-28 22:44:21.256266,-0.2972204498519204
41,2025-07-28 22:44:32.786186,-0.6872735792740059
42,2025-07-28 22:44:44.020141,-1.0333223787029056
43,2025-07-28 22:44:55.481075,-1.339527383947825
44,2025-07-28 22:45:07.121107,-1.6097101456580276
45,2025-07-28 22:45:18.094423,-1.847443045903674
46,2025-07-28 22:45:29.431098,-2.056086963193593
47,2025-07-28 22:45:40.903089,-2.2387478128393923
48,2025-07-28 22:45:51.770886,-6.202443341862818
49,2025-07-28 22:46:02.482926,-6.203587778941255
50,2025-07-28 22:46:14.318744,-6.204639502129794
51,2025-07-28 22:46:26.124856,-6.205595614119375
52,2025-07-28 22:46:37.731803,-6.206473498764353
53,2025-07-28 22:46:48.961835,-6.2072789506828485
54,2025-07-28 22:47:00.595673,-6.20801196987486
55,2025-07-28 22:47:12.174987,-6.208684145576626
56,2025-07-28 22:47:23.530791,-6.209304169715324
57,2025-07-28 22:47:34.104927,-6.209860453054716
58,2025-07-28 22:47:45.179068,-6.210373276758219
59,2025-07-28 22:47:55.486396,-6.210839743516772
60,2025-07-28 22:48:05.756811,-10.554334825201295
61,2025-07-28 22:48:17.007529,194.65417937226448
62,2025-07-28 22:48:28.590739,194.067520644694
63,2025-07-28 22:48:39.072959,193.4845125265383
64,2025-07-28 22:48:50.691028,192.90509707161618
65,2025-07-28 22:49:02.381692,192.32923951221892
66,2025-07-28 22:49:14.358761,191.75689349140157
67,2025-07-28 22:49:24.810746,191.1880126522192
68,2025-07-28 22:49:35.930052,190.62255643234494
69,2025-07-28 22:49:48.620392,190.060484269452
70,2025-07-28 22:50:00.108212,189.5017498065954
71,2025-07-28 22:50:11.831512,188.94632407068457
72,2025-07-28 22:50:23.002862,188.49283146209928
73,2025-07-28 22:50:35.195948,187.97763775978638
74,2025-07-28 22:50:46.128848,187.46548043736766
75,2025-07-28 22:50:58.047941,186.95633631637065
76,2025-07-28 22:51:10.328094,186.4501590398504
77,2025-07-28 22:51:22.607129,185.9469138400982
78,2025-07-28 22:51:34.078742,185.44656594940534
79,2025-07-28 22:51:46.424596,-12.36602218000371
80,2025-07-28 22:51:58.671239,-12.242098476917818
81,2025-07-28 22:52:10.420446,-12.125615063496298
82,2025-07-28 22:52:21.593870,-12.016114164907776
83,2025-07-28 22:52:33.629238,-11.913140903629937
84,2025-07-28 22:52:44.699751,-17.050669608806857
85,2025-07-28 22:52:56.316978,-16.955765353259267
86,2025-07-28 22:53:07.848451,-16.86494050886722
87,2025-07-28 22:53:20.535277,-16.778029929014338
88,2025-07-28 22:53:31.817347,-16.6948423913027
89,2025-07-28 22:53:43.172874,195.1797802087185
90,2025-07-28 22:53:54.568780,194.93110996677387
91,2025-07-28 22:54:06.549639,194.684821312876
92,2025-07-28 22:54:17.582564,194.4408157385169
93,2025-07-28 22:54:28.992496,194.19899473518853
94,2025-07-28 22:54:41.328286,193.959265589001
95,2025-07-28 22:54:53.382020,193.72157035377313
96,2025-07-28 22:55:04.260474,193.4670996990917
97,2025-07-28 22:55:15.765945,193.244696461079
98,2025-07-28 22:55:27.162681,193.0240026354113
99,2025-07-28 22:55:39.070315,192.80496027590743
100,2025-07-28 22:55:51.293686,192.58750564176808
101,2025-07-28 22:56:03.572786,192.37160975990264
102,2025-07-28 22:56:15.839468,192.15722047874806
103,2025-07-28 22:56:26.664774,191.94429144135938
104,2025-07-28 22:56:37.971070,191.7327878800279
105,2025-07-28 22:56:49.388137,191.52268661628113
106,2025-07-28 22:57:00.260720,191.31394129317414
107,2025-07-28 22:57:12.123844,191.10654032147067
108,2025-07-28 22:57:22.370964,190.89968404387037
109,2025-07-28 22:57:33.954992,190.43289858132084
110,2025-07-28 22:57:45.431341,189.96922482870104
111,2025-07-28 22:57:56.375645,189.50862801830226
112,2025-07-28 22:58:07.383035,189.0510444093252
113,2025-07-28 22:58:19.113155,188.59644502867923
114,2025-07-28 22:58:30.798034,188.14476034094696
115,2025-07-28 22:58:42.930687,187.6959613730378
116,2025-07-28 22:58:54.794405,187.24999017877053
117,2025-07-28 22:59:07.122669,186.8068235796727
118,2025-07-28 22:59:18.258451,186.36640362956314
