iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J1S_LEVEL,J2S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V13_FLOW,V13_STATUS,V24_FLOW,V24_STATUS,plc3AttackerUnit,plc2AttackerUnit
284,2025-07-28 23:33:44.287319,6.103205787800275,6.1219860657060226,56.94407152115207,56.951674441086666,56.980333474226974,57.41687292418806,56.981937916084966,56.9440715494288,56.95167450650796,0.0,0.0,0.0,0.0,-9.457118089812866,1.0,-21.880075290141576,1.0,0,0
285,2025-07-28 23:33:58.430784,6.018543041210337,6.042402949241907,56.86147049566571,56.8693896227238,56.897247456873956,57.33728935630576,56.89883358492426,56.861470523737594,56.869389688349955,0.0,0.0,0.0,0.0,-9.388605422486762,1.0,-21.94859085477674,1.0,0,0
286,2025-07-28 23:34:11.022773,5.934051586286,5.962648540012664,56.77889351608243,56.78711245990125,56.814221437050605,57.257534526076725,56.81579060187284,56.77889354396351,56.787112525718186,0.0,0.0,0.0,0.0,-9.32479508776396,1.0,-22.012395394881423,1.0,0,0
287,2025-07-28 23:34:25.691846,5.849719604412489,5.882734662416463,67.41134823805153,62.55103365318021,57.62583485173278,57.17784181641133,57.59150899526984,67.41134765710564,62.55103340800641,0.0,0.0,307.6318006254561,1.0,194.29666881819685,1.0,81.99808803965425,1.0,0,0
288,2025-07-28 23:34:38.570821,5.937679603863725,5.960015282796799,67.46465174668748,62.68904450227248,57.76191507411701,57.255134823044976,57.72733741343952,67.46465116840025,62.6890442556066,0.0,0.0,304.8223381099362,1.0,193.4074788732687,1.0,82.497111860107,1.0,0,0
289,2025-07-28 23:34:52.340327,6.03060884371398,6.041997881201235,67.48371340479135,62.73457918841213,57.846416958180235,57.33711673461201,57.812199989181515,67.48371282861338,62.73457894264097,0.0,0.0,303.8176572681522,1.0,192.70204206350172,1.0,82.19787198584072,1.0,0,0
290,2025-07-28 23:35:04.682792,6.122716712204295,6.1237257978110335,67.50270383931914,62.779973731905066,57.930298847277754,57.41884394030495,57.89643487451418,67.50270326523928,62.77997348702859,0.0,0.0,302.8167304000237,1.0,192.00033119318505,1.0,81.89864659811974,1.0,0,0
291,2025-07-28 23:35:17.412693,6.21401686782887,6.205189391105438,67.52162280273764,62.82522406602155,58.0135664944487,57.50030680016582,57.98004811766479,67.52162223074477,62.82522382203961,0.0,0.0,301.8195705522588,1.0,191.30234046770056,1.0,81.59947046465277,1.0,0,0
292,2025-07-28 23:35:30.232991,6.30452248247337,6.286379521252606,67.54047004317749,62.87032574756166,58.09622558804782,57.58149617583331,58.0630456867835,67.54046947326061,62.87032550447391,0.0,0.0,300.8261910001104,1.0,190.60802932472143,1.0,81.30041022354817,1.0,0,0
293,2025-07-28 23:35:41.859068,6.394246264918412,6.36728751983436,67.55924556932563,62.91527547347422,58.17828178876205,57.66240340030651,58.14543350616909,67.55924500147388,62.91527523128026,0.0,0.0,299.83659128571657,1.0,189.91734561268458,1.0,81.0014832586603,1.0,0,0
294,2025-07-28 23:35:54.116105,6.483200487066678,6.4479051729183965,67.57794921664909,62.96007008817979,58.25974068923837,57.743020260995756,58.227217418572266,67.57794865085165,62.960069846879065,0.0,0.0,298.85078008109866,1.0,189.2302835369719,1.0,80.70274172155223,1.0,0,0
295,2025-07-28 23:36:06.975440,6.571397004842984,6.52822469621851,67.59658044523682,63.00470496329252,58.34060779043279,57.82333897484846,58.30840316330357,67.596579881483,63.004704722884355,0.0,0.0,297.86878584329367,1.0,188.54680253525657,1.0,80.40422617455079,1.0,0,0
296,2025-07-28 23:36:30.382255,6.658847275734976,6.60823869723619,67.61513954869692,63.04917815948801,58.42088859380675,57.90335215060161,58.38899646501525,67.61513898697606,63.04917791997166,0.0,0.0,296.8905930971308,1.0,187.86687363444798,1.0,80.10595979612845,1.0,1,1
297,2025-07-28 23:36:53.762433,6.745562385052208,6.687940179193643,67.63362614819869,63.09348609238844,58.50058848022226,57.983052792606166,58.46900291884505,67.6336255885003,63.09348585376302,0.0,0.0,295.9162218095965,1.0,187.19046786145555,1.0,79.80798894323016,1.0,1,1
298,2025-07-28 23:37:16.009468,6.831553058225639,6.76732250398695,67.65204023427691,63.137625554327556,58.57971278736272,58.062434263838945,58.548428064862435,67.65203967659048,63.1376253165921,0.0,0.0,294.9456724795769,1.0,186.5175678324249,1.0,79.51034258894651,1.0,1,1
299,2025-07-28 23:37:38.010791,6.916829680684735,6.846379377222687,67.67038181482762,63.18159461546202,58.65826678052678,58.14149027096187,58.6272773608656,67.67038125914283,63.18159437861543,0.0,0.0,293.9789446908961,1.0,185.848121395793,1.0,79.21306129560435,1.0,1,1
300,2025-07-28 23:38:01.985800,7.00140231359994,6.925104841903202,67.89292877273999,63.74860700328717,59.08044263678364,58.22029524983467,59.04639426634886,67.89292822373582,63.748606754316576,0.0,0.0,282.24918520230784,1.0,183.6137977738872,1.0,83.26792065417976,1.0,1,1
301,2025-07-28 23:38:23.904468,7.117748060725309,7.030515667593546,67.91751067203022,63.805763133478756,59.185067206114866,58.32570461533478,59.15143307594483,67.91751012572419,63.80576288568393,0.0,0.0,280.95354957937235,1.0,182.71140768888472,1.0,82.87468627941053,1.0,1,1
302,2025-07-28 23:38:45.018430,7.2331433946069446,7.135489236136405,67.9420166281836,63.86270514868286,59.28894857214413,58.430676708816655,59.255721893296204,67.94201608456449,63.8627049020631,0.0,0.0,279.6619166834951,1.0,181.81277251642314,1.0,82.48168948398416,1.0,1,1
303,2025-07-28 23:39:06.816371,7.347598623595116,7.240019513194599,67.96644651067251,63.91943117526033,59.392091730274835,58.535205497004206,59.35926588556826,67.96644596972915,63.91943092981481,0.0,0.0,278.3742933943815,1.0,180.91786907802998,1.0,82.08896503560936,1.0,1,1
304,2025-07-28 23:39:30.264217,7.461123826092294,7.3441007184232445,67.99080014049255,63.97593824938872,59.49450163922914,58.63928520053983,59.4620701770425,67.99079960221378,63.97593800511656,0.0,0.0,277.0906891467974,1.0,180.02669737370525,1.0,81.69653611275862,1.0,1,1
305,2025-07-28 23:39:52.735116,7.573728858298441,7.447727305904476,68.01507699132533,64.03222439614312,59.59618318538179,58.742910274480366,59.56413981495981,68.01507645570004,64.03222415304334,0.0,0.0,275.8111316813523,1.0,179.1392458142127,1.0,81.30443168852253,1.0,1,1
306,2025-07-28 23:40:15.821379,7.685423358754095,7.550893962960648,68.03927696286036,64.08828691185293,59.697141261940374,58.846075407066586,59.66547984602078,68.03927642987749,64.08828666992451,0.0,0.0,274.5356262851014,1.0,178.25549122107986,1.0,80.91267494137355,1.0,1,1
307,2025-07-28 23:40:39.032888,7.796216759464879,7.653595595708497,68.06339983643775,64.14412354522953,59.797380711498235,58.94877550531036,59.76609526134152,68.0633993060863,64.1441233044713,0.0,0.0,273.2641844829273,1.0,177.37541621045239,1.0,80.52130643363853,1.0,1,1
308,2025-07-28 23:41:01.846525,7.906118291727698,7.755827324542768,68.08744538600524,64.19973285310643,59.89690633632283,59.051005690490456,59.865991006557266,68.08744485827421,64.19973261351718,0.0,0.0,271.99681818934505,1.0,176.49902078233026,1.0,80.1303377545537,1.0,1,1
309,2025-07-28 23:41:24.024832,8.015136992663198,7.8575844833868,68.11141336003713,64.25511202778519,59.995722896486235,59.15276129734062,59.965171980225804,68.11141283491563,64.25511178936362,0.0,0.0,270.73354066149045,1.0,175.62627016900478,1.0,79.73980946644588,1.0,1,1
310,2025-07-28 23:41:46.282652,8.123281711369556,7.958862599677783,68.13530354123257,64.310259570526,60.093835112893544,59.254037854115595,60.06364303694207,68.13530301870968,64.31025933327075,0.0,0.0,269.4743633526212,1.0,174.75716437047595,1.0,79.34973895316944,1.0,1,1
311,2025-07-28 23:42:09.401451,8.230561115130412,8.059657399117922,68.1591156476459,64.36517356214254,60.19124765828863,59.3548310872915,60.16140897886334,68.1591151277108,64.36517332605219,0.0,0.0,268.21930112321496,1.0,173.89168020827128,1.0,78.96014359857872,1.0,1,1
312,2025-07-28 23:42:31.108194,8.336983694619214,8.15996479474995,67.9097443890977,63.72661033652343,59.87045207038998,59.45503836939546,59.84579228162851,67.9097438666512,63.72661011991755,0.0,0.0,281.3628862504892,1.0,174.73161589919073,1.0,72.44357980312088,1.0,1,1
313,2025-07-28 23:42:54.298693,8.39606595031934,8.223046925019712,67.92400601087742,63.7620075464967,59.92707981237362,59.51811951447264,59.902550832269796,67.92400548991932,63.76200733064996,0.0,0.0,280.61120042668415,1.0,174.2338234350882,1.0,72.18968861025132,1.0,1,1
314,2025-07-28 23:43:17.045679,8.454800620189635,8.285671543072096,67.93820413682047,63.79717848752679,59.983371668560444,59.58074316122706,59.95897319339711,67.93820361734484,63.79717827243509,0.0,0.0,279.86286127137487,1.0,173.73801273038225,1.0,71.93716494725777,1.0,1,1
315,2025-07-28 23:43:39.123265,8.513187660456696,8.347842296376545,67.95233815725275,63.832124369512385,60.039327985325436,59.64291295685785,60.01505969100978,67.95233763925359,63.83212415517166,0.0,0.0,279.11790091859143,1.0,173.24420696354537,1.0,71.6860030195221,1.0,1,1
316,2025-07-28 23:44:01.559013,8.57122708113117,8.409562770294382,67.96640875745011,63.866847207930356,60.094949233422014,59.70463248648516,60.07081077149102,67.9664082409214,63.86684699433658,0.0,0.0,278.3762832495687,1.0,172.75241772381378,1.0,71.43618544318997,1.0,1,1
317,2025-07-28 23:44:24.026174,8.62891895724725,8.470836499939542,67.98041524395184,63.90134746052505,60.150235835546674,59.76590528495035,60.12622683901902,67.98041472888754,63.90134724767423,0.0,0.0,277.63804481446954,1.0,172.2626450111875,1.0,71.18770642364325,1.0,1,1
318,2025-07-28 23:44:47.075891,8.68626341378286,8.531666953517487,67.99435813243277,63.93562745051908,60.20518832848924,59.82673482023746,60.18130840821235,67.99435761882683,63.935627238407186,0.0,0.0,276.90315843367256,1.0,171.77490041490273,1.0,70.94057175550006,1.0,1,1
319,2025-07-28 23:45:09.204775,8.743260635994208,8.592057554846301,68.00823704584235,63.96968766247016,60.25980723129619,59.887124515907175,60.23605597994504,68.00823653368866,63.969687451093264,0.0,0.0,276.17164398034345,1.0,171.28919552419575,1.0,70.69475246566981,1.0,1,1
320,2025-07-28 23:45:32.421305,8.79991085921785,8.65201166444144,68.02205230668662,64.00353039237505,60.314093142340205,59.94707773226516,60.290470132638724,68.02205179597905,64.0035301817292,0.0,0.0,275.4434844561895,1.0,170.80554192830277,1.0,70.45025434877061,1.0,1,1
321,2025-07-28 23:45:54.650159,8.856214374183686,8.711532600735321,68.0358036401702,64.03715612535811,60.36804665879407,60.00659778749965,60.34455144638502,68.03580313090262,64.03715591543939,0.0,0.0,274.7186943448217,1.0,170.3239396272238,1.0,70.20707161018436,1.0,1,1
322,2025-07-28 23:46:17.596971,8.912171519779994,8.770623621829193,68.04949119808553,64.07056649545736,60.421668437142344,60.06568793950018,60.39830055979344,68.04949069025183,64.07056628626184,0.0,0.0,273.9972656457325,1.0,169.84438282634073,1.0,69.9651926606748,1.0,1,1
323,2025-07-28 23:46:40.340396,8.967782685694518,8.829287939602755,68.063115079086,64.10376296813196,60.47495916483581,60.12435139993653,60.45171814332886,68.06311457267995,64.10376275965581,0.0,0.0,273.2791931592084,1.0,169.36690629336226,1.0,69.72460591100571,1.0,1,1
324,2025-07-28 23:47:04.493191,9.023048310497161,8.887528719109183,68.2776352352975,64.64499739327286,60.813995072311165,60.18265865785129,60.78728370729979,68.2776347333954,64.64499717149621,0.0,0.0,261.97250147750964,1.0,167.86056054570508,1.0,74.17293722369322,1.0,1,1
325,2025-07-28 23:47:27.180995,9.113367443090384,8.973288041346649,68.29847629253972,64.69259578791241,60.89691296026434,60.268416762800996,60.87049082909056,68.298475792896,64.6925955671618,0.0,0.0,260.8740340294149,1.0,167.10525525240882,1.0,73.82977993870554,1.0,1,1
326,2025-07-28 23:47:50.036923,9.202944816189172,9.058612619082881,68.31923797690415,64.73997711238302,60.979220803501654,60.3537401183614,60.95308331098444,68.31923747950808,64.73997689265668,0.0,0.0,259.77975007937926,1.0,166.3535310331099,1.0,73.48721370476596,1.0,1,1
