iteration,timestamp,error_flag,P2,T1,V5F,J5,V5,T2,V4F,J4,V4,J1,P1F,V1F,P1
0.0,2025-11-06 20:54:47.319527,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,2025-11-06 20:54:50.340678,False,1.0,3.1915781497955322,130.785888671875,55.54426956176758,1.0,3.2186312675476074,155.1534881591797,54.51407241821289,1.0,69.21785736083984,212.41648864746094,232.28428649902344,1.0
2.0,2025-11-06 20:54:53.478863,False,1.0,3.3316550254821777,130.31216430664062,55.67726135253906,1.0,3.3848071098327637,153.80491638183594,54.68024444580078,1.0,69.23635864257812,211.44125366210938,231.2305145263672,1.0
3.0,2025-11-06 20:54:56.270504,False,1.0,3.471224784851074,129.8325653076172,55.8096809387207,1.0,3.5495386123657227,152.466796875,54.844966888427734,1.0,69.25482940673828,210.4677734375,230.1776580810547,1.0
4.0,2025-11-06 20:54:59.274950,False,1.0,3.610280752182007,129.34710693359375,55.941524505615234,1.0,3.712836742401123,151.13912963867188,55.00825881958008,1.0,69.27326202392578,209.49607849121094,229.12579345703125,1.0
5.0,2025-11-06 20:55:02.477330,False,1.0,3.748816967010498,128.85586547851562,56.07278060913086,1.0,3.8747129440307617,149.82188415527344,55.170127868652344,1.0,69.29166412353516,208.52621459960938,228.074951171875,1.0
6.0,2025-11-06 20:55:05.167134,False,0.0,3.886826753616333,-52.942665100097656,54.98368453979492,1.0,4.035178184509277,-60.25516128540039,55.330101013183594,1.0,54.973480224609375,0.0,-4.642810344696045,0.0
7.0,2025-11-06 20:55:07.778188,False,0.0,3.83012318611145,-53.239994049072266,54.9249153137207,1.0,3.970642566680908,-59.95783233642578,55.265567779541016,1.0,54.9141845703125,0.0,-4.772496700286865,0.0
8.0,2025-11-06 20:55:10.501262,False,0.0,3.7731008529663086,-53.5141487121582,54.8659782409668,1.0,3.9064252376556396,-59.68368148803711,55.201351165771484,1.0,54.85475158691406,0.0,-4.891970157623291,0.0
9.0,2025-11-06 20:55:13.428247,False,0.0,3.715785026550293,-53.766780853271484,54.80689239501953,1.0,3.842501640319824,-59.4310417175293,55.137428283691406,1.0,54.795196533203125,0.0,-5.001972198486328,0.0
10.0,2025-11-06 20:55:16.421527,False,0.0,3.658198595046997,-53.99945068359375,54.7476692199707,1.0,3.778848648071289,-59.1983642578125,55.07377243041992,1.0,54.73553466796875,0.0,-5.103204250335693,0.0
11.0,2025-11-06 20:55:18.836095,False,1.0,3.60036301612854,129.56649780273438,55.93486404418945,1.0,3.715444803237915,150.96034240722656,55.0108642578125,1.0,69.27259063720703,209.5316925048828,229.18040466308594,1.0
12.0,2025-11-06 20:55:21.477502,False,1.0,3.7391340732574463,145.27821350097656,56.31907272338867,1.0,3.877129554748535,162.13592529296875,55.172611236572266,1.0,69.37675476074219,204.04150390625,226.54470825195312,1.0
13.0,2025-11-06 20:55:23.374103,False,1.0,3.89473295211792,144.59893798828125,56.46356964111328,1.0,4.050783634185791,160.83448791503906,55.346256256103516,1.0,69.39704132080078,202.97222900390625,225.37745666503906,1.0
14.0,2025-11-06 20:55:26.043427,False,1.0,4.049604415893555,143.91598510742188,56.60731887817383,1.0,4.223043918609619,159.54129028320312,55.51850891113281,1.0,69.41728973388672,201.905029296875,224.2117462158203,1.0
15.0,2025-11-06 20:55:28.929012,False,1.0,4.203744411468506,143.22940063476562,56.750328063964844,1.0,4.393919467926025,158.2563018798828,55.68937683105469,1.0,69.43749237060547,200.8399200439453,223.0475616455078,1.0
16.0,,,0.0,,,,,,,,,,,,
