iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2AttackerUnit
28,2025-01-14 16:18:47.698338,7.349243090132983,7.469621525954384,58.679532847343296,58.812637225779746,58.67953282123737,58.81263730311206,58.679656623809784,0.0,0.0,0.0,0.0,8.731095899179309,1.0,25.86370140818417,1.0,0
29,2025-01-14 16:18:58.666414,7.312995875364719,7.422369673071863,58.64406496253934,58.764578365961185,58.64406493869018,58.764578441036974,58.6442167220736,0.0,0.0,0.0,0.0,7.976323710749966,1.0,25.10901034440849,1.0,0
30,2025-01-14 16:19:08.679149,7.27601172919136,7.375854748024042,58.60778897038903,58.717327751296,58.60778894859715,58.717327824314744,58.6079685058914,0.0,0.0,0.0,0.0,7.288270755338999,1.0,24.421032719033064,1.0,0
31,2025-01-14 16:19:19.895886,7.238361614477151,7.33000580175902,58.57077696865873,58.67081393099766,58.57077694872601,58.67081400215741,58.570983439984786,0.0,0.0,0.0,0.0,6.666476360805973,1.0,23.799293373372166,1.0,0
32,2025-01-14 16:19:31.283058,7.2001150975395305,7.284753256551515,58.53310043447186,58.624965962551585,58.53310041620411,58.62496603204655,58.53333248975655,0.0,0.0,0.0,0.0,6.109630943456068,1.0,23.242508799512507,1.0,0
33,2025-01-14 16:19:41.336608,7.161339459164636,7.240029830413366,58.49482932360739,58.57971427572794,58.494829306816754,58.57971434374594,58.49508522220453,0.0,0.0,0.0,0.0,5.615607878439732,1.0,22.7485407833683,1.0,0
34,2025-01-14 16:19:53.226851,7.122098827156974,7.19577140249825,58.456031182581945,58.53499159685655,58.45603116708943,58.53499166357656,58.45630891694023,0.0,0.0,0.0,0.0,5.181454807825503,1.0,22.31443117238996,1.0,0
35,2025-01-14 16:20:04.688568,7.082453371394974,7.151917796965653,58.41677028665611,58.49073381409114,58.416770272293725,58.49073387968115,58.41706769882761,0.0,0.0,0.0,0.0,4.803483457180846,1.0,21.936500384072133,1.0,0
36,2025-01-14 16:20:14.549192,7.042458691766697,7.1084134200063565,58.377106849471495,58.44688076105724,58.37710683608403,58.44688082567241,58.377421733343546,0.0,0.0,0.0,0.0,4.477420295643242,1.0,21.61046909293418,1.0,0
37,2025-01-14 16:20:25.157901,7.01902486253953,7.076038696465766,58.337394020947926,58.40339197798753,58.33739400279476,58.4033920303775,58.33744693599014,0.0,0.0,0.0,0.0,6.07130533921918,1.0,17.521763369927612,1.0,0
38,2025-01-14 16:20:37.148258,6.994792083684781,7.044462925196937,58.313940238689504,58.37101822398182,58.31394022276673,58.37101827414167,58.314012353718525,0.0,0.0,0.0,0.0,5.325352559566454,1.0,16.775900406855726,1.0,0
39,2025-01-14 16:20:47.171183,6.9698593978270775,7.013587064322239,58.28968774635393,58.339443285116644,58.2896877323851,58.33944333332279,58.28977889754494,0.0,0.0,0.0,0.0,4.6718587066152395,1.0,16.122487678558173,1.0,0
40,2025-01-14 16:20:57.476287,6.9443249391101824,6.983312973455657,58.26473647225891,58.30856812721957,58.26473645997001,58.308568173745996,58.26484561621461,0.0,0.0,0.0,0.0,4.110006739210803,1.0,15.56070814388022,1.0,0
41,2025-01-14 16:21:07.819532,6.9182834242613565,6.9535459460301405,58.23918519252608,58.27829461955479,58.23918518165272,58.27829466466585,58.23931064637271,0.0,0.0,0.0,0.0,3.6365806442972826,1.0,15.087339995147886,1.0,0
42,2025-01-14 16:21:18.428297,6.891823391199938,6.924197431501502,58.21312900453219,58.24852806717062,58.213128994827194,58.24852811111347,58.21326870320543,0.0,0.0,0.0,0.0,3.2458234687737786,1.0,14.69663497118745,1.0,0
43,2025-01-14 16:21:30.197325,6.865024903697023,6.895187361278678,58.186656587835735,58.21917993261561,58.186656579075596,58.219179975613756,58.1868083195138,0.0,0.0,0.0,0.0,2.929819764290187,1.0,14.380677623648808,1.0,0
44,2025-01-14 16:21:40.699367,6.837957952495044,6.866445773359833,58.15984795064277,58.190170161153596,58.159847942632084,58.19017020340233,58.16000955119138,0.0,0.0,0.0,0.0,2.6791648656399047,1.0,14.130040108852882,1.0,0
45,2025-01-14 16:21:50.113062,6.8106817540687175,6.837913425994856,58.132772888970536,58.161428804435026,58.13277288154401,58.161428846099696,58.13294237945906,0.0,0.0,0.0,0.0,2.483793521150801,1.0,13.93470063476343,1.0,0
46,2025-01-14 16:22:01.765882,6.783244935123634,6.8095417051920215,58.10549034671465,58.132896633579826,58.10549033973653,58.132896674796164,58.10566601077007,0.0,0.0,0.0,0.0,2.3338259069305423,1.0,13.784756199015646,1.0,0
47,2025-01-14 16:22:12.413878,6.755686386545098,6.781291704522309,58.078048651812196,58.104525045969005,58.07804864517388,58.10452508684558,58.078229062220736,0.0,0.0,0.0,0.0,2.2201760617690525,1.0,13.671120840399453,1.0,0
48,2025-01-14 16:22:22.901424,6.7280365544581935,6.753132994968757,58.050486408339935,58.07627514487496,58.05048640195647,58.07627518549671,58.05067041613299,0.0,0.0,0.0,0.0,2.134943023861524,1.0,13.585896494419103,1.0,0
49,2025-01-14 16:22:34.176032,6.672715923405523,6.707205523509262,58.022038147934154,58.048092060482574,58.02203815075237,58.04809211978437,58.02297886075503,0.0,0.0,0.0,0.0,-0.942549685873928,1.0,19.83341617062706,1.0,0
50,2025-01-14 16:22:44.612339,6.6185438746223655,6.660129473440164,57.96681375421839,58.00216267248323,57.96681375383015,58.00216273499112,57.96766042846381,0.0,0.0,0.0,0.0,0.1298458028031746,1.0,20.90568997232367,1.0,0
51,2025-01-14 16:22:55.599544,6.565150276880343,6.612274985569152,57.912704312888025,57.95508530067066,57.91270431032661,57.95508536535147,57.91348984754769,0.0,0.0,0.0,0.0,0.8566618561189898,1.0,21.632422003676766,1.0,0
52,2025-01-14 16:23:06.314405,6.512324071649523,6.563853099086348,57.85935500248355,57.90722983775695,57.85935499833816,57.90722990402157,57.86009730825531,0.0,0.0,0.0,0.0,1.3864174337641089,1.0,22.162122532449757,1.0,0
