iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,ScadaCommand_V13,ScadaCommand_V24,T1,T2,P1,J1,J2,V13F,V24F
79.0,2025-07-27 13:59:30.014929,,0.0,,,,,7.10170841217041,7.050437927246094,0.0,57.715457916259766,57.72196960449219,-12.366022109985352,-25.62484359741211
80.0,2025-07-27 13:59:41.485994,,0.0,,,,,6.996810436248779,6.956215858459473,0.0,57.6151008605957,57.62215042114258,-12.242098808288574,-25.748767852783203
81.0,2025-07-27 13:59:52.441742,,0.0,,,,,6.892224311828613,6.861682415008545,0.0,57.51476287841797,57.522335052490234,-12.125615119934082,-25.865245819091797
82.0,2025-07-27 14:00:03.240771,,0.0,,,,,6.787930011749268,6.766856670379639,0.0,57.41444778442383,57.42252731323242,-12.016114234924316,-25.974754333496094
83.0,2025-07-27 14:00:14.730389,,0.0,,,,,6.683910846710205,6.671755790710449,0.0,57.31415557861328,57.32272720336914,-11.913141250610352,-26.077722549438477
84.0,2025-07-27 14:00:26.463632,,0.0,,,,,6.580150127410889,6.576396942138672,0.0,56.56812286376953,56.58623123168945,-17.050668716430664,-37.86916732788086
85.0,2025-07-27 14:00:37.444708,,0.0,,,,,6.430580139160156,6.438116550445557,0.0,56.4232177734375,56.441978454589844,-16.955764770507812,-37.96406555175781
86.0,2025-07-27 14:00:49.446681,,0.0,,,,,6.281248092651367,6.299598693847656,0.0,56.27833938598633,56.29773712158203,-16.864940643310547,-38.05488967895508
87.0,2025-07-27 14:01:01.329392,,0.0,,,,,6.132143497467041,6.160852909088135,0.0,56.133487701416016,56.153499603271484,-16.778030395507812,-38.141807556152344
88.0,2025-07-27 14:01:12.932961,,0.0,,,,,5.9832563400268555,6.021889686584473,0.0,55.98866271972656,56.00926971435547,-16.694843292236328,-38.22499084472656
89.0,2025-07-27 14:01:24.357215,,0.0,,,,,5.8345770835876465,5.882718563079834,1.0,67.09431457519531,61.64779281616211,195.17977905273438,74.24220275878906
90.0,2025-07-27 14:01:35.718967,,0.0,,,,,5.866397857666016,5.910431385040283,1.0,67.1009750366211,61.664093017578125,194.9311065673828,74.13976287841797
91.0,2025-07-27 14:01:46.832526,,0.0,,,,,5.897783279418945,5.93820333480835,1.0,67.10760498046875,61.680397033691406,194.684814453125,74.03677368164062
92.0,2025-07-27 14:01:57.002514,,0.0,,,,,5.928764343261719,5.966005325317383,1.0,67.11419677734375,61.69670104980469,194.44081115722656,73.933349609375
93.0,2025-07-27 14:02:08.095839,,0.0,,,,,5.959367752075195,5.993812561035156,1.0,67.1207504272461,61.712989807128906,194.19898986816406,73.82962036132812
94.0,2025-07-27 14:02:19.318700,,0.0,,,,,5.989617347717285,6.021604061126709,1.0,67.12727355957031,61.72925567626953,193.95925903320312,73.72569274902344
95.0,2025-07-27 14:02:31.161229,,0.0,,,,,6.019533634185791,6.049360752105713,1.0,67.13375091552734,61.745487213134766,193.72157287597656,73.62165069580078
96.0,2025-07-27 14:02:42.805836,,0.0,,,,,6.049133777618408,6.0770673751831055,1.0,67.13291931152344,61.739349365234375,193.46710205078125,73.3154525756836
97.0,2025-07-27 14:02:53.135584,,0.0,,,,,6.076941013336182,6.103444576263428,1.0,67.13902282714844,61.75476837158203,193.24468994140625,73.21603393554688
98.0,2025-07-27 14:03:03.592778,,0.0,,,,,6.104481220245361,6.129744052886963,1.0,67.14509582519531,61.7701301574707,193.0240020751953,73.11672973632812
99.0,2025-07-27 14:03:14.334985,,0.0,,,,,6.1317667961120605,6.155956268310547,1.0,67.15113067626953,61.78543472290039,192.80496215820312,73.01758575439453
100.0,2025-07-27 14:03:25.687153,,0.0,,,,,6.158807754516602,6.182071685791016,1.0,67.15713500976562,61.800682067871094,192.58750915527344,72.91864776611328
101.0,2025-07-27 14:03:36.959831,,0.0,,,,,6.185613632202148,6.208083152770996,1.0,67.16310119628906,61.815860748291016,192.37161254882812,72.81996154785156
102.0,2025-07-27 14:03:47.276462,,0.0,,,,,6.212193012237549,6.233983993530273,1.0,67.16903686523438,61.83097457885742,192.1572265625,72.72156524658203
103.0,2025-07-27 14:03:58.780902,,0.0,,,,,6.238554000854492,6.259768486022949,1.0,67.17494201660156,61.84601974487305,191.9442901611328,72.62346649169922
104.0,2025-07-27 14:04:10.238303,,0.0,,,,,6.264702796936035,6.2854323387146,1.0,67.1808090209961,61.86098861694336,191.7327880859375,72.52571105957031
105.0,2025-07-27 14:04:21.105866,,0.0,,,,,6.290646076202393,6.310970306396484,1.0,67.1866455078125,61.87588882446289,191.52268981933594,72.42830657958984
106.0,2025-07-27 14:04:31.837351,,0.0,,,,,6.316389083862305,6.336379051208496,1.0,67.19244384765625,61.890708923339844,191.31393432617188,72.33128356933594
107.0,2025-07-27 14:04:42.428540,,0.0,,,,,6.34193754196167,6.361655235290527,1.0,67.19821166992188,61.905452728271484,191.10653686523438,72.23465728759766
108.0,2025-07-27 14:04:53.558039,,0.0,,,,,6.367295265197754,6.386795997619629,1.0,67.38053131103516,62.43770217895508,190.89968872070312,76.76863861083984
109.0,2025-07-27 14:05:04.909585,,0.0,,,,,6.426858901977539,6.44048547744751,1.0,67.3931884765625,62.46840286254883,190.43289184570312,76.56804656982422
110.0,2025-07-27 14:05:16.240749,,0.0,,,,,6.485853672027588,6.494028091430664,1.0,67.40579223632812,62.4990119934082,189.96922302246094,76.36746978759766
111.0,2025-07-27 14:05:27.633077,,0.0,,,,,6.544294357299805,6.5474138259887695,1.0,67.4183349609375,62.52952194213867,189.5086212158203,76.16697692871094
112.0,2025-07-27 14:05:39.011489,,0.0,,,,,6.602194786071777,6.6006317138671875,1.0,67.43082427978516,62.55992889404297,189.05104064941406,75.96661376953125
113.0,2025-07-27 14:05:49.955504,,0.0,,,,,6.659567356109619,6.65367317199707,1.0,67.44324493408203,62.590232849121094,188.59645080566406,75.76642608642578
