iteration,timestamp,J1,P1F,T1,V1F,P1
0,2026-01-02 13:54:03.455968,0.0,0.0,0.0,0.0,1
1,2026-01-02 13:54:06.030092,69.21785400515299,212.41648803874583,3.1915781497955322,232.2842845694595,1
2,2026-01-02 13:54:08.850144,69.23635706533213,211.44124915999504,3.3316550254821777,231.23051008610673,1
3,2026-01-02 13:54:11.696916,69.2548267160025,210.46777119276453,3.471224784851074,230.17766274165297,1
4,2026-01-02 13:54:14.846224,69.27326250796852,209.4960778127615,3.610280752182007,229.12579468766126,1
5,2026-01-02 13:54:17.955336,69.29166358550646,208.5262141225308,3.748816967010498,228.07495228107655,1
6,2026-01-02 13:54:20.776824,69.31002962275358,207.55819729728142,3.886826753616333,227.02516449498944,1
7,2026-01-02 13:54:24.209118,69.32835986060236,206.59206734721738,4.024304389953613,225.97649507019923,1
8,2026-01-02 13:54:27.323460,69.34665372511955,205.62785452257833,4.161243915557861,224.92897877441465,1
9,2026-01-02 13:54:30.275887,69.3649105091972,204.66559609282982,4.297638416290283,223.88266775919874,1
10,2026-01-02 13:54:33.641888,69.38312967731427,203.7053202836255,4.433483123779297,222.83760258687835,1
11,2026-01-02 13:54:36.296654,69.40131063423719,202.7470584678768,4.568770885467529,221.79383540901654,1
12,2026-01-02 13:54:38.990637,69.50458691541547,197.30368619956687,4.703496932983398,219.20685712302657,1
13,2026-01-02 13:54:41.598746,69.52463237065476,196.247152463938,4.854799747467041,218.04809574859974,1
14,2026-01-02 13:54:44.475573,69.5446349463425,195.1928787763957,5.005341053009033,216.89112491117157,1
15,2026-01-02 13:54:47.065865,69.5645946744581,194.14086345140512,5.155117511749268,215.73596199459644,1
16,2026-01-02 13:54:49.687390,69.5845108409597,193.09114412390056,5.3041253089904785,214.58264176658304,1
17,2026-01-02 13:54:52.452421,69.60438293025096,192.04374796935818,5.452361106872559,213.43119320022197,1
18,2026-01-02 13:54:55.384079,69.624210693584,190.99868809851145,5.599822521209717,212.28165685784006,1
19,2026-01-02 13:54:58.322856,69.64399349645285,189.95599795420063,5.746505260467529,211.1340617125279,1
20,2026-01-02 13:55:00.998892,69.66373094241104,188.91569843188748,5.892406940460205,209.9884367373761,1
21,2026-01-02 13:55:03.846972,69.6834225972283,187.8778124185013,6.037524223327637,208.84483408394772,1
22,2026-01-02 13:55:06.917329,69.70306795368576,186.84236664797635,6.181853771209717,207.70325375224274,1
23,2026-01-02 13:55:09.589871,69.7226667113403,185.80937695573635,6.325393199920654,206.56374789382426,1
24,2026-01-02 13:55:12.392947,69.70276660008979,186.85825006078485,6.468139171600342,206.1358674973235,1
25,2026-01-02 13:55:15.136327,69.72133036295695,185.87981173173446,6.602248668670654,205.05722830762352,1
26,2026-01-02 13:55:17.957677,67.82870126726901,285.63441768894177,6.735642910003662,185.59564408974438,1
27,2026-01-02 13:55:20.595865,67.85148986725967,284.4333013066754,6.853720188140869,184.71657154805143,1
28,2026-01-02 13:55:23.359566,67.874224233476,283.2350434183428,6.970468521118164,183.8418797376562,1
29,2026-01-02 13:55:25.832523,67.89690150163686,282.03979499131225,7.085921764373779,182.9716034262674,1
30,2026-01-02 13:55:28.387328,58.40040668099259,0.0,7.20011043548584,-0.25820528605891013,0
31,2026-01-02 13:55:31.165902,58.357336909894435,0.0,7.162065029144287,-0.6862855968847725,0
32,2026-01-02 13:55:34.224222,58.31337468880991,0.0,7.122996807098389,-1.0804181374624022,0
33,2026-01-02 13:55:37.059475,58.268642132362274,0.0,7.082983016967773,-1.4429178577302082,0
34,2026-01-02 13:55:39.809451,58.223242202524894,0.0,7.042097091674805,-1.7759026906105646,0
35,2026-01-02 13:55:42.766400,58.177263220169806,0.0,7.00040864944458,-2.081371779354413,0
36,2026-01-02 13:55:45.814811,58.215935573921065,0.0,6.957981109619141,0.8150362168635183,0
37,2026-01-02 13:55:48.636561,58.188879578863265,0.0,6.934922695159912,0.31922261484851333,0
38,2026-01-02 13:55:51.269826,58.1610552295947,0.0,6.91066837310791,-0.13609819575322035,0
39,2026-01-02 13:55:54.180440,58.13229940168385,0.0,6.885326862335205,-0.5441262305794226,0
40,2026-01-02 13:55:57.312405,58.10270828750442,0.0,6.859010219573975,-0.9064260365221344,0
41,2026-01-02 13:56:00.247644,58.07243918801058,0.0,6.831822872161865,-1.2273377825522402,0
42,2026-01-02 13:56:03.094796,58.041617208895424,0.0,6.803861618041992,-1.5108047062994956,0
43,2026-01-02 13:56:05.999671,58.01034386490432,0.0,6.775214672088623,-1.760494801033019,0
44,2026-01-02 13:56:08.521476,57.97870220359121,0.0,6.745961666107178,-1.9798384806790637,0
45,2026-01-02 13:56:11.099771,57.946760002712914,0.0,6.716175079345703,-2.172037271748195,0
46,2026-01-02 13:56:13.816104,57.91457236572526,0.0,6.685919284820557,-2.3400725052624693,0
