,J1,J2,J3,J4,J5,J5S,J1S,J4S
86,-0.00012060793737110109,-0.00012067561076382071,-0.00012095739496215562,-0.00012503687353672353,-0.00012097281412407623,0,0,0
87,-0.00012012360278874423,-0.0001201932526328997,-0.00012046990354088515,-0.000124571848381827,-0.00012048520359624115,0,0,0
88,-0.0001574530417585007,-0.00013915490436743115,-0.0001242678479571535,-0.00012410726369713076,-0.00012417087943680682,0,0,0
89,-0.0001574756038822317,-0.000139209913752405,-0.00012436968215721932,-0.0001242007499801989,-0.00012427333901424254,0,0,0
90,-0.00015749805243088166,-0.00013926499107135392,-0.0001244705477959207,-0.00012429450539611642,-0.00012437478188518592,0,0,0
91,-0.0001575203838592082,-0.00013932008496494785,-0.0001245704738123954,-0.00012438842165795716,-0.00012447524390383658,0,0,0
92,-0.0001575425958612475,-0.000139375152233856,-0.0001246694898701084,-0.0001244824069232875,-0.00012457476035851345,0,0,0
93,-0.00015756468754007878,-0.00013943015655419776,-0.00012476762514586736,-0.0001245763827723634,-0.00012467336502097526,0,0,0
94,-0.00015758665725464804,-0.00013948506614045564,-0.00012486490767340096,-0.00012467028161639693,-0.00012477108977293927,0,0,0
95,-0.00015760850566703567,-0.0001395398546112725,-0.0001249613639925129,-0.00012476404501123194,-0.0001248679643457762,0,0,0
96,-0.0001576058457845314,-0.00013951972493411402,-0.0001250383326374105,-0.00012485761770427927,-0.0001249458569832762,0,0,0
97,-0.00015762642947624416,-0.0001395717770210181,-0.0001251286124708062,-0.0001249467411718319,-0.0001250364888170874,0,0,0
98,-0.0001576468970633893,-0.000139623646237923,-0.00012521817995097217,-0.00012503558968928185,-0.0001251263925775037,0,0,0
99,-0.00015766724933537034,-0.00013967531847176474,-0.00012530705417072242,-0.00012512413161258173,-0.00012521558902102824,0,0,0
100,-0.0001576874863572636,-0.00013972678103549852,-0.00012539525302320386,-0.0001252123393493898,-0.0001253040975120978,0,0,0
101,-0.00015770760897789005,-0.00013977802330754406,-0.00012548279276050956,-0.00012530018884977732,-0.0001253919355816957,0,0,0
102,-0.00015772761724534956,-0.00013982903562265948,-0.00012556968852560634,-0.0001253876591308889,-0.00012547911951586775,0,0,0
103,-0.00015774751266771413,-0.00013987981031882035,-0.0001256559541033475,-0.00012547473186950818,-0.00012556566407278202,0,0,0
104,-0.00015776729506956078,-0.0001399303399377194,-0.00012574160230527154,-0.00012556139118702347,-0.00012565158294675083,0,0,0
105,-0.00015778696574958562,-0.00013998061875264423,-0.00012582664503750783,-0.0001256476232306758,-0.0001257368887908661,0,0,0
106,-0.0001578065249935584,-0.0001400306413594343,-0.00012591109311969496,-0.00012573341603774768,-0.00012582159312645835,0,0,0
107,-0.0001578259729316317,-0.00014008040298771563,-0.0001259949566471441,-0.000125818759275258,-0.0001259057066486724,0,0,0
108,-0.00015843644130649425,-0.00014186322192004386,-0.0001266718679213441,-0.00012590378313537376,-0.00012657066278819017,0,0,0
109,-0.00015847891544421122,-0.00014196628448860993,-0.0001268582318375433,-0.00012608409720429314,-0.00012675781360673932,0,0,0
110,-0.00015852118998449627,-0.00014206903679894856,-0.00012704313874115525,-0.00012626391762720512,-0.00012694348483972107,0,0,0
111,-0.0001585632638465173,-0.00014217146210382113,-0.00012722660997719902,-0.0001264432077124067,-0.00012712769916763288,0,0,0
112,-0.00015860513734150872,-0.0001422735455969598,-0.00012740866642101277,-0.00012662193342783402,-0.00012731047863718593,0,0,0
113,-0.0001586468118983192,-0.0001423752741555917,-0.00012758932859708859,-0.00012680006319734538,-0.0001274918448989748,0,0,0
114,-0.00015868828567783654,-0.00014247663383358755,-0.00012776861614714473,-0.00012697756777056867,-0.0001276718186076442,0,0,0
