iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
362,2026-01-01 18:23:01.634702,6.283117430812948,6.269957025316572,67.3389752006795,62.318786729169894,57.79888351719854,57.56500924931302,57.769255886725524,6.474255731473406,67.33897462764679,57.565009103183996,0.0,0.0,0.0,311.4463588193584,1.0,1.0,51.92388672753623,1.0,191.6501102687107,1.0,48.87267840558707,1.0,0
363,2026-01-01 18:23:03.720507,6.338730051623263,6.322301680206933,67.35102013351124,62.348622229959986,57.85130615668055,57.61735352198519,57.82187194756075,6.526871793627645,67.3510195617894,57.61735337643537,0.0,0.0,0.0,310.8115077906222,1.0,1.0,51.48274534747088,1.0,191.2116952564702,1.0,48.67896721918896,1.0,0
364,2026-01-01 18:23:06.515858,6.393870193141785,6.374438860475448,67.36300691115606,62.37833910735177,57.90334265575719,57.669490309801816,57.87409738338412,6.57909723074329,67.36300634073697,57.669490164848725,0.0,0.0,0.0,310.1797219413089,1.0,1.0,51.050545063162645,1.0,190.77599212550922,1.0,48.479388981945704,1.0,0
365,2026-01-01 18:23:09.146412,6.448547428616614,6.426362277703695,67.37493574699037,62.40793467712782,57.9549982075183,57.72141332528553,57.925937611207594,6.630937459833624,67.374935177866,57.72141318094551,0.0,0.0,0.0,309.5509900250078,1.0,1.0,50.6268454836345,1.0,190.3429719027372,1.0,48.2743493171256,1.0,0
366,2026-01-01 18:23:11.725803,6.502770868425238,6.478066092086124,67.38680670417078,62.43740636574353,58.00627780287381,57.77311672954332,57.977397830822774,6.682397680691452,67.38680613633325,57.77311658583144,0.0,0.0,0.0,308.92530871292894,1.0,1.0,50.21124388292719,1.0,189.91259402582727,1.0,48.06426833454225,1.0,0
367,2026-01-01 18:23:14.107688,6.556549182888003,6.529544901345844,67.39861995979014,62.46675185317121,58.05718626392754,57.82459512113187,58.02848305850507,6.733482909593329,67.3986193932317,57.824594978062095,0.0,0.0,0.0,308.30266867106144,1.0,1.0,49.80335491893584,1.0,189.4848005485983,1.0,47.84951688975525,1.0,0
368,2026-01-01 18:23:16.863069,6.609890628245999,6.580793702129702,67.41037569765503,62.495968996231305,58.107728355121836,57.87584349747099,58.07919824209929,6.784198094385144,67.410375132368,57.875843355056254,0.0,0.0,0.0,307.6830602115275,1.0,1.0,49.40282222264614,1.0,189.059579881814,1.0,47.630439762542665,1.0,0
369,2026-01-01 18:23:19.457180,6.662803088685573,6.631807861123537,67.42207401455586,62.52505576381089,58.157908627387876,57.92685722598581,58.12954810350055,6.834547956962974,67.42207345053266,57.92685708423805,0.0,0.0,0.0,307.06647823280474,1.0,1.0,49.00931839813438,1.0,188.63689146314755,1.0,47.407370143446315,1.0,0
370,2026-01-01 18:23:21.975793,6.715294087359869,6.682583100940754,67.43371494464338,62.55401024450043,58.20773145867974,57.97763202997481,58.17953718056803,6.884537035186996,67.43371438187657,57.97763188890506,0.0,0.0,0.0,306.45292093491594,1.0,1.0,48.62251604947687,1.0,188.21670052489026,1.0,47.18060935260837,1.0,0
371,2026-01-01 18:23:24.859031,6.767370803340654,6.7331154745178585,67.4452987753126,62.582830811605476,58.25720112753884,58.02816396301344,58.22916990144619,6.934169757202538,67.44529821379477,58.02816382263187,0.0,0.0,0.0,305.84237317016084,1.0,1.0,48.24211965114955,1.0,187.7989722993334,1.0,46.95045291555289,1.0,0
