iteration,timestamp,T2,P2
0,2025-11-06 20:27:29.913771,0.0,1
1,2025-11-06 20:27:32.659758,3.2186312675476074,1
2,2025-11-06 20:27:35.268311,3.3848071098327637,0
3,2025-11-06 20:27:38.446656,3.4922564029693604,0
4,2025-11-06 20:27:41.461151,3.599377393722534,0
5,2025-11-06 20:27:44.433884,3.7061612606048584,0
6,2025-11-06 20:27:47.371023,3.8125996589660645,0
7,2025-11-06 20:27:50.612392,3.918684244155884,0
8,2025-11-06 20:27:53.739855,4.024407386779785,0
9,2025-11-06 20:27:56.409987,4.129762172698975,1
10,2025-11-06 20:27:59.330804,4.290889739990234,1
11,2025-11-06 20:28:02.506036,4.450552463531494,1
12,2025-11-06 20:28:04.921566,4.608762264251709,1
13,2025-11-06 20:28:08.094341,4.77877140045166,1
14,2025-11-06 20:28:11.096749,4.947359561920166,1
15,2025-11-06 20:28:14.087682,5.114535808563232,1
16,2025-11-06 20:28:17.170833,5.280310153961182,0
17,2025-11-06 20:28:20.067232,5.391958713531494,0
18,2025-11-06 20:28:22.889782,5.503268718719482,0
19,2025-11-06 20:28:26.005349,5.614230155944824,0
