iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,plc4attack
0,2024-06-16 12:51:48.086650,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,0
1,2024-06-16 12:51:50.595187,3.364747310338268,3.2481728419515297,77.71089056501289,78.09886954336274,54.490973682758714,54.34660723729726,54.34743538299764,213.93606607871055,1.0,286.1669393185446,1.0,0
2,2024-06-16 12:51:54.897149,3.671706680238054,3.448975230608928,77.72142576920038,78.10417397424146,54.798965764409395,54.54380094307692,54.66112571087362,212.94852887749113,1.0,284.20557790288825,1.0,0
3,2024-06-16 12:51:59.227618,3.9730355490850666,3.652260528590001,77.73184060322329,78.10954460226385,55.101232666602314,54.74461778998197,54.96803862069711,211.94866761295918,1.0,282.2666260572955,1.0,0
4,2024-06-16 12:52:03.625237,4.269386479439203,3.8573869850878624,77.74215289002028,78.11496355561667,55.39847476176433,54.94791390819682,55.26932702643835,210.93980951868002,1.0,280.3467656472929,1.0,0
5,2024-06-16 12:52:07.858969,4.5611953285259075,4.063929165027548,77.75237425762343,78.1204211601105,55.69114737595791,55.15304874088841,55.56564153782059,209.92375565910302,1.0,278.44383185737166,1.0,0
6,2024-06-16 12:52:14.179152,4.848784209364241,4.271574945075252,77.7625131310376,78.12591115960642,55.97958218154292,55.359597484289786,55.85741698053596,208.90167075295096,1.0,276.55625618642136,1.0,1
7,2024-06-16 12:52:18.611187,5.13240509219375,4.4800819539734755,77.772575984813,78.13142903903221,56.26403671594629,55.56724840701358,56.144974828241295,207.87439538083257,1.0,274.68283325362637,1.0,1
8,2024-06-16 12:52:23.367391,5.412262971912664,4.689254453077714,77.78256799949959,78.13697133657037,56.54471948834151,55.77575940217943,56.42856662086847,206.8425740366984,1.0,272.82259858496917,1.0,1
9,2024-06-16 12:52:27.566552,5.688529467850313,4.898929779961343,77.79249344420339,78.14253528447517,56.82180446771555,55.98493492038162,56.70839704612855,205.80672199767008,1.0,270.9747573918744,1.0,1
10,2024-06-16 12:52:31.600563,5.961351417859189,5.108969791167946,77.80235591676629,78.14811860129554,57.095440130910205,56.194612440779274,56.98463749421723,204.76726400634968,1.0,269.1386398564531,1.0,1
11,2024-06-16 12:52:36.358881,6.2308566214479,5.319255150046815,77.812158503309,78.15371936219881,57.36575545809323,56.404653929537254,57.25743462617835,203.72455841293723,1.0,267.3136714290403,1.0,1
12,2024-06-16 12:52:40.903057,6.497157849317661,5.529681343118187,77.82190388899086,78.15933591324352,57.632864092104725,56.61494013722248,57.5269161013554,202.678913135246,1.0,265.4993522077978,1.0,1
13,2024-06-16 12:52:45.436466,6.762217511367896,5.743943104133954,77.83600952274622,78.17330159571029,57.8982431987281,56.82538963317302,57.79320819931183,200.078892267482,1.0,262.87327631036874,1.0,1
14,2024-06-16 12:52:49.538974,7.024285211263324,5.9581177146258515,77.8457261250264,78.17902702701535,58.16109580013357,57.03965086072938,58.058246009276466,199.01297651967386,1.0,261.0643157563563,1.0,1
15,2024-06-16 12:52:53.907189,7.157910618824492,6.167316763150818,65.41826349966423,77.44585519370999,58.34912315076844,57.25379532210336,58.31958063640694,335.5091392234826,1.0,0.0,0.0,1
16,2024-06-16 12:52:58.003282,7.2923125465489775,6.374145202207958,65.5053347544895,77.4538496934685,58.48307052342769,57.46298021865685,58.453209231741354,334.02078616598163,1.0,0.0,0.0,1
17,2024-06-16 12:53:02.651934,7.427472143126306,6.578623135341558,65.59288796649979,77.46183791320311,58.617788086970634,57.669794761545994,58.58761428457295,332.5336022739181,1.0,0.0,0.0,1
18,2024-06-16 12:53:06.934674,7.5633701929778585,6.780770984448047,65.68091130313952,77.46982008311953,58.753256768507605,57.87425905291976,58.72277694139739,331.04754468939825,1.0,0.0,0.0,1
19,2024-06-16 12:53:11.159115,7.699987184704232,6.980609501218592,65.76939250997718,77.47779603292746,58.88945711462115,58.07639351330082,58.85867798428128,329.56264511573096,1.0,0.0,0.0,1
20,2024-06-16 12:53:15.279725,7.837303286926276,7.178159790478663,65.85831914250382,77.48576559624247,59.02636936678207,58.27621889308741,58.99529789937828,328.0789345290557,1.0,0.0,0.0,1
21,2024-06-16 12:53:19.751135,8.097788518451503,7.378541304146151,77.88785643273457,78.21400659215767,59.23502288271564,58.473785455663986,59.13332031262718,192.5007563305138,1.0,253.22082658442906,1.0,1
22,2024-06-16 12:53:24.642413,8.354918994281888,7.579205547345473,77.89764335601521,78.21962616326182,59.4930715306364,58.67416860522779,59.39378141956225,191.4545488019218,1.0,251.39877421989362,1.0,1
23,2024-06-16 12:53:28.742739,8.60881980066228,7.780036018506452,77.90737011824095,78.22526284249733,59.74788172130384,58.87483381115883,59.6508889222722,190.40515621605104,1.0,249.5879221671592,1.0,1
24,2024-06-16 12:53:32.851198,8.85960122073361,7.98093080492672,77.91703938458953,78.23091503911941,59.99956521693769,59.07566465499305,59.90476777508084,189.3528747252526,1.0,247.7877742444135,1.0,1
25,2024-06-16 12:53:36.982853,9.106492932757385,8.180034049927027,77.92459111722125,78.23271225235398,60.24761451989119,59.27654909845046,60.155522144487634,189.01828370724635,1.0,246.38185208650788,1.0,1
26,2024-06-16 12:53:41.199213,9.343901442709514,8.333670816930134,77.18487990378267,70.14805377997993,60.48799811093321,59.47541660208123,60.402349419670045,0.0,0.0,384.0954651261042,1.0,1
27,2024-06-16 12:53:45.714766,9.577787496351604,8.4882733024974,77.1977021766992,70.21563342440115,60.723044637875624,59.62905783434814,60.63973454365176,0.0,0.0,381.70831525107684,1.0,1
28,2024-06-16 12:53:49.721408,9.808297722352044,8.643706646632152,77.21046542860972,70.28355673712147,60.954695290966484,59.78366418069838,60.87359846461513,0.0,0.0,379.3321534425201,1.0,1
29,2024-06-16 12:53:53.814643,10.035561444169133,8.799852900519125,77.22317163564237,70.3517726558866,61.18308189792379,59.939100851586645,61.10408766468443,0.0,0.0,376.9666118004513,1.0,1
30,2024-06-16 12:53:58.067154,10.259694073717977,8.95660767811298,77.23582254695138,70.42023653859435,61.40832183050799,60.09524995537266,61.331331348984385,0.0,0.0,374.61136468109424,1.0,1
31,2024-06-16 12:54:02.207004,10.182574771132321,9.013390050871623,61.24195611612465,60.78936996507932,61.54391332219634,60.25166822684887,61.554587333603884,0.0,0.0,0.0,0.0,1
32,2024-06-16 12:54:06.242733,10.109376829599329,9.066251063033054,61.19344854255412,60.78475298618963,61.46778720084549,60.308443084154945,61.47747786449582,0.0,0.0,0.0,0.0,1
33,2024-06-16 12:54:10.414646,10.040065188502085,9.115225775204584,61.147364191342156,60.780139836316884,61.39552982936031,60.36129710242307,61.40428923553757,0.0,0.0,0.0,0.0,1
34,2024-06-16 12:54:14.378738,9.974603163685982,9.160350871511254,61.10368146806167,60.77553081069891,61.32710661149729,60.41026533773079,61.33498639070995,0.0,0.0,0.0,0.0,1
35,2024-06-16 12:54:18.559000,9.912952268945048,9.201664838150274,61.06237780121897,60.77092628656096,61.26248134800736,60.45538446948335,61.269532650659485,0.0,0.0,0.0,0.0,1
36,2024-06-16 12:54:22.698729,9.855072006196375,9.239208173161677,61.02342954611888,60.76632675830204,61.20161606036777,60.49669297895111,61.207889534206664,0.0,0.0,0.0,0.0,1
